clave_mf,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo
ATOMOXETINA ||| CAPSULAS,37291,ME36296,ABRETIA 10 mg X 10 CAPSULAS,Atomoxetina,CAPSULAS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17769.jpg,3
ATOMOXETINA ||| CAPSULAS,37292,ME36437,ABRETIA 18 mg X 10 CAPSULAS,Atomoxetina,CAPSULAS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17770.jpg,3
ATOMOXETINA ||| CAPSULAS,37293,ME36438,ABRETIA 25 mg X 20 CAPSULAS,Atomoxetina,CAPSULAS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17768.jpg,3
FOLICO ACIDO ||| COMPRIMIDOS,37294,ME4629/3,ACIDO FOLICO 5 mg X 20 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10751.jpg,10
FOLICO ACIDO ||| COMPRIMIDOS,37295,ME4629/4,ACIDO FOLICO 5 mg X 30 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92955.jpg,10
FOLICO ACIDO ||| COMPRIMIDOS,37296,ME4629/2,ACIDO FOLICO 5 mg X 10 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20331.jpg,10
FOLICO ACIDO ||| COMPRIMIDOS,37353,ME33347,ACIDO FOLICO 10 mg COMPRIMIDOS,Folico Acido,COMPRIMIDOS,"LABORATORIOS VARGAS, S.A.",https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,10
FOLICO ACIDO ||| COMPRIMIDOS,37354,ME4630/3,ACIDO FOLICO 10 mg X 20 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24.jpg,10
FOLICO ACIDO ||| COMPRIMIDOS,37355,ME4630/4,ACIDO FOLICO 10 mg X 30 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90738.jpg,10
FOLICO ACIDO ||| COMPRIMIDOS,37356,ME4630/2,ACIDO FOLICO 10 mg X 10 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,10
FOLICO ACIDO ||| COMPRIMIDOS,37357,ME38298,ACIDO FOLICO 10 mg X 30 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98454.jpg,10
FOLICO ACIDO ||| COMPRIMIDOS,37372,ME27634,AFOKLIN 5 mg X 20 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/778.jpg,10
FOLICO ACIDO ||| COMPRIMIDOS,39021,ME22033,ACIDO FOLICO 10 mg COMPRIMIDOS,Folico Acido,COMPRIMIDOS,"LABORATORIOS VALMOR, C.A.",https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,10
