clave_nombre,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo,lab_distintos
ACIDO FOLICO 5 MG,37294,ME4629/3,ACIDO FOLICO 5 mg X 20 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10751.jpg,6,4
ACIDO FOLICO 5 MG,37295,ME4629/4,ACIDO FOLICO 5 mg X 30 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92955.jpg,6,4
ACIDO FOLICO 5 MG,37296,ME4629/2,ACIDO FOLICO 5 mg X 10 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20331.jpg,6,4
ACIDO FOLICO 5 MG,37301,ME43836,ACIDO FOLICO 5 mg X 10 TABLETAS,Folico Acido,TABLETAS,"BIOQUIMICA INTERNACIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53280.jpg,6,4
ACIDO FOLICO 5 MG,37360,ME36039,ACIDO FOLICO 5 mg X 30 TABLETAS,Folico Acido,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23782.jpg,6,4
ACIDO FOLICO 5 MG,39022,ME29912,ACIDO FOLICO 5 mg X 30 TABLETAS,Folico Acido,TABLETAS,LABORATORIOS SIEGFRIED S.A.,https://pccentro.net.ve/img/s/7/6/0/1/2/76012-large_default.webp,6,4
ACIDO FOLICO 10 MG,37297,ME43837,ACIDO FOLICO 10 mg X 10 TABLETAS,Folico Acido,TABLETAS,"BIOQUIMICA INTERNACIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20330.jpg,11,6
ACIDO FOLICO 10 MG,37298,ME36224/2,ACIDO FOLICO 10 mg X 10 TABLETAS,Folico Acido,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53779.jpg,11,6
ACIDO FOLICO 10 MG,37299,ME36224/3,ACIDO FOLICO 10 mg X 20 TABLETAS,Folico Acido,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92858.jpg,11,6
ACIDO FOLICO 10 MG,37300,ME36224/4,ACIDO FOLICO 10 mg X 30 TABLETAS,Folico Acido,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92857.jpg,11,6
