viejo;canonico;criterio
LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX C;LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.;SEGURO
LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX. C.A.;LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.;SEGURO
LABORATORIOS VALMOR,C.A. (VALMORCA);LABORATORIOS VALMOR, C.A.;SEGURO
S.M. PHARMA, C.A.;SM PHARMA, C.A.;SEGURO
COMPANIA ANONIMA PRODUCTOS RONAVA;C.A. PRODUCTOS RONAVA;SEGURO
WEST-COAST PHARMACEUTICALS WORKS LTD;WEST-COAST PHARMACEUTICAL WORKS LTD;SEGURO
REMUS PHARMACEUTICALS LTD;REMUS PHARMACEUTICALS PVT. LTD.;SEGURO
HIRAL LABS LTD;HIRAL LABS LIMITED;SEGURO
SYNOKEM PHARMACEUTICALS LTD;SYNOKEM PHARMACEUTICALS LIMITED;SEGURO
CADILA PHARMACEUTICALS LTD;CADILA PHARMACEUTICALS LIMITED;SEGURO
BLISS GVS PHARMA LIMITED;BLISS GVS PHARMA LTD;SEGURO
PINNACLE LIFE SCIENCE PVT, LTD;PINNACLE LIFE SCIENCE PVT. LTD.;SEGURO
PINNACLE LIFE SCIENCE PRIVATE LIMITED;PINNACLE LIFE SCIENCE PVT. LTD.;SEGURO
AUROCHEM LABORATORIES INDIA PVT. LTD.;AUROCHEM LABORATORIES (INDIA) PVT. LTD.;SEGURO
MANUFACTURERA MUNDIAL FARMACEUTICA, M.M.F, C.A.;MANUFACTURERA MUNDIAL FARMACEUTICA M.M.F., C.A.;SEGURO
DEUTSCHE LABS INC.;DEUTSCHE LABS. INC.;SEGURO
BLUEPHARMA-INDUSTRIA FARMACEUTICA, S.A.;BLUEPHARMA - INDUSTRIA FARMACEUTICA, S.A.;SEGURO
EMPRESA FARMACEUTICA 8 DE MARZO;EMPRESA FARMACEUTICA "8 DE MARZO";SEGURO
INDIANA OPHTHALMICS LLP;INDIANA OPHTHALMICS;SEGURO
TECNANDINA S.A. TENSA;TECNANDINA S.A.;SEGURO
TECNANDINA S.A. / TENSA;TECNANDINA S.A.;SEGURO
ANG LIFESCIENCES INDIA LTD (AMRITSAR);ANG LIFESCIENCES INDIA LTD;SEGURO
ANG LIFESCIENCES INDIA LTD (DISTT. SOLAN);ANG LIFESCIENCES INDIA LTD;SEGURO
GLAXO WELCOME S.A.;GLAXO WELLCOME S.A.;SEGURO
MASCOT HEALT SERIES PVT. LTD.;MASCOT HEALTH SERIES PVT. LTD.;SEGURO
ZENITH HEALTCARE LTD;ZENITH HEALTHCARE LTD;SEGURO
PHARMACIA & UPJHON COMPANY LLC.;PHARMACIA & UPJOHN COMPANY LLC.;SEGURO
SANOFI WINTHROP INDUSTRIES;SANOFI WINTHROP INDUSTRIE;SEGURO
EMPRESA LABORATORIOS AICA. UNIDAD EMPRESARIAL DE BASE (UEB) LABORATORIOS LIORAD;EMPRESA LABORATORIOS AICA;SEGURO
EMPRESA LABORATORIOS AICA. UNIDAD EMPRESARIAL DE BASE (UEB) AICA. PLANTA AMPOLLETAS;EMPRESA LABORATORIOS AICA;SEGURO
EMPRESA LABORATORIOS MEDSOL UNIDAD EMPRESARIAL DE BASE (UEB) NOVATEC;EMPRESA LABORATORIOS MEDSOL;SEGURO
EMPRESA LABORATORIOS MEDSOL, UNIDAD EMPRESARIAL DE BASE (UEB) REINALDO GUTIERREZ, PLANTA REINALDO GUTIERREZ;EMPRESA LABORATORIOS MEDSOL;SEGURO
EMPRESA LABORATORIOS MEDSOL UNIDAD EMPRESARIAL DE BASE (UEB) SOLMED;EMPRESA LABORATORIOS MEDSOL;SEGURO
EMPRESA LABORATORIOS MEDSOL. UNIDAD EMPRESARIAL DE BASE (UEB) SOLMED;EMPRESA LABORATORIOS MEDSOL;SEGURO
CALOX DE COSTA RICA S.A.;CALOX INTERNATIONAL, C.A.;MARCA
