cluster;miembros?;nombre;total
1;4;EMPRESA LABORATORIOS MEDSOL UNIDAD EMPRESARIAL DE BASE (UEB) NOVATEC;4
1;4;EMPRESA LABORATORIOS MEDSOL, UNIDAD EMPRESARIAL DE BASE (UEB) REINALDO GUTIERREZ, PLANTA REINALDO GUTIERREZ;2
1;4;EMPRESA LABORATORIOS MEDSOL UNIDAD EMPRESARIAL DE BASE (UEB) SOLMED;1
1;4;EMPRESA LABORATORIOS MEDSOL. UNIDAD EMPRESARIAL DE BASE (UEB) SOLMED;1
2;3;LABORATORIOS L.O. OFTALMI, C.A.;81
2;3;LABORATORIOS L.O. OFTALMI, C.A. - LABORATORIOS INNOVA,CA;6
2;3;LABORATORIOS INNOVA,CA - LABORATORIOS L.O. OFTALMI, C.A.;3
3;3;LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.;46
3;3;LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX C;3
3;3;LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX. C.A.;2
4;3;LABORATORIOS POEN S.A.U.;5
4;3;LABORATORIOS POEN S.A.;1
4;3;LABORATORIOS POEN S.A.U. Y MEGA LABS S.A.;1
5;3;EMPRESA LABORATORIOS AICA;4
5;3;EMPRESA LABORATORIOS AICA. UNIDAD EMPRESARIAL DE BASE (UEB) LABORATORIOS LIORAD;1
5;3;EMPRESA LABORATORIOS AICA. UNIDAD EMPRESARIAL DE BASE (UEB) AICA. PLANTA AMPOLLETAS;1
6;3;TECNANDINA S.A. TENSA;3
6;3;TECNANDINA S.A.;2
6;3;TECNANDINA S.A. / TENSA;1
7;3;LABORATORIOS BIOGALENIC S.A. DE C.V;2
7;3;LABORATORIOS ALPHARMA, S.A. DE C.V;1
7;3;LABORATORIOS SOPHIA S.A. DE C.V;1
8;3;PINNACLE LIFE SCIENCE PVT, LTD;2
8;3;PINNACLE LIFE SCIENCE PVT. LTD.;2
8;3;PINNACLE LIFE SCIENCE PRIVATE LIMITED;1
9;2;CALOX INTERNATIONAL, C.A.;175
9;2;CALOX COSTA RICA S.A. / CALOX INTERNATIONAL, C.A.;1
10;2;LABORATORIOS SIEGFRIED S.A.;129
10;2;LABORATORIOS SIEGFRIED S.A.S.;3
11;2;LABORATORIOS VALMOR, C.A.;100
11;2;LABORATORIOS VALMOR,C.A. (VALMORCA);6
12;2;BIOTECH LABORATORIOS, C.A.;87
12;2;BIOTECH LABORATORIOS, C.A. MIRANDA;1
13;2;LABORATORIOS FARMA S.A.;76
13;2;LABORATORIOS LEON FARMA, S.A.;4
14;2;VITALIS S.A.C.I.;9
14;2;ASOFARMA S.A.I. Y C;2
15;2;ROEMMERS S.A.I.C.F;8
15;2;LABORATORIO ELEA S.A.C.I.F. Y A;1
16;2;WEST-COAST PHARMACEUTICAL WORKS LTD;5
16;2;WEST-COAST PHARMACEUTICALS WORKS LTD;3
17;2;REMUS PHARMACEUTICALS PVT. LTD.;5
17;2;REMUS PHARMACEUTICALS LTD;3
18;2;HIRAL LABS LIMITED;5
18;2;HIRAL LABS LTD;3
19;2;SYNOKEM PHARMACEUTICALS LIMITED;5
19;2;SYNOKEM PHARMACEUTICALS LTD;4
20;2;EUROFARMA LABORATORIOS, S.A.;3
20;2;EUROFARMA LABORATORIOS LTDA.;1
21;2;CADILA PHARMACEUTICALS LIMITED;2
21;2;CADILA PHARMACEUTICALS LTD;1
22;2;BLISS GVS PHARMA LTD;2
22;2;BLISS GVS PHARMA LIMITED;1
23;2;LABORATORIOS LA SANTE, C.A. VENEZUELA;2
23;2;LABORATORIOS LA SANTE, C.A. Y LABORATORIOS LA SANTE, S.A.;2
24;2;AUROCHEM LABORATORIES (INDIA) PVT. LTD.;2
24;2;AUROCHEM LABORATORIES INDIA PVT. LTD.;1
25;2;MANUFACTURERA MUNDIAL FARMACEUTICA M.M.F., C.A.;2
25;2;MANUFACTURERA MUNDIAL FARMACEUTICA, M.M.F, C.A.;1
26;2;DEUTSCHE LABS. INC.;2
26;2;DEUTSCHE LABS INC.;1
27;2;LABORATORIOS ALFA S.R.L.;2
27;2;LABORATORIOS ROWE, S.R.L.;1
28;2;BLUEPHARMA - INDUSTRIA FARMACEUTICA, S.A.;1
28;2;BLUEPHARMA-INDUSTRIA FARMACEUTICA, S.A.;1
29;2;INDIANA OPHTHALMICS;1
29;2;INDIANA OPHTHALMICS LLP;1
30;2;EMPRESA FARMACEUTICA "8 DE MARZO";1
30;2;EMPRESA FARMACEUTICA 8 DE MARZO;1
31;2;ASOFARMA DE MEXICO, S.A. DE C.V;1
31;2;ABBOTT LABORATORIES DE MEXICO, S.A. DE C.V;1
