viejo;canonico;productos
LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX C;LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.;3
LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX. C.A.;LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.;2
LABORATORIOS VALMOR,C.A. (VALMORCA);LABORATORIOS VALMOR, C.A.;6
S.M. PHARMA, C.A.;SM PHARMA, C.A.;12
COMPANIA ANONIMA PRODUCTOS RONAVA;C.A. PRODUCTOS RONAVA;2
WEST-COAST PHARMACEUTICALS WORKS LTD;WEST-COAST PHARMACEUTICAL WORKS LTD;3
REMUS PHARMACEUTICALS LTD;REMUS PHARMACEUTICALS PVT. LTD.;3
HIRAL LABS LTD;HIRAL LABS LIMITED;3
SYNOKEM PHARMACEUTICALS LTD;SYNOKEM PHARMACEUTICALS LIMITED;4
CADILA PHARMACEUTICALS LTD;CADILA PHARMACEUTICALS LIMITED;1
BLISS GVS PHARMA LIMITED;BLISS GVS PHARMA LTD;1
PINNACLE LIFE SCIENCE PVT, LTD;PINNACLE LIFE SCIENCE PVT. LTD.;2
PINNACLE LIFE SCIENCE PRIVATE LIMITED;PINNACLE LIFE SCIENCE PVT. LTD.;1
AUROCHEM LABORATORIES INDIA PVT. LTD.;AUROCHEM LABORATORIES (INDIA) PVT. LTD.;1
MANUFACTURERA MUNDIAL FARMACEUTICA, M.M.F, C.A.;MANUFACTURERA MUNDIAL FARMACEUTICA M.M.F., C.A.;1
DEUTSCHE LABS INC.;DEUTSCHE LABS. INC.;1
BLUEPHARMA-INDUSTRIA FARMACEUTICA, S.A.;BLUEPHARMA - INDUSTRIA FARMACEUTICA, S.A.;1
EMPRESA FARMACEUTICA 8 DE MARZO;EMPRESA FARMACEUTICA "8 DE MARZO";1
INDIANA OPHTHALMICS LLP;INDIANA OPHTHALMICS;1
TECNANDINA S.A. TENSA;TECNANDINA S.A.;3
TECNANDINA S.A. / TENSA;TECNANDINA S.A.;1
ANG LIFESCIENCES INDIA LTD (AMRITSAR);ANG LIFESCIENCES INDIA LTD;7
ANG LIFESCIENCES INDIA LTD (DISTT. SOLAN);ANG LIFESCIENCES INDIA LTD;1
GLAXO WELCOME S.A.;GLAXO WELLCOME S.A.;1
MASCOT HEALT SERIES PVT. LTD.;MASCOT HEALTH SERIES PVT. LTD.;2
ZENITH HEALTCARE LTD;ZENITH HEALTHCARE LTD;1
PHARMACIA & UPJHON COMPANY LLC.;PHARMACIA & UPJOHN COMPANY LLC.;1
SANOFI WINTHROP INDUSTRIES;SANOFI WINTHROP INDUSTRIE;1
EMPRESA LABORATORIOS AICA. UNIDAD EMPRESARIAL DE BASE (UEB) LABORATORIOS LIORAD;EMPRESA LABORATORIOS AICA;1
EMPRESA LABORATORIOS AICA. UNIDAD EMPRESARIAL DE BASE (UEB) AICA. PLANTA AMPOLLETAS;EMPRESA LABORATORIOS AICA;1
EMPRESA LABORATORIOS MEDSOL UNIDAD EMPRESARIAL DE BASE (UEB) NOVATEC;EMPRESA LABORATORIOS MEDSOL;4
EMPRESA LABORATORIOS MEDSOL, UNIDAD EMPRESARIAL DE BASE (UEB) REINALDO GUTIERREZ, PLANTA REINALDO GUTIERREZ;EMPRESA LABORATORIOS MEDSOL;2
EMPRESA LABORATORIOS MEDSOL UNIDAD EMPRESARIAL DE BASE (UEB) SOLMED;EMPRESA LABORATORIOS MEDSOL;1
EMPRESA LABORATORIOS MEDSOL. UNIDAD EMPRESARIAL DE BASE (UEB) SOLMED;EMPRESA LABORATORIOS MEDSOL;1
CALOX DE COSTA RICA S.A.;CALOX INTERNATIONAL, C.A.;17
CALOX COSTA RICA S.A. / CALOX INTERNATIONAL, C.A.;CALOX INTERNATIONAL, C.A.;1
LABORATORIO LA SANTE S.A.;LABORATORIOS LA SANTE, C.A.;11
LABORATORIOS LA SANTE, C.A. VENEZUELA;LABORATORIOS LA SANTE, C.A.;2
LABORATORIOS LA SANTE, C.A. Y LABORATORIOS LA SANTE, S.A.;LABORATORIOS LA SANTE, C.A.;2
LABORATORIOS SIEGFRIED S.A.S.;LABORATORIOS SIEGFRIED S.A.;3
LABORATORIOS L.O. OFTALMI, C.A. - LABORATORIOS INNOVA,CA;LABORATORIOS L.O. OFTALMI, C.A.;6
LABORATORIOS INNOVA,CA - LABORATORIOS L.O. OFTALMI, C.A.;LABORATORIOS L.O. OFTALMI, C.A.;3
LABORATORIOS POEN S.A.;LABORATORIOS POEN S.A.U.;1
LABORATORIOS POEN S.A.U. Y MEGA LABS S.A.;LABORATORIOS POEN S.A.U.;1
MEGALABS VZL, C.A. - LABORATORIOS ROWE, SRL;MEGALABS S.A.;2
LABORATORIO ELEA S.A.C.I.F. Y A;LABORATORIO ELEA PHOENIX S.A.;1
EUROFARMA LABORATORIOS LTDA.;EUROFARMA LABORATORIOS, S.A.;1
EUROFARMA COLOMBIA S.A.S.;EUROFARMA LABORATORIOS, S.A.;1
LABORATORIOS BIOGALENIC S.A. DE C.V;LABORATORIO BIOGALENIC C.A.;2
BAYER AG;BAYER, S.A.;1
BAYER HEALTHCARE LLC.;BAYER, S.A.;1
PFIZER PHARMACEUTICALS LLC.;PFIZER VENEZUELA, S.A.;1
LEK S.A.;LEK PHARMACEUTICALS D.D;1
