id,sku,nombre_comercial,foto_url
37294,ME4629/3,ACIDO FOLICO 5 MG X 20 COMPRIMIDOS,
37295,ME4629/4,ACIDO FOLICO 5 MG X 30 COMPRIMIDOS,
37299,ME36224/3,ACIDO FOLICO 10 MG X 20 TABLETAS,
37300,ME36224/4,ACIDO FOLICO 10 MG X 30 TABLETAS,
37308,ME33539,ACETAMINOFEN 500 X 10 COMPRIMIDOS,
37309,ME43639/2,ACETAMINOFEN 650 MG X 10 TABLETAS,
37315,ME42488,ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL,
37318,ME31234,ACETAMINOFEN 500 MG X 10 TABLETAS,
37319,ME23275/2,ACETAMINOFEN 500 MG X 10 TABLETAS,
37342,ME31108,ACICLOVIR 200 MG X 25 TABLETAS,
37348,ME42963,ACIDO ASCORBICO 100 MG / ML SOLUCION ORAL,
37351,HO3187/2,ACIDO FOLICO 10 MG / ML X 3 AMPOLLAS,
37353,ME33347,ACIDO FOLICO 10 MG COMPRIMIDOS,
37354,ME4630/3,ACIDO FOLICO 10 MG X 20 COMPRIMIDOS,
37355,ME4630/4,ACIDO FOLICO 10 MG X 30 COMPRIMIDOS,
37357,ME38298,ACIDO FOLICO 10 MG X 30 COMPRIMIDOS,
37358,ME4631,ACIDO FOLICO 10 MG / ML SOLUCION ORAL,
37359,ME33559,ACIDO FOLICO 10 MG X 30 TABLETAS,
37360,ME36039,ACIDO FOLICO 5 MG X 30 TABLETAS,
37385,ME34122/2,ALBENDAZOL 200 MG X 2 TABLETAS,
37386,ME34122/3,ALBENDAZOL 200 MG X 6 TABLETAS,
37387,ME35827,ALBENDAZOL 200 MG X 6 TABLETAS MASTICABLES,
37398,ME34933,AMITAFEN FORTE 650 MG X 10 TABLETAS,
37404,ME28860,ALPRAZOLAM 0.5 MG X 30 TABLETAS,
37405,ME28861,ALPRAZOLAM 1 MG X 30 TABLETAS,
37406,ME39231,ALPRAZOLAM 2 MG X 30 TABLETAS,
37421,ME31452,AMIODARONA CLORHIDRATO 200 MG X 10 COMPRIMIDOS,
37422,ME32403,AMIODARONA CLORHIDRATO 200 MG X 10 TABLETAS,
37423,ME30206/3,AMLODIPINA 10 MG X 30 COMPRIMIDOS,
37426,ME38145,AMLODIPINA 5 MG X 30 COMPRIMIDOS,
37428,ME32016/3,AMLODIPINA 10 MG X 30 TABLETAS,
37432,ME28705/3,AMLODIPINA 5 MG X 30 TABLETAS,
37434,ME40038,AMLODIPINA - VALSARTAN 5 MG - 160 MG X 30 COMPRIMIDOS RECUBIERTOS,
37443,ME26817,AMOXICILINA 500 MG X 12 CAPSULAS,
37444,ME35002,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,
37445,ME20104,AMOXICILINA 125 MG / 5 ML POLVO PARA SUSPENSION,
37448,ME32409,AMOXICILINA - ACIDO CLAVULANICO 875 MG - 125 MG COMPRIMIDOS,
37471,ME43410/2,ANTAAR 1.25 MG X 10 TABLETAS RECUBIERTAS,
37476,ME42864,APIRET 120 MG / 5 ML SOLUCION ORAL,
37477,ME42860,APIRET 160 MG / 5 ML SOLUCION ORAL,
37502,ME31150,ASCAFYL PLUS X 10 TABLETAS RECUBIERTAS,
37503,ME17492,ASCAFYL X 10 TABLETAS RECUBIERTAS,
37508,ME19621/2,ATAMEL 500 MG X 10 TABLETAS,
37514,ME25982,ATENOLOL 50 MG X 30 COMPRIMIDOS,
37517,ME32690/2,ATORVASTATINA 20 MG X 10 COMPRIMIDOS RECUBIERTOS,
37519,ME32690/4,ATORVASTATINA 20 MG X 30 COMPRIMIDOS RECUBIERTOS,
37520,ME35911,ATORVASTATINA 40 MG X 30 COMPRIMIDOS RECUBIERTOS,
37521,ME36444,ATORVASTATINA 20 MG X 30 TABLETAS RECUBIERTAS,
37523,ME35340/3,ATORVASTATINA 40 MG X 30 TABLETAS RECUBIERTAS,
37548,ME34643,AZITROMICINA 500 MG X 5 TABLETAS RECUBIERTAS,
37586,ME44259/2,BIPROLIL HCT 5 MG - 6.25 MG X 15 COMPRIMIDOS RECUBIERTOS,
37588,ME40280,BISOBLOC H 5 MG - 6.25 MG TABLETAS RECUBIERTAS,
37590,ME39140,BISOPROLOL FUMARATO 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,
37591,ME36891,BISOPROLOL FUMARATO - HIDROCLOROTIAZIDA 5 MG - 6.25 MG X 30 TABLETAS,
37593,ME43801,BISOPROLOL FUMARATO 10 MG X 30 TABLETAS RECUBIERTAS,
37604,ME35864,BRASARTAN 160 MG X 30 TABLETAS RECUBIERTAS,
37612,ME31206,BROMAZEPAM 3 MG X 30 COMPRIMIDOS,
37613,ME31207,BROMAZEPAM 6 MG X 30 COMPRIMIDOS,
37632,HO43908,BUPIVACAINA 50 MG / 10 ML SOLUCION INYECTABLE,
37634,ME43035/2,BUTAL 8 MG X 10 TABLETAS RECUBIERTAS,
37637,ME30197,CALCIBON 200 MG X 30 TABLETAS RECUBIERTOS,
37656,ME43971,CANDESARTAN CILEXETILO 16 MG X 10 COMPRIMIDOS,
37657,ME32214/2,CANDESARTAN 8 MG X 10 COMPRIMIDOS,
37658,ME32214/3,CANDESARTAN 8 MG X 30 COMPRIMIDOS,
37669,ME25978/3,CAPTOPRIL 25 MG X 30 COMPRIMIDOS,
37672,ME25738/3,CAPTOPRIL 25 MG X 30 TABLETAS,
37673,ME25737,CAPTOPRIL 50 MG X 30 TABLETAS,
37674,ME27075,CARBAMAZEPINA 200 MG X 30 COMPRIMIDOS,
37675,ME24815/4,CARBAMAZEPINA 200 MG X 30 COMPRIMIDOS,
37682,ME33422/2,CARBATIL 12.5 MG X 10 TABLETAS,
37684,ME32430,CARBONATO DE LITIO 300 MG X 20 CAPSULAS,
37691,ME31747,CARVEDILOL 12.5 MG X 30 COMPRIMIDOS,
37697,ME31748/3,CARVEDILOL 25 MG X 30 COMPRIMIDOS,
37698,ME31748/2,CARVEDILOL 25 MG X 15 COMPRIMIDOS,
37699,ME35572/3,CARVEDILOL 6.25 MG X 30 TABLETAS RECUBIERTAS,
37700,ME35572/2,CARVEDILOL 6.25 MG X 20 TABLETAS RECUBIERTAS,
37701,ME36321/2,CARVEDILOL 25 MG X 14 TABLETAS RECUBIERTAS,
37702,ME36321/3,CARVEDILOL 25 MG X 28 TABLETAS RECUBIERTAS,
37706,ME28103,CEFADROXILO 500 MG X 10 CAPSULAS,
37712,ME40533,CEFIXIMA 400 MG X 5 CAPSULAS,
37726,ME31148,CETIRIZINA DICLORHIDRATO 10 MG X 10 TABLETAS RECUBIERTAS,
37728,ME27761,CETIRIZINA 10 MG X 10 COMPRIMIDOS RECUBIERTOS,
37739,ME27924,CICLOFTAL1 % SOLUCION OFTALMICA,
37748,ME35819,CINNARIZINA 75 MG X 10 CAPSULAS,
37757,ME27827/5,CIPROFLOXACINA 500 MG X 14 TABLETAS RECUBIERTAS,
37762,ME30890,CIPROFLOXACINO 500 MG X 14 TABLETAS RECUBIERTAS,
37764,ME41565/2,CITICOLINA 500 MG X 10 TABLETAS RECUBIERTAS,
37765,ME41565/3,CITICOLINA 500 MG X 30 TABLETAS RECUBIERTAS,
37770,ME31140,CLARITROMICINA 500 MG X 10 TABLETAS RECUBIERTAS,
37771,ME25929,CLARIX 0.25 MG / ML SOLUCION NASAL,
37774,ME23979,CLENBUNAL 0.005 MG / 5 ML SOLUCION ORAL,
37775,ME29289,CLENBUNAL 0.014 MG / ML SOLUCION ORAL,
37782,HO27704,CLINDAMICINA 600 MG / 4 ML X 1 AMPOLLA,
37787,ME33581,CLOFEN 1.8 MG / ML SUSPENSION ORAL,
37801,ME34084/2,CLOPIDOGREL 75 MG X 14 COMPRIMIDOS RECUBIERTOS,
37804,ME36122,CLOPIDOGREL 75 MG X 14 TABLETAS RECUBIERTAS,
37810,ME29314,CLORACE 125 - 0.5 MG / 5 ML SOLUCION ORAL,
37821,ME43020,CLOTRIMAZOL 200 MG CAPSULAS BLANDAS VAGINALES,
37822,ME37900,CLOTRIMAZOL 10 % CREMA VAGINAL,
37825,ME25498,CO-SULTRIN 40 MG - 200 MG / 5 ML X 20 SUSPENSION,
37827,ME44294,COZOMINA T 2 % - 0.5 % SOLUCION OFTALMICA,
