producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37296,ME4629/2,ACIDO FOLICO 5 MG X 10 COMPRIMIDOS,ACIDO FOLICO,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,sin_match_cobeca
37297,ME43837,ACIDO FOLICO 10 MG X 10 TABLETAS,ACIDO FOLICO,Folico Acido,TABLETAS,"BIOQUIMICA INTERNACIONAL, C.A.",sin_match_cobeca
37298,ME36224/2,ACIDO FOLICO 10 MG X 10 TABLETAS,ACIDO FOLICO,Folico Acido,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",sin_match_cobeca
37301,ME43836,ACIDO FOLICO 5 MG X 10 TABLETAS,ACIDO FOLICO,Folico Acido,TABLETAS,"BIOQUIMICA INTERNACIONAL, C.A.",sin_match_cobeca
37302,ME43094,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,ACIDO IBANDRONICO,Acido Ibandronico Sodio Monohidrato,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,sin_desc_lab
37303,ME43992,ACIDO TRANEXAMICO 500 MG X 10 TABLETAS RECUBIERTAS,ACIDO TRANEXAMICO,Tranexamico Acido,TABLETAS,SHILPA PHARMA LIFESCIENCES LIMITED,sin_desc_lab
37306,ME42665,ACECLOFENACO 100 MG X 10 TABLETAS RECUBIERTAS,ACECLOFENACO,Aceclofenaco,TABLETAS,THEON PHARMACEUTICALS LTD,sin_desc_lab
37311,ME43639/4,ACETAMINOFEN 650 MG X 30 TABLETAS,ACETAMINOFEN,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",sin_match_cobeca
37312,ME43707,ACETAMINOFEN 150 MG / 5 ML JARABE,ACETAMINOFEN,Acetaminofen,JARABE,AARTI PHARMALABS LIMITED,sin_desc_lab
37313,ME40083,ACETAMINOFEN 120 MG / 5 ML SOLUCION ORAL,ACETAMINOFEN,Acetaminofen,SOLUCION ORAL,"SM PHARMA, C.A.",sin_desc_lab
37314,ME40084,ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL,ACETAMINOFEN,Acetaminofen,SOLUCION ORAL,"SM PHARMA, C.A.",sin_desc_lab
