id,sku,nombre_comercial,foto_url
37291,ME36296,ABRETIA 10 MG X 10 CAPSULAS,
37292,ME36437,ABRETIA 18 MG X 10 CAPSULAS,
37293,ME36438,ABRETIA 25 MG X 20 CAPSULAS,
37305,ME23534,ACALIX 60 MG X 30 TABLETAS,
37307,ME36867,ACETAB 250 MG X 20 TABLETAS,
37329,ME24875,ACEVAL 100 MG / ML SOLUCION ORAL EN GOTAS,
37330,ME42976,ACEVAL 180 MG / 5 ML SOLUCION ORAL,
37331,ME30496/2,ACEVAL 650 MG X 10 TABLETAS,
37332,ME30496/3,ACEVAL 650 MG X 50 TABLETAS,
37333,ME31082,ACICLOR 1 G X 10 COMPRIMIDOS A.P.,
37334,ME24209,ACICLOR 5 % CREMA,
37362,ME43542,ACIDO MEFENAMICO 500 MG X 10 TABLETAS,
37364,ME23174/3,VALPRON 500 MG X 30 TABLETAS,
37370,ME36828/2,AFLAMAX 50 MG X 10 TABLETAS RECUBIERTAS,
37371,ME36828/3,AFLAMAX 50 MG X 20 TABLETAS RECUBIERTAS,
37372,ME27634,AFOKLIN 5 MG X 20 COMPRIMIDOS,
37373,ME27414,AFOKLIN 10 MG / ML SOLUCION ORAL,
37376,ME43879,AIRCOF PLUS 5 MG - 2.5 MG X 30 TABLETAS MASTICABLES,
37377,ME43889,AIRCOF 10 MG X 30 TABLETAS MASTICABLES,
37378,ME20628,AIRFEN 0.05 % SOLUCION NASAL,
37379,ME33783/3,AIRON 10 MG X 30 TABLETAS RECUBIERTAS,
39028,ME33777/3,AIRON 5 MG X 30 TABLETAS MASTICABLES,
37388,ME28826,ALBICAR 400 MG / 10 ML SUSPENSION,
37389,ME27447/2,ALBICAR 200 MG X 2 TABLETAS,
37390,ME27447/3,ALBICAR 200 MG X 6 TABLETAS,
37392,ME43312,ALENTIK 70 MG X 4 TABLETAS,
37393,ME33876,ALERGOT 0.05 % SOLUCION OFTALMICA,
37394,ME35409,ALFADYN 0.2 % SOLUCION OFTALMICA,
37395,ME42912,ALGIOL 5 MG X 30 COMPRIMIDOS RECUBIERTOS,
37396,ME16713,ALGOREN 10 MG X 20 TABLETAS,
37401,ME33170,ALPRAM 0.5 MG X 30 TABLETAS,
37402,ME33214,ALPRAM 1 MG X 30 TABLETAS,
37403,ME33171,ALPRAM 2 MG X 30 TABLETAS,
37407,ME33085/2,ALSART 160 MG X 10 CAPSULAS,
37409,ME33084/2,ALSART 80 MG X 10 CAPSULAS,
37410,ME33084/3,ALSART 80 MG X 30 CAPSULAS,
37411,ME41242,ALURON 300 MG X 20 COMPRIMIDOS,
37412,ME16002,ALURON 100 MG X 30 TABLETAS,
37413,ME44324,AMANIRIS 81 MG X 30 COMPRIMIDOS CON CUBIERTA ENTERICA,
37449,ME31313,AMOXIDUO 875 MG X 14 COMPRIMIDOS RECUBIERTOS,
37450,ME21824,AMOXIVAL 500 MG X 12 CAPSULAS,
37453,ME40054,AMOXIVAL 875 MG X 20 TABLETAS RECUBIERTAS,
37455,ME43076,AMPLIDER 50 MG X 10 CAPSULAS BLANDAS,
37456,ME35424,ANALPER PLUS 500 MG - 10 MG X 10 TABLETAS RECUBIERTAS,
37457,ME40477,ANANTY FORTE 160 MG / 5 ML SUSPENSION,
37458,ME38820,ANANTY 120 MG / 5 ML SUSPENSION,
37459,ME42977,ANANTY 650 MG X 10 TABLETAS,
37460,ME44118,ANAPIRFLEX 600 MG – 4 MG X 10 TABLETAS RECUBIERTAS,
37462,ME24592/3,ANASMOL 5 MG X 30 COMPRIMIDOS,
39051,ME27042,ANASMOL 2.5 MG COMPRIMIDOS,
37467,ME30811,ANSILAN 0.5 MG X 30 COMPRIMIDOS RECUBIERTOS,
37468,ME30871,ANSILAN 1 MG X 30 COMPRIMIDOS RECUBIERTOS,
37469,ME41688,ANSILAN 2 MG X 30 COMPRIMIDOS RECUBIERTOS,
37470,ME43410/3,ANTAAR 1.25 MG X 30 TABLETAS RECUBIERTAS,
37472,ME39619,ANTAAR 10 MG X 30 TABLETAS RECUBIERTAS,
39054,ME40060/3,ANTAAR 2.5 MG X 30 TABLETAS RECUBIERTAS,
39055,ME40060/2,ANTAAR 2.5 MG X 10 TABLETAS RECUBIERTAS,
39056,ME40058,ANTAAR 5 MG X 30 TABLETAS RECUBIERTAS,
37473,ME40192,ANTIFOM 160 MG X 10 COMPRIMIDOS RECUBIERTOS,
37475,ME43225,APIRET FORTE 650 MG X 10 TABLETAS,
37478,ME43224,APIRET 500 MG X 10 TABLETAS,
39061,ME42275,APIRET 125 MG SUPOSITORIOS,
39062,ME34032,APIRET 180 MG / 5 ML SOLUCION ORAL,
39063,ME42141,APIRET 250 MG SUPOSITORIOS,
37482,ME42366/3,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A BANANA,
37483,ME42366/2,APLACAL 750 MG X 10 TABLETAS MASTICABLES SABOR A BANANA,
39064,ME42368/2,APLACAL 750 MG TABLETAS MASTICABLES SABOR A FRAMBUESA X 10 TABLETAS,
39065,ME42368/3,APLACAL 750 MG TABLETAS MASTICABLES SABOR A FRAMBUESA X 80 TABLETAS,
39066,ME42365/2,APLACAL 750 MG X 10 TABLETAS MASTICABLES SABOR A MENTA,
39067,ME42365/4,APLACAL 750 MG X 120 TABLETAS MASTICABLES SABOR A MENTA,
39068,ME42365/3,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A MENTA,
39069,ME42367,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A MANDARINA,
37484,ME43975,APLEXIL 550 MG X 10 TABLETAS RECUBIERTAS,
37488,ME41482,ARCOVAL 60 MG X 10 TABLETAS RECUBIERTAS,
37489,ME41483,ARCOVAL 90 MG X 10 TABLETAS RECUBIERTAS,
37490,ME40810/3,ARESAN 20 MG X 30 TABLETAS RECUBIERTAS,
37491,ME40810/2,ARESAN 20 MG X 10 TABLETAS RECUBIERTAS,
37492,ME23768,ARTENOLOL 100 MG X 30 TABLETAS,
37493,ME41487/2,ARUDIL 15 MG X 10 TABLETAS RECUBIERTAS,
37494,ME41487/3,ARUDIL 15 MG X 30 TABLETAS RECUBIERTAS,
37495,ME41488/2,ARUDIL 20 MG X 10 TABLETAS RECUBIERTAS,
37496,ME41488/3,ARUDIL 20 MG X 30 TABLETAS RECUBIERTAS,
37497,ME32453/3,ASAPROL 81 MG X 100 COMPRIMIDOS ENTERICOS,
37498,ME32453/2,ASAPROL 81 MG X 40 COMPRIMIDOS ENTERICOS,
37499,ME42249,ASARAP 10 MG X 30 COMPRIMIDOS RECUBIERTOS,
37500,ME42248,ASARAP 15 MG X 30 COMPRIMIDOS RECUBIERTOS,
37501,ME42294,ASARAP 20 MG X 30 COMPRIMIDOS RECUBIERTOS,
37504,ME38676/2,ASPRINIL 81 MG X 40 TABLETAS CON RECUBRIMIENTO ENTERICO,
37505,ME38676/3,ASPRINIL 81 MG X 100 TABLETAS CON RECUBRIMIENTO ENTERICO,
37506,ME43710,ASTRIMOL 2.5 MG X 30 TABLETAS RECUBIERTAS,
39079,ME43853,ASTRIMOL 5 MG X 30 TABLETAS RECUBIERTAS,
37507,ME33008,ATAMEL FORTE 650 MG X 10 TABLETAS,
37509,ME19621/3,ATAMEL 500 MG X 20 TABLETAS,
39433,ME24736,ATAMEL 120 MG / 5 ML JARABE,
37515,ME39468/2,ATORVACOF 20 MG X 14 TABLETAS RECUBIERTAS,
37526,ME30954,ATRIMON 10 MG X 10 COMPRIMIDOS,
37527,ME40958,ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO,
37528,HO35376,ATROPINA SULFATO 1 MG / ML X 10 AMPOLLAS,
37529,ME36259,ATROVERAN 10 MG / ML X 10 SOLUCION GOTAS,
39088,ME36258,ATROVERAN 10 MG X 10 TABLETAS RECUBIERTAS,
37530,ME44345,ATROVERAN FEM 10 MG-200 MG X 10 COMPRIMIDOS RECUBIERTOS,
37531,ME25538,AUGMENTIN 500 MG - 125 MG TABLETAS RECUBIERTAS,
37533,ME42005,AUPREL 90 MG X 20 COMPRIMIDOS RECUBIERTOS,
37534,ME30878,AVELOX 400 MG X 5 COMPRIMIDOS RECUBIERTOS,
37535,ME34732,AVODART 0.5 MG CAPSULAS BLANDAS,
37536,ME33902,AXOKINE 400 MG X 5 COMPRIMIDOS RECUBIERTOS,
37537,ME33685/2,AZACARD 81 MG X 30 TABLETAS CON CUBIERTA ENTERICA,
37538,ME33685/3,AZACARD 81 MG X 60 TABLETAS CON CUBIERTA ENTERICA,
37539,ME33685/4,AZACARD 81 MG X 100 TABLETAS CON CUBIERTA ENTERICA,
37540,ME36378/2,AZIMAKROL 1 G X 2 COMPRIMIDOS RECUBIERTOS,
37541,ME36378/3,AZIMAKROL 1 G X 5 COMPRIMIDOS RECUBIERTOS,
37542,ME36516/2,AZITRODEX 500 MG X 3 TABLETAS RECUBIERTAS,
37543,ME36516/3,AZITRODEX 500 MG X 5 TABLETAS RECUBIERTAS,
37551,ME14109,BACTEVAL 250 MG - 50 MG X 24 CAPSULAS,
37552,ME35252,BACTRON FORTE 160 MG - 800 MG X 10 TABLETAS,
37553,HO30851,BACTRIZOL 5 MG / ML SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,
37554,ME18573,BACTRON 80 MG - 400 MG X 20 TABLETAS,
37555,ME27531,BARGONIL 2 % UNGUENTO,
37556,HO29957,BEHKACIN 500 MG / 2 ML X 1 AMPOLLA,
37558,ME22165,BENDAMEN 100 MG / 5 ML SUSPENSION,
37559,ME21687,BENDAMEN 100 MG X 6 TABLETAS,
37560,ME25332,BENFLUX 30 MG X 20 TABLETAS,
37561,ME39719,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A LIMON - MIEL,
37562,ME16799,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A MENTA,
37564,ME33045/3,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A TUTTI FRUTTI,
37565,ME38253,BEPRODERM 0.05 % - 0.1 % CREMA,
37568,HO16114,BETAGEN 4 MG / ML X 1 AMPOLLA,
37569,HO34949,BETAGEN 12 MG / 3 ML X 1 AMPOLLA,
37577,ME41747,BIOCOR AMLO 20 MG - 5 MG X 30 TABLETAS RECUBIERTAS,
37578,ME41748,BIOCOR AMLO 40 MG - 5 MG X 30 TABLETAS RECUBIERTAS,
37579,ME41691,BIOCOR 40 MG X 30 TABLETAS RECUBIERTAS,
39098,ME41690,BIOCOR 20 MG X 30 TABLETAS RECUBIERTAS,
37580,ME38247/2,BIOTALOL 2.5 MG X 10 COMPRIMIDOS RECUBIERTOS,
37581,ME38247/3,BIOTALOL 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,
37582,ME42096,BIOTALOL 1.25 MG X 30 COMPRIMIDOS RECUBIERTOS,
37583,ME38403,BIOTALOL 10 MG X 30 COMPRIMIDOS RECUBIERTOS,
37584,ME28126,BIPRIN 300 MG X 10 CAPSULAS BLANDAS,
37585,ME44259/3,BIPROLIL HCT 5 MG - 6.25 MG X 30 COMPRIMIDOS RECUBIERTOS,
37596,ME40147/2,BLOCAX PLUS 16 MG - 12.5 MG X 10 TABLETAS,
37597,ME40147/3,BLOCAX PLUS 16 MG - 12.5 MG X 30 TABLETAS,
37598,ME41273/2,BLOCAX 8 MG X 10 TABLETAS,
37599,ME41273/3,BLOCAX 8 MG X 30 TABLETAS,
37600,ME22761,BLOKIUM 100 MG X 30 COMPRIMIDOS,
37601,ME35863,BRASARTAN 80 MG X 30 TABLETAS RECUBIERTAS,
39115,ME41912,BRASARTAN 80 MG X 30 CAPSULAS,
37603,ME42224/3,BRASARTAN CTDN 80 MG - 12.5 MG X 30 TABLETAS RECUBIERTAS,
37605,ME22276,BREINOX 800 MG X 30 TABLETAS,
37606,ME43812/2,BRESIS 600 MG X 20 COMPRIMIDOS RECUBIERTOS,
37607,ME43812/3,BRESIS 600 MG X 30 COMPRIMIDOS RECUBIERTOS,
37608,ME21818,BREXIN 100 MG / ML SOLUCION ORAL,
37610,ME43576,BROFLEMA 4 MG - 5 ML JARABE,
37611,ME40082,BROLAT 5 MG - 30 MG X 10 TABLETAS,
37619,ME41040,BRUDOL 200 MG - 65 MG X 20 COMPRIMIDOS RECUBIERTOS,
37620,ME40856,BRUDOL 400 MG - 65 MG X 20 COMPRIMIDOS RECUBIERTOS,
37621,ME19149,BRUGESIC 400 MG X 10 COMPRIMIDOS,
37623,ME40290,BRUGESIC FORTE 800 MG X 10 COMPRIMIDOS,
37625,ME41132,BUCOXOLGAR 3 MG - 1 MG X 12 TABLETAS MASTICABLES SABOR A MIEL LIMON,
39590,ME41676,BUCOXOLGAR 0.15 % - 0.25 % SOLUCION TOPICA BUCAL ATOMIZADORA SABOR A MENTA FRESCA,
37626,ME30917,BUDECORT 1 MG / ML SUSPENSION PARA INHALAR,
37627,ME44539,BUDEQUIT 1 MG / ML SUSPENSION PARA INHALACION ORAL,
37628,HO24616,BUMELEX 0.5 MG / 2 ML X 3 AMPOLLAS,
37629,ME22582/3,BUMELEX 1 MG X 30 COMPRIMIDOS,
37630,ME22582/2,BUMELEX 1 MG X 16 COMPRIMIDOS,
37631,ME32358,BUMETIN RETARD 300 MG X 20 TABLETAS DE LIBERACION PROLONGADA,
37633,ME43035/3,BUTAL 8 MG X 20 TABLETAS RECUBIERTAS,
