producto_id,sku,nombre_comercial,nucleo,foto_url,fuente,detalle
37291,ME36296,ABRETIA 10 MG X 10 CAPSULAS,ABRETIA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17769.jpg,cobeca,ABRETIA CAP 10MG X10 MEG
37292,ME36437,ABRETIA 18 MG X 10 CAPSULAS,ABRETIA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17770.jpg,cobeca,ABRETIA CAP 18MG X10 MEG
37293,ME36438,ABRETIA 25 MG X 20 CAPSULAS,ABRETIA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17768.jpg,cobeca,ABRETIA CAP 25MG X20 MEG
37305,ME23534,ACALIX 60 MG X 30 TABLETAS,ACALIX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4986.jpg,cobeca,ACALIX TAB 60MG X30 VARG
37307,ME36867,ACETAB 250 MG X 20 TABLETAS,ACETAB,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90118.jpg,cobeca,ACETAB TAB 250MG X20 L.O
37329,ME24875,ACEVAL 100 MG / ML SOLUCION ORAL EN GOTAS,ACEVAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4669.jpg,cobeca,ACEVAL GTS SOL 100MG/ML 30ML VLM
37330,ME42976,ACEVAL 180 MG / 5 ML SOLUCION ORAL,ACEVAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22391.jpg,cobeca,ACEVAL SOL PED 180MG/5ML 120ML VLM
37331,ME30496/2,ACEVAL 650 MG X 10 TABLETAS,ACEVAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/646.jpg,cobeca,ACEVAL TAB 650MG X10 VLM
37332,ME30496/3,ACEVAL 650 MG X 50 TABLETAS,ACEVAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24308.jpg,cobeca,ACEVAL TAB 650MG X50 VLM
37333,ME31082,ACICLOR 1 G X 10 COMPRIMIDOS A.P.,ACICLOR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3203.jpg,cobeca,ACICLOR AP COMP 1G X10 LETI
37334,ME24209,ACICLOR 5 % CREMA,ACICLOR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8876.jpg,cobeca,ACICLOR CREM 5% 10G LETI
37362,ME43542,ACIDO MEFENAMICO 500 MG X 10 TABLETAS,ACIDO MEFENAMICO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28706.jpg,cobeca,ACIDO MEFENAMICO TAB 500MG X 10 FM
37364,ME23174/3,VALPRON 500 MG X 30 TABLETAS,VALPRON,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5235.jpg,cobeca,VALPRON TAB 500MG X30 FAR
37370,ME36828/2,AFLAMAX 50 MG X 10 TABLETAS RECUBIERTAS,AFLAMAX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19583.jpg,cobeca,AFLAMAX TAB REC 50MG X10 L.O
37371,ME36828/3,AFLAMAX 50 MG X 20 TABLETAS RECUBIERTAS,AFLAMAX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92341.jpg,cobeca,AFLAMAX TAB REC 50MG X20 L.O
37372,ME27634,AFOKLIN 5 MG X 20 COMPRIMIDOS,AFOKLIN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/778.jpg,cobeca,AFOKLIN COMP 5MG X20 MEG
