producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio
37303,ME43992,ACIDO TRANEXAMICO 500 MG X 10 TABLETAS RECUBIERTAS,ACIDO TRANEXAMICO,Tranexamico Acido,TABLETAS,SHILPA PHARMA LIFESCIENCES LIMITED
37322,ME37101/3,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10 MG X 20 TABLETAS RE,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO,,TABLETAS,"LABORATORIO LA SANTE, C.A."
37323,ME37101/2,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10 MG X 10 TABLETAS RE,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO,,TABLETAS,"LABORATORIO LA SANTE, C.A."
37325,ME40713,ACETAMINOFEN - CLORFENIRAMINA 125 MG - 1 MG / 5 ML JARABE,ACETAMINOFEN - CLORFENIRAMINA,,JARABE,"SM PHARMA, C.A."
37326,ME39115,ACETAMINOFEN - TRAMADOL 325 MG - 37.5 MG X 10 COMPRIMIDOS,ACETAMINOFEN - TRAMADOL,,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A."
37338,ME28634,ACICLOR 200 MG / 5 ML POLVO PARA SUSPENSION,ACICLOR,Aciclovir,POLVO PARA RECONSTITUCION,"LABORATORIOS LETI, S.A.V."
37335,ME43512,ACICLOVIR CREMA 5 %,ACICLOVIR CREMA,Aciclovir - Parafina Blanda - Sodio Hidrogeno Carbonato,CREMA,"JIANGXI SYNERGY PHARMACEUTICAL CO., LTD"
37337,HO1046,MONARC- M 250 U. 1 X 1 AMPOLLA,MONARC- M,,INYECTABLE,CORPORACION COLIMODIO C.A.
37345,ME34553/2,ACIDO ACETILSALICILICO 81 MG X 24 TABLETAS CON CUBIERTA ENTERICA,ACIDO ACETILSALICILICO,,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A."
37346,ME34553/3,ACIDO ACETILSALICILICO 81 MG X 30 TABLETAS CON CUBIERTA ENTERICA,ACIDO ACETILSALICILICO,,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A."
37349,ME1457,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO) 20 MG / ML - 3 MG / ML GEL INYECTABLE,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO),Hialuronico Acido,INYECTABLE,Q-MED AB.
37361,ME37466,FUCIDIN H 20 MG - 10 MG / G CREMA.,FUCIDIN H,Acido Fusidico Hemihidrato,CREMA,"LEO LABORATORIES LTD, IRLANDA"
37363,ME23174/2,VALPRON 500 MG X 10 TABLETAS,VALPRON,Valproico Acido,TABLETAS,LABORATORIOS FARMA S.A.
38912,ME23835,VALPRON 250 MG / 5 ML JARABE,VALPRON,,JARABE,LABORATORIOS FARMA S.A.
