id,sku,nombre_comercial,descripcion,marca_id,precio_usd,foto_url,activo,created_at,updated_at,molecula,linea,forma,disponible,requiere_cotizacion,visible_catalogo,es_cotizacion,pais_id,fuente_inhrr_ef,laboratorio,costo_usd,presentacion,unidades_por_presentacion
37291,ME36296,ABRETIA 10 MG X 10 CAPSULAS,ATOMOXETINA,,26.85,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:23 GMT-0400 (hora de Venezuela),Atomoxetina,Linea Farmacia,CAPSULAS,true,false,true,false,,E.F.36.296,MEGALABS S.A.,16.11,X 10 CAPSULAS,10
37292,ME36437,ABRETIA 18 MG X 10 CAPSULAS,ATOMOXETINA,,45.02,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:23 GMT-0400 (hora de Venezuela),Atomoxetina,Linea Farmacia,CAPSULAS,true,false,true,false,,E.F.36.437,MEGALABS S.A.,27.01,X 10 CAPSULAS,10
37293,ME36438,ABRETIA 25 MG X 20 CAPSULAS,ATOMOXETINA,,68.58,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:23 GMT-0400 (hora de Venezuela),Atomoxetina,Linea Farmacia,CAPSULAS,true,false,true,false,,E.F.36.438,MEGALABS S.A.,41.15,X 20 CAPSULAS,20
37294,ME4629/3,ACIDO FOLICO 5 MG X 20 COMPRIMIDOS,ACIDO FOLICO,,2.03,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:23 GMT-0400 (hora de Venezuela),Folico Acido,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.G.4.629,MEGALABS S.A.,1.22,X 20 COMPRIMIDOS,20
37295,ME4629/4,ACIDO FOLICO 5 MG X 30 COMPRIMIDOS,ACIDO FOLICO,,3.68,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:23 GMT-0400 (hora de Venezuela),Folico Acido,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.G.4.629,MEGALABS S.A.,2.21,X 30 COMPRIMIDOS,30
37296,ME4629/2,ACIDO FOLICO 5 MG X 10 COMPRIMIDOS,ACIDO FOLICO,,1.95,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:23 GMT-0400 (hora de Venezuela),Folico Acido,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.G.4.629,MEGALABS S.A.,1.17,X 10 COMPRIMIDOS,10
37297,ME43837,ACIDO FOLICO 10 MG X 10 TABLETAS,ACIDO FOLICO,,4.42,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:23 GMT-0400 (hora de Venezuela),Folico Acido,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.837,"BIOQUIMICA INTERNACIONAL, C.A.",2.65,X 10 TABLETAS,10
37298,ME36224/2,ACIDO FOLICO 10 MG X 10 TABLETAS,ACIDO FOLICO,,1.77,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:24 GMT-0400 (hora de Venezuela),Folico Acido,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.36.224,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",1.06,X 10 TABLETAS,10
37299,ME36224/3,ACIDO FOLICO 10 MG X 20 TABLETAS,ACIDO FOLICO,,3.15,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:24 GMT-0400 (hora de Venezuela),Folico Acido,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.36.224,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",1.89,X 20 TABLETAS,20
37300,ME36224/4,ACIDO FOLICO 10 MG X 30 TABLETAS,ACIDO FOLICO,,4.17,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:24 GMT-0400 (hora de Venezuela),Folico Acido,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.36.224,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",2.5,X 30 TABLETAS,30
37301,ME43836,ACIDO FOLICO 5 MG X 10 TABLETAS,ACIDO FOLICO,,2.77,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:24 GMT-0400 (hora de Venezuela),Folico Acido,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.836,"BIOQUIMICA INTERNACIONAL, C.A.",1.66,X 10 TABLETAS,10
37302,ME43094,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,ACIDO IBANDRONICO,,6.07,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:24 GMT-0400 (hora de Venezuela),Acido Ibandronico Sodio Monohidrato,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.094,MASCOT HEALTH SERIES PVT. LTD.,3.64,X 1 TABLETA RECUBIERTA,1
37303,ME43992,ACIDO TRANEXAMICO 500 MG X 10 TABLETAS RECUBIERTAS,ACIDO TRANEXAMICO,,8.62,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:24 GMT-0400 (hora de Venezuela),Tranexamico Acido,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.992,SHILPA PHARMA LIFESCIENCES LIMITED,5.17,X 10 TABLETAS RECUBIERTAS,10
37304,ME44030,ACIDO VALPROICO 250 MG / 5 ML JARABE,VALPROATO DE SODIO,,21.43,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Mon Sep 21 2026 19:03:24 GMT-0400 (hora de Venezuela),Valproato Sodio,Linea Farmacia,JARABE,true,false,true,false,,E.F.G.44.030,CAPLIN POINT LABORATORIES LIMITED,12.86,,
