id,campo,antes,despues
38230,nombre_comercial,IBUTAN 400 mg X 20 TABLETAS,IBUTAN 400 MG X 20 TABLETAS
38231,nombre_comercial,IBUTAN 600 mg X 10 TABLETAS,IBUTAN 600 MG X 10 TABLETAS
38232,nombre_comercial,IBUTANCOL 400 mg - 4 mg X 10 TABLETAS,IBUTANCOL 400 MG - 4 MG X 10 TABLETAS
38233,nombre_comercial,IBUTANCOL 400 mg - 4 mg X 20 TABLETAS,IBUTANCOL 400 MG - 4 MG X 20 TABLETAS
38234,nombre_comercial,IBUTANCOL 600 mg - 4 mg X 10 TABLETAS,IBUTANCOL 600 MG - 4 MG X 10 TABLETAS
38235,nombre_comercial,IBUTANCOL 600 mg - 4 mg X 20 TABLETAS,IBUTANCOL 600 MG - 4 MG X 20 TABLETAS
38236,nombre_comercial,IBUTANFEM 400 mg - 20 mg X 20 TABLETAS RECUBIERTAS,IBUTANFEM 400 MG - 20 MG X 20 TABLETAS RECUBIERTAS
38237,nombre_comercial,IBUTANFEM 400 mg - 20 mg X 30 TABLETAS RECUBIERTAS,IBUTANFEM 400 MG - 20 MG X 30 TABLETAS RECUBIERTAS
38238,nombre_comercial,IDOXEN 75 mg X 30 CAPSULAS DE LIBERACION PROLONGADA,IDOXEN 75 MG X 30 CAPSULAS DE LIBERACION PROLONGADA
38239,nombre_comercial,IDOXEN 150 mg X 10 CAPSULAS DE LIBERACION PROLONGADA,IDOXEN 150 MG X 10 CAPSULAS DE LIBERACION PROLONGADA
38240,nombre_comercial,ILANA 600 mg X 1 CAPSULA BLANDA VAGINAL,ILANA 600 MG X 1 CAPSULA BLANDA VAGINAL
38241,nombre_comercial,ILTUX 20 mg X 28 COMPRIMIDOS RECUBIERTOS,ILTUX 20 MG X 28 COMPRIMIDOS RECUBIERTOS
38242,nombre_comercial,IMAZOL DUAL 500 mg CAPSULA BLANDA VAGINAL + 1 % X 1 CREMA VAGINAL,IMAZOL DUAL 500 MG CAPSULA BLANDA VAGINAL + 1 % X 1 CREMA VAGINAL
38245,nombre_comercial,IMAZOL 100 mg X 6 TABLETAS VAGINALES,IMAZOL 100 MG X 6 TABLETAS VAGINALES
38246,nombre_comercial,INIBIL 20 mg X 14 COMPRIMIDOS CON CUBIERTA ENTERICA,INIBIL 20 MG X 14 COMPRIMIDOS CON CUBIERTA ENTERICA
38247,nombre_comercial,INIBIL 40 mg X 14 COMPRIMIDOS CON CUBIERTA ENTERICA,INIBIL 40 MG X 14 COMPRIMIDOS CON CUBIERTA ENTERICA
38249,nombre_comercial,FLUTIXAIR 125 mg - 25 mcg / DOSIS X 200 SUSPENSION INHALACION ORAL,FLUTIXAIR 125 MG - 25 MCG / DOSIS X 200 SUSPENSION INHALACION ORAL
38250,nombre_comercial,IPORET 40 mg / mL SUSPENSION ORAL GOTAS,IPORET 40 MG / ML SUSPENSION ORAL GOTAS
38251,nombre_comercial,IPROXIN 500 mg X 12 TABLETAS RECUBIERTAS,IPROXIN 500 MG X 12 TABLETAS RECUBIERTAS
38252,nombre_comercial,IPROXIN 750 mg X 10 TABLETAS RECUBIERTAS,IPROXIN 750 MG X 10 TABLETAS RECUBIERTAS
38253,nombre_comercial,IRBESARTAN 150 mg X 28 TABLETAS,IRBESARTAN 150 MG X 28 TABLETAS
38254,nombre_comercial,IRBESARTAN 150 mg X 10 TABLETAS,IRBESARTAN 150 MG X 10 TABLETAS
38255,nombre_comercial,IRBESARTAN 150 mg X 30 TABLETAS,IRBESARTAN 150 MG X 30 TABLETAS
38256,nombre_comercial,IRBESARTAN 300 mg X 28 TABLETAS,IRBESARTAN 300 MG X 28 TABLETAS
38257,nombre_comercial,IRBESARTAN 300 mg X 10 TABLETAS,IRBESARTAN 300 MG X 10 TABLETAS
38258,nombre_comercial,"IRBESARTAN -HIDROCLOROTIAZIDA 150 mg -12,5 mg X 28 TABLETAS",IRBESARTAN -HIDROCLOROTIAZIDA 150 MG -12.5 MG X 28 TABLETAS
38259,nombre_comercial,"IRBETIAZID 150 mg - 12,5 mg X 28 TABLETAS",IRBETIAZID 150 MG - 12.5 MG X 28 TABLETAS
38260,nombre_comercial,"ISBELA 2 mg - 0,035 mg X 21 TABLETAS RECUBIERTAS",ISBELA 2 MG - 0.035 MG X 21 TABLETAS RECUBIERTAS
38261,nombre_comercial,Itraconazol 100 mg X 10 Cápsulas,ITRACONAZOL 100 MG X 10 CAPSULAS
38261,presentacion,X 10 Cápsulas,X 10 CAPSULAS
38262,nombre_comercial,"ITRASEC 33,33 mg – 166,66 mg X 12 CÁPSULAS",ITRASEC 33.33 MG – 166.66 MG X 12 CAPSULAS
38262,presentacion,X 12 CÁPSULAS,X 12 CAPSULAS
38263,nombre_comercial,IVERMECTINA 6 mg X 4 TABLETAS,IVERMECTINA 6 MG X 4 TABLETAS
38264,nombre_comercial,IZABAN 10 mg X 30 COMPRIMIDOS RECUBIERTOS,IZABAN 10 MG X 30 COMPRIMIDOS RECUBIERTOS
38265,nombre_comercial,IZABAN DPP 25 mg - 5 mg X 30 COMPRIMIDOS RECUBIERTOS,IZABAN DPP 25 MG - 5 MG X 30 COMPRIMIDOS RECUBIERTOS
38266,nombre_comercial,KAPET 75 mg X 14 TABLETAS RECUBIERTAS,KAPET 75 MG X 14 TABLETAS RECUBIERTAS
38267,nombre_comercial,KAPET 75 mg X 30 TABLETAS RECUBIERTAS,KAPET 75 MG X 30 TABLETAS RECUBIERTAS
38268,nombre_comercial,KATRIN 30 mg / mL X 1 AMPOLLAS,KATRIN 30 MG / ML X 1 AMPOLLA
38268,presentacion,X 1 AMPOLLAS,X 1 AMPOLLA
38270,nombre_comercial,KELAC 30 mg / mL X 1 AMPOLLAS,KELAC 30 MG / ML X 1 AMPOLLA
38270,presentacion,X 1 AMPOLLAS,X 1 AMPOLLA
38271,nombre_comercial,KELAC 30 mg / mL X 3 AMPOLLAS,KELAC 30 MG / ML X 3 AMPOLLAS
38272,nombre_comercial,KELAC 30 mg / mL X 4 AMPOLLAS,KELAC 30 MG / ML X 4 AMPOLLAS
38273,nombre_comercial,KELAC 30 mg X 4 TABLETAS SUBLINGUALES.,KELAC 30 MG X 4 TABLETAS SUBLINGUALES.
38274,nombre_comercial,KELFEN 50 mg X 10 CAPSULAS,KELFEN 50 MG X 10 CAPSULAS
38275,nombre_comercial,KELFEN 100 mg X 20 COMPRIMIDOS CON CUBIERTA ENTERICA,KELFEN 100 MG X 20 COMPRIMIDOS CON CUBIERTA ENTERICA
38276,nombre_comercial,KEPPRA 1000 mg X 30 TABLETAS RECUBIERTAS,KEPPRA 1000 MG X 30 TABLETAS RECUBIERTAS
38277,nombre_comercial,KEPPRA 500 mg X 30 TABLETAS RECUBIERTAS,KEPPRA 500 MG X 30 TABLETAS RECUBIERTAS
38278,nombre_comercial,KEPRORET 1 mg / mL SOLUCION ORAL,KEPRORET 1 MG / ML SOLUCION ORAL
38281,nombre_comercial,KETAZOL 400 mg X 3 OVULOS,KETAZOL 400 MG X 3 OVULOS
38282,nombre_comercial,CLINDAMICINA - KETOCONAZOL 100 mg - 400 mg OVULOS VAGINALES,CLINDAMICINA - KETOCONAZOL 100 MG - 400 MG OVULOS VAGINALES
38283,nombre_comercial,KETODEX 100 mg X 10 TABLETAS CON RECUBRIMIENTO ENTERICO,KETODEX 100 MG X 10 TABLETAS CON RECUBRIMIENTO ENTERICO
38284,nombre_comercial,KETOPROFENO 100mg / 2 mL X 1 AMPOLLAS,KETOPROFENO 100 MG / 2 ML X 1 AMPOLLA
38284,presentacion,X 1 AMPOLLAS,X 1 AMPOLLA
38285,nombre_comercial,KETOPROFENO 100mg / 2 mL X 2 AMPOLLAS,KETOPROFENO 100 MG / 2 ML X 2 AMPOLLAS
38286,nombre_comercial,KETOPROFENO 100mg / 2 mL X 10 AMPOLLAS,KETOPROFENO 100 MG / 2 ML X 10 AMPOLLAS
38287,nombre_comercial,KETOPROFENO 100mg / 2 mL X 20 AMPOLLAS,KETOPROFENO 100 MG / 2 ML X 20 AMPOLLAS
38288,nombre_comercial,KETOPROFENO 100 mg X 10 CAPSULAS,KETOPROFENO 100 MG X 10 CAPSULAS
38289,nombre_comercial,KETOPROFENO 100 mg X 20 CAPSULAS,KETOPROFENO 100 MG X 20 CAPSULAS
38290,nombre_comercial,KETOPROFENO 100 mg X 10 CAPSULAS,KETOPROFENO 100 MG X 10 CAPSULAS
38291,nombre_comercial,KETOPROFENO 100 mg X 20 CAPSULAS,KETOPROFENO 100 MG X 20 CAPSULAS
38292,nombre_comercial,KETOPROFENO 100 mg X 10 CAPSULAS,KETOPROFENO 100 MG X 10 CAPSULAS
38293,nombre_comercial,KETOPROFENO 100 mg X 20 CAPSULAS,KETOPROFENO 100 MG X 20 CAPSULAS
38294,nombre_comercial,KETOPROFENO 50 mg / mL SOLUCIÓN INYECTABLE,KETOPROFENO 50 MG / ML SOLUCION INYECTABLE
38295,nombre_comercial,KETOREL 30 mg X 4 COMPRIMIDOS ORODISPERSABLE,KETOREL 30 MG X 4 COMPRIMIDOS ORODISPERSABLE
38296,nombre_comercial,KETOROLACO TROMETAMOL 30 mg / mL X 10 AMPOLLAS,KETOROLACO TROMETAMOL 30 MG / ML X 10 AMPOLLAS
38297,nombre_comercial,KETOROLACO TROMETAMOL 30 mg / mL X 8 AMPOLLAS,KETOROLACO TROMETAMOL 30 MG / ML X 8 AMPOLLAS
38298,nombre_comercial,KETOROLACO TROMETAMINA 30 mg / mL X 3 AMPOLLAS,KETOROLACO TROMETAMINA 30 MG / ML X 3 AMPOLLAS
38299,nombre_comercial,KETOROLAC TROMETAMINA 20 mg X 10 COMPRIMIDOS,KETOROLAC TROMETAMINA 20 MG X 10 COMPRIMIDOS
38300,nombre_comercial,KEYDOL 400 mg - 4 mg X 10 COMPRIMIDOS RECUBIERTOS,KEYDOL 400 MG - 4 MG X 10 COMPRIMIDOS RECUBIERTOS
38301,nombre_comercial,KEYDOL 400 mg - 4 mg X 20 COMPRIMIDOS RECUBIERTOS,KEYDOL 400 MG - 4 MG X 20 COMPRIMIDOS RECUBIERTOS
38302,nombre_comercial,KEYDOL 600 mg - 4 mg X 10 COMPRIMIDOS RECUBIERTOS,KEYDOL 600 MG - 4 MG X 10 COMPRIMIDOS RECUBIERTOS
38303,nombre_comercial,KEYDOL 600 mg - 4 mg X 20 COMPRIMIDOS RECUBIERTOS,KEYDOL 600 MG - 4 MG X 20 COMPRIMIDOS RECUBIERTOS
38304,nombre_comercial,KLAS 100 mg X 20 CAPSULAS,KLAS 100 MG X 20 CAPSULAS
38305,nombre_comercial,L - CARNITINA 1 g / 10 mL SOLUCION ORAL,L - CARNITINA 1 G / 10 ML SOLUCION ORAL
38308,nombre_comercial,"LARFACAINA 2 mg - 1,5 mg X 16 PASTILLAS SABOR A TUTTI - FRUTTI",LARFACAINA 2 MG - 1.5 MG X 16 PASTILLAS SABOR A TUTTI - FRUTTI
38309,nombre_comercial,VITAMINA C 500 mg X 16 TABLETAS MASTICABLES SABOR A TUTTI FRUTTI,VITAMINA C 500 MG X 16 TABLETAS MASTICABLES SABOR A TUTTI FRUTTI
38310,nombre_comercial,LAMICTAL 25 mg X 30 TABLETAS DISPERSABLES-MASTICABLES,LAMICTAL 25 MG X 30 TABLETAS DISPERSABLES-MASTICABLES
38311,nombre_comercial,LAMOTRIGINA 100 mg X 30 TABLETAS RECUBIERTAS,LAMOTRIGINA 100 MG X 30 TABLETAS RECUBIERTAS
38312,nombre_comercial,LAMOTRIGINA 100 mg X 28 TABLETAS DE LIBERACION PROLONGADA,LAMOTRIGINA 100 MG X 28 TABLETAS DE LIBERACION PROLONGADA
38313,nombre_comercial,LAMPRAL 4 mg / 2 mL X 2 AMPOLLAS,LAMPRAL 4 MG / 2 ML X 2 AMPOLLAS
38314,nombre_comercial,LANSOPRAZOL 30 mg X 28 CAPSULAS,LANSOPRAZOL 30 MG X 28 CAPSULAS
38315,nombre_comercial,"LECHE DE MAGNESIA 8,5 % SUSPENSION SABOR ORIGINAL",LECHE DE MAGNESIA 8.5 % SUSPENSION SABOR ORIGINAL
38316,nombre_comercial,ARAVA 20 mg X 30 TABLETAS RECUBIERTAS,ARAVA 20 MG X 30 TABLETAS RECUBIERTAS
38317,nombre_comercial,LENTOCILIN 6.3.3 X 1 AMPOLLAS,LENTOCILIN 6.3.3 X 1 AMPOLLA
38317,presentacion,X 1 AMPOLLAS,X 1 AMPOLLA
38318,nombre_comercial,LEPRIT 25 mg X 30 TABLETAS,LEPRIT 25 MG X 30 TABLETAS
38319,nombre_comercial,LEPTAZINE 10 mg X 24 COMPRIMIDOS,LEPTAZINE 10 MG X 24 COMPRIMIDOS
38320,nombre_comercial,LEPTAZINE 5 mg X 30 COMPRIMIDOS,LEPTAZINE 5 MG X 30 COMPRIMIDOS
38321,nombre_comercial,LERCANIDIPINO 20 mg X 10 COMPRIMIDOS RECUBIERTOS,LERCANIDIPINO 20 MG X 10 COMPRIMIDOS RECUBIERTOS
38322,nombre_comercial,LERCANIDIPINO 20 mg X 30 COMPRIMIDOS RECUBIERTOS,LERCANIDIPINO 20 MG X 30 COMPRIMIDOS RECUBIERTOS
38323,nombre_comercial,LERCANIDIPINO CLOHIDRATO 10 mg X 30 TABLETAS RECUBIERTAS,LERCANIDIPINO CLOHIDRATO 10 MG X 30 TABLETAS RECUBIERTAS
38324,nombre_comercial,LERCANIDIPNO 20 mg X 30 TABLETAS RECUBIERTAS,LERCANIDIPNO 20 MG X 30 TABLETAS RECUBIERTAS
38325,nombre_comercial,LESTECOL 20 mg X 30 TABLETAS RECUBIERTAS,LESTECOL 20 MG X 30 TABLETAS RECUBIERTAS
38326,nombre_comercial,LETISAN 500 mg X 10 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA,LETISAN 500 MG X 10 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA
38327,nombre_comercial,LETISAN 500 mg X 30 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA,LETISAN 500 MG X 30 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA
38328,nombre_comercial,"LETROZOL 2,5 mg X 30 TABLETAS RECUBIERTAS",LETROZOL 2.5 MG X 30 TABLETAS RECUBIERTAS
38329,nombre_comercial,LEVAMOX 750 mg X 10 TABLETAS RECUBIERTAS,LEVAMOX 750 MG X 10 TABLETAS RECUBIERTAS
38330,nombre_comercial,LEVETIRACETAM 1000 mg X 10 COMPRIMIDOS RECUBIERTOS,LEVETIRACETAM 1000 MG X 10 COMPRIMIDOS RECUBIERTOS
38331,nombre_comercial,LEVETIRACETAM 500 mg X 30 TABLETAS RECUBIERTAS,LEVETIRACETAM 500 MG X 30 TABLETAS RECUBIERTAS
38332,nombre_comercial,LEVOFLOXACINA 500 mg/100mL SOLUCION PARA INFUSION INTRAVENOSA,LEVOFLOXACINA 500 MG / 100 ML SOLUCION PARA INFUSION INTRAVENOSA
38333,nombre_comercial,LEVOFLOXACINO 500 mg X 10 TABLETAS RECUBIERTAS,LEVOFLOXACINO 500 MG X 10 TABLETAS RECUBIERTAS
38334,nombre_comercial,LEVOFLOXACINA 500 mg X 10 COMPRIMIDOS RECUBIERTOS,LEVOFLOXACINA 500 MG X 10 COMPRIMIDOS RECUBIERTOS
38335,nombre_comercial,LEVOFLOXACINA 750 mg X 5 TABLETAS RECUBIERTAS,LEVOFLOXACINA 750 MG X 5 TABLETAS RECUBIERTAS
38336,nombre_comercial,LEVOFLOXACINA 750 mg X 7 TABLETAS RECUBIERTAS,LEVOFLOXACINA 750 MG X 7 TABLETAS RECUBIERTAS
38337,nombre_comercial,LEVOFLOXACINA 750 mg X 10 TABLETAS RECUBIERTAS,LEVOFLOXACINA 750 MG X 10 TABLETAS RECUBIERTAS
38338,nombre_comercial,LEVOFLOXACINA 500 mg X 10 TABLETAS RECUBIERTAS,LEVOFLOXACINA 500 MG X 10 TABLETAS RECUBIERTAS
38339,nombre_comercial,LEVOFLOXACINA 500 mg X 7 TABLETAS RECUBIERTAS,LEVOFLOXACINA 500 MG X 7 TABLETAS RECUBIERTAS
38340,nombre_comercial,LEVOFLOXACINO 500 mg X 7 TABLETAS RECUBIERTAS,LEVOFLOXACINO 500 MG X 7 TABLETAS RECUBIERTAS
38341,nombre_comercial,LEVOFLOXACINO 500 mg X 10 TABLETAS RECUBIERTAS,LEVOFLOXACINO 500 MG X 10 TABLETAS RECUBIERTAS
38342,nombre_comercial,LEVOFLOXACINO 500 mg X 5 TABLETAS RECUBIERTAS,LEVOFLOXACINO 500 MG X 5 TABLETAS RECUBIERTAS
38343,nombre_comercial,LEVOFLOXACINO 750 mg X 5 TABLETAS RECUBIERTAS,LEVOFLOXACINO 750 MG X 5 TABLETAS RECUBIERTAS
38344,nombre_comercial,"LEVONORGESTREL 1,5 mg X 1 TABLETAS RECUBIERTAS",LEVONORGESTREL 1.5 MG X 1 TABLETA RECUBIERTA
38344,presentacion,X 1 TABLETAS RECUBIERTAS,X 1 TABLETA RECUBIERTA
38346,nombre_comercial,LEVORAT 5 mg / mL X 10 SOLUCION ORAL,LEVORAT 5 MG / ML X 10 SOLUCION ORAL
38347,nombre_comercial,LEVOSULPIRIDA 25 mg X 30 TABLETAS,LEVOSULPIRIDA 25 MG X 30 TABLETAS
38348,nombre_comercial,LEVOSULPIRIDE 25 mg X 30 TABLETAS,LEVOSULPIRIDE 25 MG X 30 TABLETAS
38349,nombre_comercial,LEVOTIROXINA SODICA 100 mcg X 10 TABLETAS,LEVOTIROXINA SODICA 100 MCG X 10 TABLETAS
38350,nombre_comercial,LEVOTIROXINA SODICA 100 mcg X 50 TABLETAS,LEVOTIROXINA SODICA 100 MCG X 50 TABLETAS
38351,nombre_comercial,LEVOTIROXINA SODICA 50 mcg X 50 TABLETAS,LEVOTIROXINA SODICA 50 MCG X 50 TABLETAS
38352,nombre_comercial,LIBERDUX 5 mg X 10 TABLETAS RECUBIERTAS,LIBERDUX 5 MG X 10 TABLETAS RECUBIERTAS
38354,nombre_comercial,Lidocaina 2% con Adrenalina 1: 80.000 Solución Inyectable,LIDOCAINA 2 % CON ADRENALINA 1: 80.000 SOLUCION INYECTABLE
38355,nombre_comercial,LINEZID 2 mg/ ml SOLUCION INYECTABLE PARA INFUSION IV,LINEZID 2 MG / ML SOLUCION INYECTABLE PARA INFUSION IV
38357,nombre_comercial,"LIOLACTIL (Lactobacilos rhamnosus) 1,5g X 6 POLVO PARA SUSPENSION ORAL SOBRES",LIOLACTIL (LACTOBACILOS RHAMNOSUS) 1.5 G X 6 POLVO PARA SUSPENSION ORAL SOBRES
38358,nombre_comercial,LIPACOMB 40 mg - 10 mg X 30 TABLETAS,LIPACOMB 40 MG - 10 MG X 30 TABLETAS
38359,nombre_comercial,LIPEND 10 mg X 30 COMPRIMIDOS RECUBIERTOS,LIPEND 10 MG X 30 COMPRIMIDOS RECUBIERTOS
38360,nombre_comercial,LIPEND 20 mg X 30 COMPRIMIDOS RECUBIERTOS,LIPEND 20 MG X 30 COMPRIMIDOS RECUBIERTOS
38361,nombre_comercial,LIPONTAL 900 mg X 10 TABLETAS,LIPONTAL 900 MG X 10 TABLETAS
38362,nombre_comercial,LISILET 10 mg X 30 COMPRIMIDOS,LISILET 10 MG X 30 COMPRIMIDOS
38363,nombre_comercial,"LISILETIC 20 mg -12,5 mg X 30 COMPRIMIDOS",LISILETIC 20 MG -12.5 MG X 30 COMPRIMIDOS
