producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37414,ME28493,AMBROXOL CLORHIDRATO 30 MG / 5 ML JARABE,AMBROXOL CLORHIDRATO,Ambroxol,JARABE,LABORATORIO LA SANTE C.A.,lab_y_mol,cobeca,lab|base,no,AMBROXOL/LORATAD JBE 30MG/5MG 120ML BIOQ,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26230.jpg
37436,ME44341,SINOT CLAV 875 MG – 125 MG X 14 COMPRIMIDOS,SINOT CLAV,Amoxicilina,COMPRIMIDOS,MOMENTA FARMACEUTICA LTDA.,lab_y_mol,cobeca,lab|base,no,AMOXICI/AC CLAV TAB 875/125MG X14 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25805.jpg
37827,ME44294,COZOMINA T 2 % - 0.5 % SOLUCION OFTALMICA,COZOMINA T,Dorzolamida - Timolol,SOLUCION OFTALMICA,LABORATORIO COFASA S.A.,lab_y_mol,cobeca,lab|base,no,"TIMOLOL SOL OFT 0,5% 10ML CR DIST",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22841.jpg
37993,ME44389/3,TAMSULON DUO 0.5 MG - 0.4 MG X 30 CAPSULAS DE LIBERACION PROLONGADA,TAMSULON DUO,Dutasterida - Tamsulosina,CAPSULAS,ASOFARMA S.A.I. Y C,lab_y_mol,cobeca,lab|base,no,"TAMSULOSINA CAP 0,4MG X30 ALESS",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24279.jpg
38115,ME43733,FLUCONAZOL 150 MG X 2 CAPSULAS,FLUCONAZOL,Fluconazol - Gelatina,CAPSULAS,JIANGXI SYNERGY PHARMACEUTICAL CO. LTD,lab_y_mol,cobeca,lab|base,si,FLUCONAZOL CAP 150MG X2 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4546.jpg
38259,ME43716,IRBETIAZID 150 MG - 12.5 MG X 28 TABLETAS,IRBETIAZID,Hidroclorotiazida - Irbesartan,TABLETAS,LABORATORIOS SIEGFRIED S.A.,lab_y_mol,cobeca,lab|base,si,IRBESARTAN TAB 150 MG X 28 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28781.jpg
38455,ME43925/3,METFORMINA CLORHIDRATO 850 MG X 28 TABLETAS RECUBIERTAS,METFORMINA CLORHIDRATO,(+)-tetrabenazina - Metformina,TABLETAS,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,lab_y_mol,cobeca,lab|base,si,METFORMINA TAB 850MG X28 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3913.jpg
38604,ME43675/5,OMEPRAZOL 20 MG X 20 CAPSULAS GASTRORRESISTENTES,OMEPRAZOL,(+)-tetrabenazina - Omeprazol,CAPSULAS,K.A. MALLE PHARMACEUTICALS LTD,lab_y_mol,cobeca,lab|base,no,OMEPRAZOL CAP 20MG X20 CR DAC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20938.jpg
38605,ME43675/6,OMEPRAZOL 20 MG X 30 CAPSULAS GASTRORRESISTENTES,OMEPRAZOL,(+)-tetrabenazina - Omeprazol,CAPSULAS,K.A. MALLE PHARMACEUTICALS LTD,lab_y_mol,cobeca,lab|base,si,OMEPRAZOL CAP/MICRO G 20MG X 30 GENVEN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29950.jpg
38606,ME43675/2,OMEPRAZOL 20 MG X 7 CAPSULAS GASTRORRESISTENTES,OMEPRAZOL,(+)-tetrabenazina - Omeprazol,CAPSULAS,K.A. MALLE PHARMACEUTICALS LTD,lab_y_mol,cobeca,lab|base,no,OMEPRAZOL CAP 20MG X7 VARG,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20777.jpg
38607,ME43675/3,OMEPRAZOL 20 MG X 8 CAPSULAS GASTRORRESISTENTES,OMEPRAZOL,(+)-tetrabenazina - Omeprazol,CAPSULAS,K.A. MALLE PHARMACEUTICALS LTD,lab_y_mol,cobeca,lab|base,si,OMEPRAZOL CAP 20MG X8 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6497.jpg
39015,ME1388,ACIDO ASCORBICO 10 % SOLUCION ORAL EN GOTAS,ACIDO ASCORBICO,Ascorbico Acido,GOTAS,LABORATORIO QUIM-FAR C.A.,lab_y_mol,cobeca,lab|base,no,ACIDO BORICO 25G X12 RECETT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/14822.jpg
39075,ME40610,ARESAN HCT 20 MG - 12.5 MG X 10 TABLETAS RECUBIERTAS,ARESAN HCT,Hidroclorotiazida - Olmesartan Medoxomilo,TABLETAS,BIOTECH LABORATORIOS C.A.,lab_y_mol,cobeca,lab|base,no,OLMESARTAN MEDO TAB 20MG X10 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/18568.jpg
39159,ME34030,TERAGRIPFORTE DIA 650 MG - 30 MG X 20 TABLETAS RECUBIERTAS,TERAGRIPFORTE DIA,Acetaminofen - Paracetamol - Pseudoefedrina,TABLETAS,LABORATORIOS FARMA S.A.,lab_y_mol,cobeca,lab|base,no,ACETAMINOFEN COMP 650MG X20 BIOQ,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22403.jpg
39430,ME31240,CO-APROVEL 150 MG - 12.5 MG X 28 COMPRIMIDOS RECUBIERTOS,CO-APROVEL,Hidroclorotiazida - Irbesartan,COMPRIMIDOS,SANOFI WINTHROP INDUSTRIE,lab_y_mol,cobeca,lab|base,si,IRBESARTAN TAB 150 MG X 28 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28781.jpg
39575,HO42230,CLORURO DE SODIO 0.9 % - GLUCOSA 5 % X 10 AMPOLLAS,CLORURO DE SODIO,Glucosa,INYECTABLE,SHIYAO YINHU PHARMACEUTICAL CO. LTD,lab_y_mol,cobeca,lab|base,no,"CLORURO D/SOD SOL INY 0,9% 100ML IPS",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21357.jpg
