producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,desc_candidata,foto_candidata
37474,ME40266,ANTILAX PLUS 2 MG - 125 MG X 10 CAPSULAS,ANTILAX PLUS,,CAPSULAS,LABORATORIOS FARMA S.A.,matchable_sin_fix,cobeca,,ANTILAX TAB 2MG X10 FAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/93277.jpg
37502,ME31150,ASCAFYL PLUS X 10 TABLETAS RECUBIERTAS,ASCAFYL PLUS X,Acetaminofen - Cafeina,TABLETAS,LABORATORIOS SIEGFRIED S.A.,matchable_sin_fix,farmanselmo,,DIFEN PLUS ACETAMINOFEN+CAFEINA+DIHIDROERGOTAMINA 650MG-50MG-1MG x10 TABLETAS SIEGFRIED (E),https://pccentro.net.ve/img/s/7/4/6/0/5/74605-large_default.webp
37570,ME16115,BETAGEN SOLSPEN X 1 AMPOLLA,BETAGEN SOLSPEN X,,INYECTABLE,BIOTECH LABORATORIOS C.A.,matchable_sin_fix,cobeca,,BETAGEN SOL INY 12MG/3ML X1 BIOTECH,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13138.jpg
37727,ME42717,CETIRIZINA CLORHIDRATO 10 MG X 10 TABLETAS RECUBIERTAS,CETIRIZINA CLORHIDRATO,Cetirizina,TABLETAS,CADILA PHARMACEUTICALS LIMITED,matchable_sin_fix,farmanselmo,,CETIRIZINA 10 MG x10 TABLETAS LA SANTE (E),https://pccentro.net.ve/img/s/7/4/5/3/8/74538-large_default.webp
37774,ME23979,CLENBUNAL 0.005 MG / 5 ML SOLUCION ORAL,CLENBUNAL,,SOLUCION ORAL,MEGALABS S.A.,matchable_sin_fix,cobeca,,"CLENBUNAL JBE PED 0,005MG 120ML MEG",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7209.jpg
37778,ME31538,AMBROXOL-CLENBUTEROL 15 MG - 0.01 MG / 5 ML SOLUION ORAL,AMBROXOL-CLENBUTEROL,Ambroxol,SOLUCION ORAL,LABORATORIOS KIMICEG C.A.,matchable_sin_fix,cobeca,,AMBROXOL JBE PED 15MG/120ML KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9120.jpg
37807,ME34774,CLOPIDOGREL 75 MG X 30 TABLETAS RECUBIERTAS,CLOPIDOGREL,Clopidogrel,TABLETAS,LABORATORIOS SIEGFRIED S.A.,matchable_sin_fix,farmanselmo,,KAPET CLOPIDOGREL 75MG x30 TABLETAS SIEGFRIED (E),https://pccentro.net.ve/img/s/3/5/6/5/7/35657-large_default.webp
38104,ME41029,FLAVOXATO CLORHIDRATO 200 MG X 10 TABLETAS RECUBIERTAS,FLAVOXATO CLORHIDRATO,Flavoxato,TABLETAS,LABORATORIO LA SANTE C.A.,matchable_sin_fix,farmanselmo,,URODUTAN FLAVOXATO 200 MG x10 TABLETAS FC PHARMA (E),https://pccentro.net.ve/img/s/9/6/2/2/4/96224-large_default.webp
38974,ME36327,HISTAGRIP FORTE X 10 TABLETAS RECUBIERTAS,HISTAGRIP FORTE X,Acetaminofen - Pseudoefedrina,TABLETAS,CALOX INTERNATIONAL C.A.,matchable_sin_fix,farmanselmo,,DOLGRIP FORTE  ACETAMINOFEN+PSEUDOEFEDRINA+CLORFENIRAMINA  500MG+30MG+2MG x10 TABLETAS CALOX (E),https://pccentro.net.ve/img/s/8/4/2/9/6/84296-large_default.webp
39016,ME42715,ACICLOR NANOPHARM 5 % CREMA,ACICLOR NANOPHARM,Aciclovir,CREMA,LABORATORIOS LETI S.A.V.,matchable_sin_fix,cobeca,,ACICLOR CREM 5% 10G LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8876.jpg
39095,ME16167,BETADERM CON GENTAMICINA 0.1 % - 0.1 % X 1 CREMA,BETADERM CON GENTAMICINA,Betametasona - Gentamicina,CREMA,BIOTECH LABORATORIOS C.A.,matchable_sin_fix,cobeca,,BETADERM GENTAMICINA CREM 15G BIOTECH,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4155.jpg
39121,ME42750,CANDESARTAN CILEXETILO 8 MG COMPRIMIDOS,CANDESARTAN CILEXETILO,Candesartan,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,matchable_sin_fix,farmanselmo,,CANDESARTAN 8 MG x30 COMPRIMIDOS SPEFAR (E),https://pccentro.net.ve/img/s/5/2/9/2/8/52928-large_default.webp
39255,ME42947,IMAZOL DUAL 100 MG CAPSULAS BLANDAS VAGINALES - 1 % X 6 CREMA VAGINAL,IMAZOL DUAL,Clotrimazol,CAPSULAS,LABORATORIOS SIEGFRIED S.A.,matchable_sin_fix,cobeca,,IMAZOL TAB VAG X6 MEY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1854.jpg
39266,ME44048,IZABAN DPP 10 MG - 5 MG COMPRIMIDOS RECUBIERTOS,IZABAN DPP,Empagliflozina - Linagliptina,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,matchable_sin_fix,cobeca,,IZABAN COM 10MG X 30,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29953.jpg
39299,ME37492,METFORMINA CLORHIDRATO 850 MG COMPRIMIDOS,METFORMINA CLORHIDRATO,Metformina,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,matchable_sin_fix,farmanselmo,,METFORMINA 850 MG x30 TABLETAS SPEFAR (E),https://pccentro.net.ve/img/s/5/6/2/2/4/56224-large_default.webp
