producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,desc_candidata,foto_candidata
37434,ME40038,AMLODIPINA - VALSARTAN 5 MG - 160 MG X 30 COMPRIMIDOS RECUBIERTOS,AMLODIPINA - VALSARTAN,Amlodipino - Valsartan,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,molecula_mono_combo,cobeca,base,AMLODIPINA COMP 5MG X30 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9206.jpg
37479,ME42943,APIRETFLU DIA X 6 GRANULADO,APIRETFLU DIA X,Acetaminofen - Cafeina,GRANULADOS,LABORATORIOS L.O. OFTALMI C.A.,molecula_mono_combo,cobeca,base,APIRETFLU SOB 8G NOCH MIEL/LIMON X6 LO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51431.jpg
37503,ME17492,ASCAFYL X 10 TABLETAS RECUBIERTAS,ASCAFYL X,Acetaminofen - Cafeina,TABLETAS,LABORATORIOS SIEGFRIED S.A.,molecula_mono_combo,cobeca,base,ASCAFYL PLUS TAB X10 MEY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/588.jpg
37591,ME36891,BISOPROLOL FUMARATO - HIDROCLOROTIAZIDA 5 MG - 6.25 MG X 30 TABLETAS,BISOPROLOL FUMARATO - HIDROCLOROTIAZIDA,Bisoprolol - Hidroclorotiazida,TABLETAS,CALOX INTERNATIONAL C.A.,molecula_mono_combo,cobeca,base,BISOPROLOL TAB 5MG X 30 CALOX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97001.jpg
38002,ME43619,LERCANIDIPINA CLORHIDRATO - ENALAPRIL MALEATO 10 MG - 10 MG X 30 COMPRIMIDOS RECUBIERTOS,LERCANIDIPINA CLORHIDRATO - ENALAPRIL MALEATO,Enalapril - Lercanidipino,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,molecula_mono_combo,cobeca,base,LERCANIDIPINA CLORH COMP REC 10MGX30 GNV,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/14417.jpg
38007,ME44613,ENALAPRIL MALEATO - HIDROCLOROTIAZIDA 20 MG - 12.5 MG TABLETAS,ENALAPRIL MALEATO - HIDROCLOROTIAZIDA,Enalapril - Hidroclorotiazida,TABLETAS,LABORATORIOS KIMICEG C.A.,molecula_mono_combo,cobeca,base,ENALAPRIL TAB 20MG X30 KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7971.jpg
38191,ME35183/2,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 MG - 25 MG X 10 COMPRIMIDOS RECUBIERTOS,LOSARTAN POTASICO - HIDROCLOROTIAZIDA,Hidroclorotiazida - Losartan,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,molecula_mono_combo,cobeca,base,LOSARTAN POTA COMP REC 100MG X10 GNV,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/96313.jpg
38503,ME42742,MISULVAN FORTE 30 MG - 5 MG / 5 ML SOLUCION ORAL,MISULVAN FORTE,Ambroxol - Loratadina,SOLUCION ORAL,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,molecula_mono_combo,cobeca,base,MISULVAN FORTE JBE 30MG/5MG/ML 120ML PLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26235.jpg
38799,ME32020,SINUTIL JARABE,SINUTIL JARABE,Acetaminofen - Cafeina,JARABE,LABORATORIOS VINCENTI C.A.,molecula_mono_combo,cobeca,base,SINUTIL JBE 90ML VIN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97498.jpg
38926,ME38613,VALSARTAN - HIDROCLOROTIAZIDA 80 MG - 12.5 MG X 30 TABLETAS RECUBIERTAS,VALSARTAN - HIDROCLOROTIAZIDA,Hidroclorotiazida - Valsartan,TABLETAS,LABORATORIOS VALMOR C.A.,molecula_mono_combo,cobeca,base,VALSARTAN TAB 80MG X30 GENCER,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50517.jpg
