producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37306,ME42665,ACECLOFENACO 100 MG X 10 TABLETAS RECUBIERTAS,ACECLOFENACO,Aceclofenaco,TABLETAS,THEON PHARMACEUTICALS LTD,no_match_fuentes,,,,,
37311,ME43639/4,ACETAMINOFEN 650 MG X 30 TABLETAS,ACETAMINOFEN,Acetaminofen,TABLETAS,LABORATORIOS L.O. OFTALMI C.A.,no_match_fuentes,,,,,
37312,ME43707,ACETAMINOFEN 150 MG / 5 ML JARABE,ACETAMINOFEN,Acetaminofen,JARABE,AARTI PHARMALABS LIMITED,no_match_fuentes,,,,,
37313,ME40083,ACETAMINOFEN 120 MG / 5 ML SOLUCION ORAL,ACETAMINOFEN,Acetaminofen,SOLUCION ORAL,SM PHARMA C.A.,no_match_fuentes,,,,,
37314,ME40084,ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL,ACETAMINOFEN,Acetaminofen,SOLUCION ORAL,SM PHARMA C.A.,no_match_fuentes,,,,,
37316,ME25466/2,ACETAMINOFEN 500 MG X 10 COMPRIMIDOS,ACETAMINOFEN,Acetaminofen,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,no_match_fuentes,,,,,
37317,ME25466/3,ACETAMINOFEN 500 MG X 30 COMPRIMIDOS,ACETAMINOFEN,Acetaminofen,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,no_match_fuentes,,,,,
37319,ME23275/2,ACETAMINOFEN 500 MG X 10 TABLETAS,ACETAMINOFEN,Acetaminofen,TABLETAS,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,no_match_fuentes,,,,,
37320,ME23275/3,ACETAMINOFEN 500 MG X 12 TABLETAS,ACETAMINOFEN,Acetaminofen,TABLETAS,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,no_match_fuentes,,,,,
37321,ME23275/4,ACETAMINOFEN 500 MG X 24 TABLETAS,ACETAMINOFEN,Acetaminofen,TABLETAS,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,no_match_fuentes,,,,,
37324,ME37095,ACETAMINOFEN 500 MG X 20 TABLETAS,ACETAMINOFEN,Acetaminofen,TABLETAS,SM PHARMA C.A.,no_match_fuentes,,,,,
37327,ME34148/3,ACETAZOLAMIDA 250 MG X 20 TABLETAS,ACETAZOLAMIDA,Acetazolamida,TABLETAS,EMPRESA LABORATORIOS MEDSOL,no_match_fuentes,,,,,
37328,ME34148/2,ACETAZOLAMIDA 250 MG X 10 TABLETAS,ACETAZOLAMIDA,Acetazolamida,TABLETAS,EMPRESA LABORATORIOS MEDSOL,no_match_fuentes,,,,,
37336,HO40581,ACICLOVIR 250 MG POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,ACICLOVIR,Aciclovir,INYECTABLE,VITALIS S.A.C.I.,no_match_fuentes,,,,,
37337,HO1046,MONARC- M 250 U. 1 X 1 AMPOLLA,MONARC- M,,INYECTABLE,CORPORACION COLIMODIO C.A.,no_match_fuentes,,,,,
37338,ME28634,ACICLOR 200 MG / 5 ML POLVO PARA SUSPENSION,ACICLOR,Aciclovir,POLVO PARA RECONSTITUCION,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37339,ME26178/3,ACICLOVIR 200 MG X 20 TABLETAS,ACICLOVIR,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,no_match_fuentes,,,,,
37340,ME26178/2,ACICLOVIR 200 MG X 10 TABLETAS,ACICLOVIR,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,no_match_fuentes,,,,,
37341,ME26178/4,ACICLOVIR 200 MG X 24 TABLETAS,ACICLOVIR,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,no_match_fuentes,,,,,
37343,ME42505,ACICLOVIR 400 MG X 100 TABLETAS,ACICLOVIR,Aciclovir,TABLETAS,CAPLIN POINT LABORATORIES LIMITED,no_match_fuentes,,,,,
37344,ME44064,ACICLOVIR 5 % CREMA TOPICA,ACICLOVIR,Aciclovir,SOLUCION TOPICA,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37346,ME34553/3,ACIDO ACETILSALICILICO 81 MG X 30 TABLETAS CON CUBIERTA ENTERICA,ACIDO ACETILSALICILICO,,TABLETAS,LABORATORIOS L.O. OFTALMI C.A.,no_match_fuentes,,,,,
37349,ME1457,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO) 20 MG / ML - 3 MG / ML GEL INYECTABLE,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO),Hialuronico Acido,INYECTABLE,Q-MED AB.,no_match_fuentes,,,,,
37352,HO3187/4,ACIDO FOLICO 10 MG / ML X 20 AMPOLLAS,ACIDO FOLICO,Folico Acido,INYECTABLE,MEGALABS S.A.,no_match_fuentes,,,,,
37361,ME37466,FUCIDIN H 20 MG - 10 MG / G CREMA.,FUCIDIN H,Acido Fusidico Hemihidrato,CREMA,LEO LABORATORIES LTD IRLANDA,no_match_fuentes,,,,,
37363,ME23174/2,VALPRON 500 MG X 10 TABLETAS,VALPRON,Valproico Acido,TABLETAS,LABORATORIOS FARMA S.A.,no_match_fuentes,,,,,
37366,ME38066,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,ACIDO IBANDRONICO,,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37369,HO34745,ADRENALINA 1 MG / ML X 5 AMPOLLAS,ADRENALINA,Adrenalina,INYECTABLE,LABORATORIO BIOSANO S.A.,no_match_fuentes,,,,,
37381,ME43288,ALBENDAZOL 400 MG X 10 TABLETAS MASTICABLES,ALBENDAZOL,Albendazol,TABLETAS,CORAL LABORATORIES LTD,no_match_fuentes,,,,,
37382,ME27081,ALBENDAZOL 400 MG / 10 ML SUSPENSION,ALBENDAZOL,Albendazol,SUSPENSION ORAL,LABORATORIO COFASA S.A.,no_match_fuentes,,,,,
37383,ME40605/2,ALBENDAZOL 200 MG X 2 COMPRIMIDOS,ALBENDAZOL,Albendazol,COMPRIMIDOS,SM PHARMA C.A.,no_match_fuentes,,,,,
