producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,desc_candidata,foto_candidata
37317,ME25466/3,ACETAMINOFEN 500 MG X 30 COMPRIMIDOS,ACETAMINOFEN,Acetaminofen,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,solo_farmanselmo,farmanselmo,lab,ACETAMINOFEN 500MG x30 TABLETAS OFTALMI (E),https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp
37487,ME37212,ARANDA 5 MG - 100 MG X 10 CAPSULAS,ARANDA,Losartan,CAPSULAS,ACHE LABORATORIOS FARMACEUTICOS S.A.,solo_farmanselmo,farmanselmo,lab,ARANDA AMLODIPINA+LOSARTAN POTASICO 5MG/100MG x10 CAPSULAS FARMA (E),https://pccentro.net.ve/img/s/7/5/0/6/8/75068-large_default.webp
37698,ME31748/2,CARVEDILOL 25 MG X 15 COMPRIMIDOS,CARVEDILOL,Carvedilol,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,solo_farmanselmo,farmanselmo,lab,CURPINOL CARVEDILOL 25 MG (E),https://pccentro.net.ve/img/s/2/4/0/2/0/24020-large_default.webp
37821,ME43020,CLOTRIMAZOL 200 MG CAPSULAS BLANDAS VAGINALES,CLOTRIMAZOL,Clotrimazol,CAPSULAS,CALOX INTERNATIONAL C.A.,solo_farmanselmo,farmanselmo,lab,CLOTRIMAZOL 200MG VAGINALES (E),https://pccentro.net.ve/img/s/5/8/6/9/2/58692-large_default.webp
37924,MI35435/2,DICLOFENAC POT X 6 UNIDADES,DICLOFENAC POT X,Diclofenaco,,LABORATORIO CHILE S.A.,solo_farmanselmo,farmanselmo,lab,"VOLTEN DICLOFENAC SODICO SOLUCION OFTALMICA 0,1% 5ML OFTALMI (E)",https://pccentro.net.ve/img/s/8/0/4/5/4/80454-large_default.webp
37925,MI35435/3,DICLOFENAC POT X 10 UNIDADES,DICLOFENAC POT X,Diclofenaco,,LABORATORIO CHILE S.A.,solo_farmanselmo,farmanselmo,lab,"VOLTEN DICLOFENAC SODICO SOLUCION OFTALMICA 0,1% 5ML OFTALMI (E)",https://pccentro.net.ve/img/s/8/0/4/5/4/80454-large_default.webp
37926,MI35435/4,DICLOFENAC POT X 30 UNIDADES,DICLOFENAC POT X,Diclofenaco,,LABORATORIO CHILE S.A.,solo_farmanselmo,farmanselmo,lab,"VOLTEN DICLOFENAC SODICO SOLUCION OFTALMICA 0,1% 5ML OFTALMI (E)",https://pccentro.net.ve/img/s/8/0/4/5/4/80454-large_default.webp
37927,HO36803/2,DICLOFENACO SODICO 75 MG / 3 ML X 1 AMPOLLA,DICLOFENACO SODICO,Diclofenaco,INYECTABLE,FARMIONNI SCALPI S.A.,solo_farmanselmo,farmanselmo,lab,VOLCOFEN DICLOFENAC SÓDICO AMPOLLA 75MG/3ML (E),https://pccentro.net.ve/img/s/8/0/6/4/4/80644-large_default.webp
37930,ME43045/4,DICLOFENACO POTASICO 50 MG X 30 TABLETAS RECUBIERTAS,DICLOFENACO POTASICO,Diclofenaco,TABLETAS,JIANGXI XIER KANGTAI PHARMACEUTICAL CO. LTD,solo_farmanselmo,farmanselmo,lab,DICLOFENAC POTASICO 50 MG x30 COMPRIMIDOS GENVEN (E),https://pccentro.net.ve/img/s/8/0/4/4/2/80442-large_default.webp
38045,ME33352/2,ESPIRONOLACTONA 25 MG X 10 TABLETAS,ESPIRONOLACTONA,Espironolactona,TABLETAS,LABORATORIOS SIEGFRIED S.A.,solo_farmanselmo,farmanselmo,lab,ESPIRONOLACTONA 25 MG 20 TABLETAS MEYER (E),https://pccentro.net.ve/img/s/2/4/9/9/8/24998-large_default.webp
38102,ME40011/3,FLAVOXATO 200 MG X 20 COMPRIMIDOS RECUBIERTOS,FLAVOXATO,Flavoxato,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,solo_farmanselmo,farmanselmo,lab,FLAVOXUNI (FLAVOXATO) 200 MG X 20 TABLETAS UNIPHARMA (E),https://pccentro.net.ve/img/s/9/2/2/5/5/92255-large_default.webp
38158,ME33501,GLIBENCLAMIDA 5 MG X 10 COMPRIMIDOS,GLIBENCLAMIDA,Glibenclamida,COMPRIMIDOS,LABORATORIOS ELMOR S.A.,solo_farmanselmo,farmanselmo,lab,GLIBENCLAMIDA 5 MG X 10 TABLETAS KMPLUS (E),https://pccentro.net.ve/img/s/4/1/1/3/7/41137-large_default.webp
38255,ME36068/4,IRBESARTAN 150 MG X 30 TABLETAS,IRBESARTAN,Irbesartan,TABLETAS,SM PHARMA C.A.,solo_farmanselmo,farmanselmo,lab,IBECAR IRBESARTAN 150 MG x30 TABLETAS VALMORCA (E),https://pccentro.net.ve/img/s/5/5/0/4/9/55049-large_default.webp
38287,HO35019/5,KETOPROFENO 100 MG / 2 ML X 20 AMPOLLAS,KETOPROFENO,Ketoprofeno,INYECTABLE,CALOX INTERNATIONAL C.A.,solo_farmanselmo,farmanselmo,lab,KETOPROFENO AMPOLLA 100MG/2ML I.M (E),https://pccentro.net.ve/img/s/9/2/7/8/5/92785-large_default.webp
38297,HO42668/2,KETOROLACO TROMETAMOL 30 MG / ML X 8 AMPOLLAS,KETOROLACO TROMETAMOL,Ketorolaco,INYECTABLE,LABORATORIO BIOSANO S.A.,solo_farmanselmo,farmanselmo,lab,KETOROLACO TROMETAMINA 30 MG (E),https://pccentro.net.ve/img/s/2/5/2/5/4/25254-large_default.webp
38323,ME43991,LERCANIDIPINO CLOHIDRATO 10 MG X 30 TABLETAS RECUBIERTAS,LERCANIDIPINO CLOHIDRATO,Lercanidipino,TABLETAS,ANG LIFESCIENCES INDIA LTD,solo_farmanselmo,farmanselmo,lab,LERCANIDIPINO LERCANIDIPINA 10 MG x30 TABLETAS CALOX (E),https://pccentro.net.ve/img/s/8/4/0/5/6/84056-large_default.webp
38554,ME25984/2,NIFEDIPINA 10 MG X 10 COMPRIMIDOS DISPERSABLES,NIFEDIPINA,Nifedipino,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,solo_farmanselmo,farmanselmo,lab,NIFEDIPINA 10 MG X10 TABLETAS LAND (E),https://pccentro.net.ve/img/s/5/9/8/4/5/59845-large_default.webp
38559,ME44261,NISTATINA 100.000 UI / ML SUSPENSION,NISTATINA,Nistatina,SUSPENSION ORAL,ASPEN BIOPHARMA LABS PVT. LTD.,solo_farmanselmo,farmanselmo,lab,NISTATINA 100.000UI/ML SUSPENCION (E),https://pccentro.net.ve/img/s/5/5/4/2/9/55429-large_default.webp
38627,ME36024,ORLISTAT 120 MG X 30 CAPSULAS,ORLISTAT,Orlistat,CAPSULAS,LABORATORIOS LETI S.A.V.,solo_farmanselmo,farmanselmo,lab,CRISPLUS ORLISTAT 120MG x30 CAPSULAS ELEA ZUOZ (E),https://pccentro.net.ve/img/s/7/9/3/8/1/79381-large_default.webp
38695,ME42570/2,PREGABALINA 150 MG X 20 CAPSULAS,PREGABALINA,Pregabalina,CAPSULAS,REMUS PHARMACEUTICALS PVT. LTD.,solo_farmanselmo,farmanselmo,lab,PRELIVAL PREGABALINA 150 MG x20 CÁPSULAS VALMORCA (E),https://pccentro.net.ve/img/s/2/5/8/7/0/25870-large_default.webp
38718,ME37058,RAMIPRIL 2.5 MG X 30 COMPRIMIDOS,RAMIPRIL,Ramipril,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,solo_farmanselmo,farmanselmo,lab,RAMIPRES (RAMIPRIL) 2.5 MG X30 COMPRIMIDOS (E),https://pccentro.net.ve/img/s/8/3/9/7/9/83979-large_default.webp
38963,ME44099/3,VITAMINA C 500 MG X 15 TABLETAS MASTICABLES SABOR A NARANJA,VITAMINA C,Vitamina C,TABLETAS,HIRAL LABS LIMITED,solo_farmanselmo,farmanselmo,lab,VITAMINA C (ACIDO ASCORBICO) 500MG SABOR A NARANJA TIRA xTABLETAS MASTICABLES LA SANTE (E),https://pccentro.net.ve/img/s/4/3/6/0/1/43601-large_default.webp
38964,ME44099/4,VITAMINA C 500 MG X 30 TABLETAS MASTICABLES SABOR A NARANJA,VITAMINA C,Vitamina C,TABLETAS,HIRAL LABS LIMITED,solo_farmanselmo,farmanselmo,lab,BITEX COMPLEJO B VITAMINA B1/B2/B6/B12 X30 TABLETAS NATURALIFES (E),https://pccentro.net.ve/img/s/6/8/9/1/0/68910-large_default.webp
38965,ME44099/2,VITAMINA C 500 MG X 10 TABLETAS MASTICABLES SABOR A NARANJA,VITAMINA C,Vitamina C,TABLETAS,HIRAL LABS LIMITED,solo_farmanselmo,farmanselmo,lab,VITAMINA C 500MG MANDARINA TIRA TABLETA MASTICABLE x10 UNIDADES LA SANTE (E),https://pccentro.net.ve/img/s/7/4/6/6/8/74668-large_default.webp
39017,ME37056,ACIDO ACETIL SALICILICO 81 MG X 30 COMPRIMIDOS ENTERICOS,ACIDO ACETIL SALICILICO,Acetilsalicilico Acido,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,solo_farmanselmo,farmanselmo,,ACIDO ACETILSALICILICO 81MG x30 TABLETAS SPEFAR (E),https://pccentro.net.ve/img/s/1/7/9/5/2/17952-large_default.webp
39057,ME41982,ANTAAR HCT 2.5 MG - 6.25 MG X 30 TABLETAS,ANTAAR HCT,Hidroclorotiazida,TABLETAS,CALOX INTERNATIONAL C.A.,solo_farmanselmo,farmanselmo,lab,ANTAAR BISOPROLOL HIDROCLOROTIAZIDA 2.5 MG/6.25 MG x30 CAPSULAS MCK (E),https://pccentro.net.ve/img/s/8/3/7/3/1/83731-large_default.webp
39134,ME36608,CETIRIZINA CLORHIDRATO 10 MG / ML SOLUCION ORAL GOTAS,CETIRIZINA CLORHIDRATO,Cetirizina,SOLUCION ORAL,LABORATORIOS SPEFAR VENEZOLANOS S.A.,solo_farmanselmo,farmanselmo,lab,TALERC CETIRIZINA GOTAS 10 MG/ML x10ML SIEGFRIED (E),https://pccentro.net.ve/img/s/7/5/2/4/3/75243-large_default.webp
39358,ME36523,SIMVASTATINA 20 MG COMPRIMIDOS RECUBIERTOS,SIMVASTATINA,Simvastatina,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,solo_farmanselmo,farmanselmo,lab,CYNT SIMVASTATINA 20 MG x20 COMPRIMIDOS DOLLDER (E),https://pccentro.net.ve/img/s/7/8/3/5/3/78353-large_default.webp
39361,ME42518,SERTRALINA 100 MG COMPRIMIDOS,SERTRALINA,Sertralina,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,solo_farmanselmo,farmanselmo,lab,TIALIN SERTRALINA 100MG x10 COMPRIMIDOS MEGALABS (E),https://pccentro.net.ve/img/s/8/4/0/2/8/84028-large_default.webp
39388,ME44419/3,TERAGRIPFORTE NOCHE 650 MG-4 MG X 6 GRANULADO PARA SOLUCION ORAL,TERAGRIPFORTE NOCHE,Acetaminofen - Clorfeniramina,GRANULADOS,LABORATORIOS FARMA S.A.,solo_farmanselmo,farmanselmo,,TERAGRIP FORTE NOCHE ACETAMINOFEN+CLORFENIRAMINA 650MG-4MG x6 SOBRES FARMA (E),https://pccentro.net.ve/img/s/7/5/0/8/9/75089-large_default.webp
39408,ME998,VITAMINA C 100 MG / 5 ML JARABE,VITAMINA C,Ascorbico Acido,JARABE,MEGALABS S.A.,solo_farmanselmo,farmanselmo,lab,VITAMINA C (ACIDO ASCORBICO) JARABE 100MG/5ML x120 ML KLINOS (E),https://pccentro.net.ve/img/s/7/7/8/3/5/77835-large_default.webp
39497,ME42647,CLOTRIMAZOL 200 MG X 3 OVULOS VAGINALES,CLOTRIMAZOL,Clotrimazol,OVULOS,BLISS GVS PHARMA LTD,solo_farmanselmo,farmanselmo,lab,DYMAZOL (CLOTRIMAZOL) 200MG X 3 OVULOS VAGINAL DISTRILAB (E),https://pccentro.net.ve/img/s/6/0/7/4/2/60742-large_default.webp
39517,ME32507,GLICLAZIDA 80 MG X 20 TABLETAS,GLICLAZIDA,Gliclazida,TABLETAS,CALOX INTERNATIONAL C.A.,solo_farmanselmo,farmanselmo,lab,GLIDAN GLICLAZIDA 80 MG x20 TABLETAS MEGALABS (E),https://pccentro.net.ve/img/s/8/4/0/3/8/84038-large_default.webp
39546,ME43731,MUPIROCINA 2 % UNGUENTO,MUPIROCINA,Mupirocina,UNGUENTO,OHAD PHARMACEUTICALS PVT. LTD.,solo_farmanselmo,farmanselmo,lab,DALCITRIN MUPIROCINA 2% UNGÜENTO x15GR DOLLDER (E),https://pccentro.net.ve/img/s/5/3/2/6/2/53262-large_default.webp
39555,HO44444,OMEPRAZOL 40 MG X 10 AMPOLLAS,OMEPRAZOL,Omeprazol,INYECTABLE,ZHEJIANG XIANJU PHARMACEUTICAL CO. LTD. (TAIZHOU),solo_farmanselmo,farmanselmo,lab,OMEPRAZOL 40MG I.V AMPOLLA (E),https://pccentro.net.ve/img/s/7/7/8/8/6/77886-large_default.webp
