fila,accion,id,sku,nombre_comercial,foto_url,fuente
8,asignar,37315,ME42488,ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51788.jpg,generico_lab
9,asignar,37308,ME33539,ACETAMINOFEN 500 X 10 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg,generico_lab
10,asignar,39012,ME43427/3,ACETAMINOFEN 500 MG X 30 TABLETAS,https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,generico_lab
11,asignar,37308,ME33539,ACETAMINOFEN 500 X 10 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg,generico_lab
14,asignar,37322,ME37101/3,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10 MG X 20 TABLETAS RE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7537.jpg,generico_lab
28,asignar,37385,ME34122/2,ALBENDAZOL 200 MG X 2 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17968.jpg,generico_lab
36,asignar,39035,ME30270/2,AMLODIPINA 10 MG X 20 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92638.jpg,generico_lab
40,asignar,37443,ME26817,AMOXICILINA 500 MG X 12 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25978.jpg,generico_lab
43,asignar,37444,ME35002,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51378.jpg,generico_lab
44,asignar,37444,ME35002,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51378.jpg,generico_lab
54,asignar,37520,ME35911,ATORVASTATINA 40 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98292.jpg,generico_lab
57,asignar,39090,ME28805,AZITROMICINA 500 MG COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6090.jpg,generico_lab
60,asignar,39090,ME28805,AZITROMICINA 500 MG COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6090.jpg,generico_lab
62,asignar,39096,HO22899,BETAMETASONA 4 MG / ML X 1 AMPOLLA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2117.jpg,generico_lab
64,asignar,39111,ME39034,BISOPROLOL FUMARATO - HIDROCLOROTIAZIDA 5 MG - 6.25 MG COMPRIMIDOS RECUBIERTOS,https://pccentro.net.ve/img/s/6/8/7/3/8/68738-large_default.webp,generico_lab
72,asignar,37663,ME37841,CANDESARTAN 8 MG X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23944.jpg,generico_lab
