id_fila,producto_id,sku_orig,nombre_orig,accion,target_id,lab_real,lab_nuevo,nombre_propuesto,forma,molecula,presentacion,unidades,linea,fuente_desc,desc_candidata,foto_candidata,tier,score,motivo,aprobado
1,37296,ME4629/2,ACIDO FOLICO 5 MG X 10 COMPRIMIDOS,ya_tiene_foto,38570,"LABORATORIOS SIEGFRIED, S.A.",no,,,,,,,cobeca,ACIDO FOLICO TAB 5MG X10 MEY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20331.jpg,0,1002,producto objetivo ya tiene foto (#38570),no
2,37302,ME43094,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,crear,,"LABORATORIOS ZUZU, C.A.",si,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,TABLETAS,Acido Ibandronico Sodio Monohidrato,X 1 TABLETAS,1,Linea Farmacia,cobeca,AC IBANDRONICO TAB 150MG X1 ZUZU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52763.jpg,,,lab sin productos en BD,si
3,37303,ME43992,ACIDO TRANEXAMICO 500 MG X 10 TABLETAS RECUBIERTAS,crear,,"KMPLUS PHARMACEUTICALS, C.A.",si,ACIDO TRANEXAMICO 500 MG X 10 TABLETAS RECUBIERTAS,TABLETAS,Tranexamico Acido,X 10 TABLETAS,10,Linea Farmacia,cobeca,AC TRANEXAMICO TAB 500MG X10 KMP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53498.jpg,,,lab sin productos en BD,si
4,37306,ME42665,ACECLOFENACO 100 MG X 10 TABLETAS RECUBIERTAS,crear,,"CASA DE REPRESENTACION MT GLOBAL CARE, C.A.",si,ACECLOFENACO 100 MG X 10 TABLETAS RECUBIERTAS,TABLETAS,Aceclofenaco,X 10 TABLETAS,10,Linea Farmacia,cobeca,ACECLOFENACO TAB DISP 100MG X10 CR MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53399.jpg,,,lab sin productos en BD,si
5,37311,ME43639/4,ACETAMINOFEN 650 MG X 30 TABLETAS,crear,,"LABORATORIOS LETI, S.A.V.",no,ACETAMINOFEN 650 MG X 30 TABLETAS,TABLETAS,Acetaminofen,X 30 TABLETAS,30,Linea Farmacia,cobeca,ACETAMINOFEN COMP 650MG X30 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15591.jpg,,,solo match relaxando pack (T2) — presentacion exacta no existe,si
6,37312,ME43707,ACETAMINOFEN 150 MG / 5 ML JARABE,crear,,"LABORATORIO LA SANTE, C.A.",no,ACETAMINOFEN 150 MG / 5 ML JARABE,JARABE,Acetaminofen,JARABE,,Linea Farmacia,farmanselmo,ACETAMINOFEN JARABE 150MG/5ML x120ML LA SANTE (E),https://pccentro.net.ve/img/s/1/8/1/9/5/18195-large_default.webp,,,lab existe pero sin match >= T0,si
7,37313,ME40083,ACETAMINOFEN 120 MG / 5 ML SOLUCION ORAL,crear,,"BIOQUIMICA INTERNACIONAL, C.A.",si,ACETAMINOFEN 120 MG / 5 ML SOLUCION ORAL,SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,,Linea Farmacia,cobeca,ACETAMINOFEN SOL 120MG/5ML 120ML BIOQ,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53087.jpg,,,lab existe pero sin match >= T0,si
8,37314,ME40084,ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL,asignar,37315,"LABORATORIOS LETI, S.A.V.",no,ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL,SOLUCION ORAL,Acetaminofen,,,,cobeca,ACETAMINOFEN SOL 180MG/5ML 120ML LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51788.jpg,0,1002,match T0 score 1002,si
9,37316,ME25466/2,ACETAMINOFEN 500 MG X 10 COMPRIMIDOS,asignar,37308,"LABORATORIOS LETI, S.A.V.",no,ACETAMINOFEN 500 X 10 COMPRIMIDOS,COMPRIMIDOS,Acetaminofen,,,,cobeca,ACETAMINOFEN COMP 500MG X10 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg,0,1000,match T0 score 1000,si
10,37317,ME25466/3,ACETAMINOFEN 500 MG X 30 COMPRIMIDOS,asignar,39012,"LABORATORIOS L.O. OFTALMI, C.A.",no,ACETAMINOFEN 500 MG X 30 TABLETAS,TABLETAS,Acetaminofen,,,,farmanselmo,ACETAMINOFEN 500MG x30 TABLETAS OFTALMI (E),https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,0,1002,match T0 score 1002,si
11,37319,ME23275/2,ACETAMINOFEN 500 MG X 10 TABLETAS,asignar,37308,"LABORATORIOS LETI, S.A.V.",no,ACETAMINOFEN 500 X 10 COMPRIMIDOS,COMPRIMIDOS,Acetaminofen,,,,cobeca,ACETAMINOFEN COMP 500MG X10 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg,0,1000,match T0 score 1000,si
12,37320,ME23275/3,ACETAMINOFEN 500 MG X 12 TABLETAS,crear,,"BIOQUIMICA INTERNACIONAL, C.A.",si,ACETAMINOFEN 500 MG X 12 TABLETAS,TABLETAS,Acetaminofen,X 12 TABLETAS,12,Linea Farmacia,cobeca,ACETAMINOFEN TAB 500MG X12 BIOQ,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22400.jpg,,,lab existe pero sin match >= T0,si
13,37321,ME23275/4,ACETAMINOFEN 500 MG X 24 TABLETAS,crear,,"BIOQUIMICA INTERNACIONAL, C.A.",si,ACETAMINOFEN 500 MG X 24 TABLETAS,TABLETAS,Acetaminofen,X 24 TABLETAS,24,Linea Farmacia,cobeca,ACETAMINOFEN TAB 500MG X24 BIOQ,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22401.jpg,,,lab existe pero sin match >= T0,si
14,37324,ME37095,ACETAMINOFEN 500 MG X 20 TABLETAS,asignar,37322,"LABORATORIO LA SANTE, C.A.",no,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10 MG X 20 TABLETAS RE,TABLETAS,,,,,cobeca,ACETAMINOFEN TAB 500MG X20 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7537.jpg,0,2,match T0 score 2,si
15,37327,ME34148/3,ACETAZOLAMIDA 250 MG X 20 TABLETAS,crear,,"KMPLUS PHARMACEUTICALS, C.A.",si,ACETAZOLAMIDA 250 MG X 20 TABLETAS,TABLETAS,Acetazolamida,X 20 TABLETAS,20,Linea Farmacia,cobeca,ACETAZOLAMIDA TAB 250MG X20 KMP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53492.jpg,,,lab sin productos en BD,si
16,37328,ME34148/2,ACETAZOLAMIDA 250 MG X 10 TABLETAS,crear,,"CASA DE REPRESENTACION MT GLOBAL CARE, C.A.",si,ACETAZOLAMIDA 250 MG X 10 TABLETAS,TABLETAS,Acetazolamida,X 10 TABLETAS,10,Linea Farmacia,cobeca,ACETAZOLAMIDA TAB 250MG X10 CR MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53177.jpg,,,lab sin productos en BD,si
17,37336,HO40581,ACICLOVIR 250 MG POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,crear,,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,ACICLOVIR 250 MG POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,INYECTABLE,Aciclovir,X 1 INYECTABLE,1,Linea Hospitalaria,cobeca,ACICLOVIR PVO SOL INY 250MG VIAL X1 DIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51935.jpg,,,lab sin productos en BD,si
18,37339,ME26178/3,ACICLOVIR 200 MG X 20 TABLETAS,crear,,"LABORATORIOS POLINAC, C.A.",no,ACICLOVIR 200 MG X 20 TABLETAS,TABLETAS,Aciclovir,X 20 TABLETAS,20,Linea Farmacia,cobeca,ACICLOVIR TAB 200MG X 20 POLINAC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29551.jpg,,,lab existe pero sin match >= T0,si
19,37341,ME26178/4,ACICLOVIR 200 MG X 24 TABLETAS,crear,,"LABORATORIO LA SANTE, C.A.",no,ACICLOVIR 200 MG X 24 TABLETAS,TABLETAS,Aciclovir,X 24 TABLETAS,24,Linea Farmacia,cobeca,ACICLOVIR TAB 200MG X24 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7859.jpg,,,lab existe pero sin match >= T0,si
20,37347,HO44464,ACIDO ASCORBICO 500 MG / 5 ML SOLUCION INYECTABLE,crear,,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,ACIDO ASCORBICO 500 MG / 5 ML SOLUCION INYECTABLE,INYECTABLE,Ascorbico Acido,X 10 INYECTABLE,10,Linea Hospitalaria,cobeca,ACIDO ASCORBICO AMP 500MG/5MLX10 CR DIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23088.jpg,,,lab sin productos en BD,si
21,37350,HO3187/3,ACIDO FOLICO 10 MG / ML X 10 AMPOLLAS,crear,,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,ACIDO FOLICO 10 MG / 2 ML X 10 INYECTABLE,INYECTABLE,Acido Folico,X 10 INYECTABLE,10,Linea Hospitalaria,cobeca,ACIDO FOLICO AMP 10MG/2ML X10 CR DIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22846.jpg,,,lab sin productos en BD,si
22,37356,ME4630/2,ACIDO FOLICO 10 MG X 10 COMPRIMIDOS,ya_tiene_foto,38567,"LABORATORIOS SIEGFRIED, S.A.",no,,,,,,,cobeca,ACIDO FOLICO TAB 10MG X10 MEY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20330.jpg,0,1002,producto objetivo ya tiene foto (#38567),no
23,37368,ME43334,ADAPALENO - CLINDAMICINA 0.1 % - 1 % GEL,crear,,"CASA DE REPRESENTACION H&M MEDICAL GROUP, C.A.",si,ADAPALENO - CLINDAMICINA 0.1 % - 1 % GEL,GEL,Adapaleno,GEL,,Linea Farmacia,cobeca,"ADAPALENO GEL TOP 0,1% 15G HM",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52420.jpg,,,lab sin productos en BD,si
24,37369,HO34745,ADRENALINA 1 MG / ML X 5 AMPOLLAS,crear,,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,ADRENALINA 1 MG / ML X 5 AMPOLLAS,INYECTABLE,Adrenalina,X 5 INYECTABLE,5,Linea Hospitalaria,cobeca,ADRENALINA SOL INY 1MG/ML X5 DIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52500.jpg,,,lab sin productos en BD,si
25,37374,HO32804,AGUA BIDESTILADA INYECTABLE,crear,,"ALCOHOLES VALENCIA, C.A.",si,AGUA OXIG ALVA INYECTABLE,INYECTABLE,Agua Oxig Alva,INYECTABLE,,Linea Hospitalaria,cobeca,AGUA OXIG ALVA AL 3% 1L,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28584.jpg,,,lab sin productos en BD,si
26,37375,HO1694,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,crear,,"ALCOHOLES VALENCIA, C.A.",si,AGUA OXIG ALVA INYECTABLE,INYECTABLE,Agua Oxig Alva,INYECTABLE,,Linea Hospitalaria,cobeca,AGUA OXIG ALVA AL 3% 1L,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28584.jpg,,,lab sin productos en BD,si
27,37381,ME43288,ALBENDAZOL 400 MG X 10 TABLETAS MASTICABLES,crear,,"LABORATORIOS ZUZU, C.A.",si,ALBENDAZOL 400 MG X 10 TABLETAS MASTICABLES,TABLETAS,Albendazol,X 10 TABLETAS,10,Linea Farmacia,cobeca,ALBENDAZOL 400MG TAB MAST X10 ZUZU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52550.jpg,,,lab sin productos en BD,si
28,37383,ME40605/2,ALBENDAZOL 200 MG X 2 COMPRIMIDOS,asignar,37385,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",no,ALBENDAZOL 200 MG X 2 TABLETAS,TABLETAS,Albendazol,,,,cobeca,ALBENDAZOL TAB 200MG X2 PLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17968.jpg,0,1002,match T0 score 1002,si
29,37384,ME40605/3,ALBENDAZOL 200 MG X 6 COMPRIMIDOS,crear,,"LABORATORIO LA SANTE, C.A.",no,ALBENDAZOL 200 MG X 6 COMPRIMIDOS,COMPRIMIDOS,Albendazol,X 6 COMPRIMIDOS,6,Linea Farmacia,cobeca,ALBENDAZOL TAB 200MG X6 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1526.jpg,,,lab existe pero sin match >= T0,si
30,37391,ME32131,ALENDRONATO SODICO 70 MG X 4 COMPRIMIDOS,crear,,"LABORATORIOS ZUZU, C.A.",si,ALENDRONATO SODICO 70 MG X 4 COMPRIMIDOS,COMPRIMIDOS,Alendronico Acido,X 4 COMPRIMIDOS,4,Linea Farmacia,cobeca,ALENDRONATO SOD TAB 70MG X 4 ZUZU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50383.jpg,,,lab sin productos en BD,si
31,37418,HO23247,AMIKACINA 500 MG / 2 ML X 1 AMPOLLA,crear,,"CASA DE REPRESENTACION ADN MEDICAL, C.A.",si,AMIKACINA 500 MG / 2 ML X 1 AMPOLLA,INYECTABLE,Amikacina,X 1 INYECTABLE,1,Linea Hospitalaria,cobeca,AMIKACINA AMP 500MG/2ML X1 ADN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/27450.jpg,,,lab sin productos en BD,si
32,37419,HO24946,AMIKACINA 500 MG / 2 ML X 1 AMPOLLA,crear,,"CASA DE REPRESENTACION ADN MEDICAL, C.A.",si,AMIKACINA 500 MG / 2 ML X 1 AMPOLLA,INYECTABLE,Amikacina,X 1 INYECTABLE,1,Linea Hospitalaria,cobeca,AMIKACINA AMP 500MG/2ML X1 ADN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/27450.jpg,,,lab sin productos en BD,si
33,37420,HO26424,AMIKACINA 100 MG / 2 ML X 10 AMPOLLAS,crear,,"KMPLUS PHARMACEUTICALS, C.A.",si,AMIKACINA 100 MG / 2 ML X 10 AMPOLLAS,INYECTABLE,Amikacina,X 10 INYECTABLE,10,Linea Hospitalaria,cobeca,AMIKACINA INY IM/IV 100MG/2ML X10 KMP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53493.jpg,,,lab sin productos en BD,si
