producto_id,nombre_comercial,estado,molecula_propuesta,n_moleculas
37305,ACALIX 60 MG,ok,Diltiazem,1
37322,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO,ok,Acetaminofén; Hioscina N-Butilbromuro,2
37323,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO,ok,Acetaminofén; Hioscina N-Butilbromuro,2
37325,ACETAMINOFEN - CLORFENIRAMINA,ok,Acetaminofén; Clorfeniramina,2
37326,ACETAMINOFEN - TRAMADOL,ok,Acetaminofén; Tramadol,2
37337,MONARC- M 250 U.,ok,Factor de Coagulación VIII,1
37345,ACIDO ACETILSALICILICO 81 MG,ok,Ácido Acetilsalicílico,1
37346,ACIDO ACETILSALICILICO 81 MG,ok,Ácido Acetilsalicílico,1
37366,ACIDO IBANDRONICO 150 MG,ok,Ácido Ibandrónico,1
37374,AGUA BIDESTILADA INYECTABLE,ok,Agua Bidestilada,1
37375,AGUA DESTILADA ESTERIL,ok,Agua Destilada,1
37378,AIRFEN 0.05 % SOLUCION NASAL,sin_informacion,(No se encontró información),1
37395,ALGIOL 5 MG,sin_informacion,(No se encontró información),1
37396,ALGOREN 10 MG,sin_informacion,(No se encontró información),1
37420,AMIKACINA 100 MG / 2 ML,ok,Amikacina,1
37429,AMLODIPINA 10 MG,ok,Amlodipino,1
37433,AMLODIPINA 5 MG,ok,Amlodipino,1
37438,AMOXICILINA 500 MG,ok,Amoxicilina,1
37439,AMOXICILINA - ACIDO CLAVULANICO,ok,Amoxicilina; Ácido Clavulánico,2
37446,AMOXICILINA 125 MG / 5 ML,ok,Amoxicilina,1
37455,AMPLIDER 50 MG,sin_informacion,(No se encontró información),1
37456,ANALPER PLUS 500 MG,sin_informacion,(No se encontró información),1
37464,ANGRIP X 8 COMPRIMIDOS,sin_informacion,(No se encontró información),1
37465,ANGRIP X 4 COMPRIMIDOS,sin_informacion,(No se encontró información),1
37466,ANGRIP X 15 COMPRIMIDOS,sin_informacion,(No se encontró información),1
37470,ANTAAR 1.25 MG,sin_informacion,(No se encontró información),1
37471,ANTAAR 1.25 MG,sin_informacion,(No se encontró información),1
37474,ANTILAX PLUS 2 MG,sin_informacion,(No se encontró información),1
37476,APIRET 120 MG / 5 ML,sin_informacion,(No se encontró información),1
37477,APIRET 160 MG / 5 ML,sin_informacion,(No se encontró información),1
37482,APLACAL 750 MG,sin_informacion,(No se encontró información),1
37483,APLACAL 750 MG,sin_informacion,(No se encontró información),1
37490,ARESAN 20 MG,sin_informacion,(No se encontró información),1
37491,ARESAN 20 MG,sin_informacion,(No se encontró información),1
37497,ASAPROL 81 MG,sin_informacion,(No se encontró información),1
37498,ASAPROL 81 MG,sin_informacion,(No se encontró información),1
37504,ASPRINIL 81 MG,sin_informacion,(No se encontró información),1
37505,ASPRINIL 81 MG,sin_informacion,(No se encontró información),1
37510,ATAPEC 100 MG,sin_informacion,(No se encontró información),1
37522,ATORVASTATINA 20 MG,ok,Atorvastatina,1
37526,ATRIMON 10 MG,sin_informacion,(No se encontró información),1
37527,ATROBEL 10 MG / ML,sin_informacion,(No se encontró información),1
37528,ATROPINA SULFATO 1 MG / ML,ok,Atropina Sulfato,1
37529,ATROVERAN 10 MG / ML,sin_informacion,(No se encontró información),1
37534,AVELOX 400 MG,sin_informacion,(No se encontró información),1
37537,AZACARD 81 MG,sin_informacion,(No se encontró información),1
37538,AZACARD 81 MG,sin_informacion,(No se encontró información),1
37539,AZACARD 81 MG,sin_informacion,(No se encontró información),1
37547,AZITROMICINA 500 MG,ok,Azitromicina,1
37557,BENCIDAMINA CLORHIDRATO 0.15 %,ok,Bencidamina Clorhidrato,1
37561,BENZODIAZOL 0.25 MG - 5 MG,sin_informacion,(No se encontró información),1
37563,BENZODIAZOL 0.25 MG - 5 MG,sin_informacion,(No se encontró información),1
37564,BENZODIAZOL 0.25 MG - 5 MG,sin_informacion,(No se encontró información),1
37565,BEPRODERM 0.05 % - 0.1 %,sin_informacion,(No se encontró información),1
37566,BETADINE 8 % SOLUCION TOPICO BUCAL,sin_informacion,(No se encontró información),1
37567,BETADUO 6.430 MG - 2.631 MG / ML,sin_informacion,(No se encontró información),1
37570,BETAGEN SOLSPEN X 1 AMPOLLA,sin_informacion,(No se encontró información),1
37575,BEXILON 4 MG / 5 ML,sin_informacion,(No se encontró información),1
37576,BILOL 2.5 MG,sin_informacion,(No se encontró información),1
37577,BIOCOR AMLO 20 MG - 5 MG,sin_informacion,(No se encontró información),1
37578,BIOCOR AMLO 40 MG - 5 MG,sin_informacion,(No se encontró información),1
37579,BIOCOR 40 MG,sin_informacion,(No se encontró información),1
37580,BIOTALOL 2.5 MG,sin_informacion,(No se encontró información),1
37581,BIOTALOL 2.5 MG,sin_informacion,(No se encontró información),1
37582,BIOTALOL 1.25 MG,sin_informacion,(No se encontró información),1
37583,BIOTALOL 10 MG,sin_informacion,(No se encontró información),1
37584,BIPRIN 300 MG,sin_informacion,(No se encontró información),1
37589,BISOPROLOL FUMARATO 5 MG,ok,Bisoprolol Fumarato,1
37595,BISOPROLOL FUMARATO 1.25 MG,ok,Bisoprolol Fumarato,1
37609,BROFLEMA 8 MG / 5 ML,sin_informacion,(No se encontró información),1
37615,BROMEXINA CLORHIDRATO 4 MG / 5 ML,ok,Bromexina Clorhidrato,1
37616,BROMHEXINA CLORHIDRATO 8 MG / 5 ML,ok,Bromhexina Clorhidrato,1
37617,BROMHEXINA CLORHIDRATO 8 MG / 5 ML,ok,Bromhexina Clorhidrato,1
37637,CALCIBON 200 MG,sin_informacion,(No se encontró información),1
37645,CALOXPIRINA 81 MG,sin_informacion,(No se encontró información),1
37646,CALOXPIRINA 81 MG,sin_informacion,(No se encontró información),1
37648,CAMPAL 50 MG,sin_informacion,(No se encontró información),1
37649,CANDER HCT 16 MG - 12.5 MG,sin_informacion,(No se encontró información),1
37650,CANDER HCT 16 MG - 12.5 MG,sin_informacion,(No se encontró información),1
37655,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA,ok,Candesartán Cilexetilo; Hidroclorotiazida,2
37663,CANDESARTAN 8 MG,ok,Candesartán,1
37665,CANFIR 500 MG,sin_informacion,(No se encontró información),1
37668,OXIGENO MEDICINAL,ok,Oxígeno,1
37687,CARIBAN 10 MG-10 MG,sin_informacion,(No se encontró información),1
37703,CEBION 1 G,sin_informacion,(No se encontró información),1
37704,CEFADROXILO 500 MG,ok,Cefadroxilo,1
37719,CEFTRIAXONA 1 G,ok,Ceftriaxona,1
37731,CETRAL D 5 MG - 60 MG / 5 ML,sin_informacion,(No se encontró información),1
37734,VITAMINA C 500 MG,ok,Vitamina C,1
37735,VITAMINA C 500 MG,ok,Vitamina C,1
37742,CIFARCAINA AL 2 %,sin_informacion,(No se encontró información),1
37743,CIFARCAINA AL 1 %,sin_informacion,(No se encontró información),1
37750,CIPROFLOX 500 MG,sin_informacion,(No se encontró información),1
37751,CIPROFLOXACINA 500 MG,ok,Ciprofloxacina,1
37752,CIPROFLOXACINA 500 MG,ok,Ciprofloxacina,1
37753,CIPROFLOXACINA 200 MG / 100 ML,ok,Ciprofloxacina,1
37755,CIPROFLOXACINA 500 MG,ok,Ciprofloxacina,1
37756,CIPROFLOXACINA 500 MG,ok,Ciprofloxacina,1
37757,CIPROFLOXACINA 500 MG,ok,Ciprofloxacina,1
37758,CIPROFLOXACINA 500 MG,ok,Ciprofloxacina,1
37759,CIPROFLOXACINA 500 MG,ok,Ciprofloxacina,1
37760,CIPROFLOXACINA 500 MG,ok,Ciprofloxacina,1
37762,CIPROFLOXACINO 500 MG,ok,Ciprofloxacino,1
37766,CITRATO DE CALCIO 1190 MG,ok,Citrato de Calcio,1
37767,CITRATO DE CALCIO 1190 MG,ok,Citrato de Calcio,1
37768,CALCITREX D3 1500 MG - 200 UI,sin_informacion,(No se encontró información),1
37771,CLARIX 0.25 MG / ML,sin_informacion,(No se encontró información),1
37775,CLENBUNAL 0.014 MG / ML,sin_informacion,(No se encontró información),1
37776,CLENBUTEROL CLORHIDRATO 10 MCG / 5 ML,ok,Clenbuterol Clorhidrato,1
37785,CLODOXIN 10 MG - 100 MG,sin_informacion,(No se encontró información),1
37787,CLOFEN 1.8 MG / ML,sin_informacion,(No se encontró información),1
37794,CLONIDINA CLORHIDRATO 0.150 MG / ML,ok,Clonidina Clorhidrato,1
37795,CLONIDINA CLORHIDRATO 0.150 MG / ML,ok,Clonidina Clorhidrato,1
37805,CLOPIDOGREL 75 MG,ok,Clopidogrel,1
37810,CLORACE 125 - 0.5 MG / 5 ML,sin_informacion,(No se encontró información),1
37811,CLORACE 500 MG - 4 MG,sin_informacion,(No se encontró información),1
37812,CLORACE 500 MG - 4 MG,sin_informacion,(No se encontró información),1
37818,CLORURO DE POTASIO 2 MEQ / ML,ok,Cloruro de Potasio,1
37819,SOLUCION ISOTONICA DE CLORURO DE SODIO,ok,Cloruro de Sodio,1
37820,CLORURO DE SODIO 0.9 %,ok,Cloruro de Sodio,1
