producto_id,molecula_id,propuesta,ref_nombre,metodo,score,atc_id
37305,1111,Diltiazem,Diltiazem,exacto,1,1906
37322,34,Acetaminofén,Acetaminofen,exacto,1,
37323,34,Acetaminofén,Acetaminofen,exacto,1,
37325,34,Acetaminofén,Acetaminofen,exacto,1,
37325,847,Clorfeniramina,Clorfeniramina,exacto,1,2282
37326,34,Acetaminofén,Acetaminofen,exacto,1,
37326,3473,Tramadol,Tramadol,exacto,1,5004
37345,47,Ácido Acetilsalicílico,Acetilsalicilico Acido,fuzzy,1,4728
37346,47,Ácido Acetilsalicílico,Acetilsalicilico Acido,fuzzy,1,4728
37366,1807,Ácido Ibandrónico,Ibandronico Acido,fuzzy,1,4828
37420,194,Amikacina,Amikacina,exacto,1,2344
37429,212,Amlodipino,Amlodipino,exacto,1,1879
37433,212,Amlodipino,Amlodipino,exacto,1,1879
37438,221,Amoxicilina,Amoxicilina,exacto,1,3196
37439,221,Amoxicilina,Amoxicilina,exacto,1,3196
37439,808,Ácido Clavulánico,Clavulanico Acido,fuzzy,1,
37446,221,Amoxicilina,Amoxicilina,exacto,1,3196
37522,329,Atorvastatina,Atorvastatina,exacto,1,2018
37528,340,Atropina Sulfato,Atropina Sulfato,exacto,1,233
37547,366,Azitromicina,Azitromicina,exacto,1,3366
37589,494,Bisoprolol Fumarato,Bisoprolol Fumarato,exacto,1,1815
37595,494,Bisoprolol Fumarato,Bisoprolol Fumarato,exacto,1,1815
37655,589,Candesartán Cilexetilo,Candesartan Cilexetilo,exacto,1,1973
37655,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
37663,588,Candesartán,Candesartan,exacto,1,1973
37668,4125,Oxígeno,Oxigeno,exacto,1,6785
37704,666,Cefadroxilo,Cefadroxilo,exacto,1,3258
37719,687,Ceftriaxona,Ceftriaxona,exacto,1,3281
37734,3732,Vitamina C,Vitamina C,exacto,1,
37735,3732,Vitamina C,Vitamina C,exacto,1,
37751,764,Ciprofloxacina,Ciprofloxacino,fuzzy,0.765,6356
37752,764,Ciprofloxacina,Ciprofloxacino,fuzzy,0.765,6356
37753,764,Ciprofloxacina,Ciprofloxacino,fuzzy,0.765,6356
37755,764,Ciprofloxacina,Ciprofloxacino,fuzzy,0.765,6356
37756,764,Ciprofloxacina,Ciprofloxacino,fuzzy,0.765,6356
37757,764,Ciprofloxacina,Ciprofloxacino,fuzzy,0.765,6356
37758,764,Ciprofloxacina,Ciprofloxacino,fuzzy,0.765,6356
37759,764,Ciprofloxacina,Ciprofloxacino,fuzzy,0.765,6356
37760,764,Ciprofloxacina,Ciprofloxacino,fuzzy,0.765,6356
37762,764,Ciprofloxacino,Ciprofloxacino,exacto,1,6356
37805,3940,Clopidogrel,Clopidogrel,exacto,1,936
37818,874,Cloruro de Potasio,Cloruro De Potasio,exacto,1,775
37819,3995,Cloruro de Sodio,Sodio Cloruro,fuzzy,0.824,7330
37820,3995,Cloruro de Sodio,Sodio Cloruro,fuzzy,0.824,7330
37832,1976,Lactobacillus plantarum,Lactobacillus Plantarum,exacto,1,
37901,1037,Dexametasona Fosfato Sódico,Dexametasona Fosfato Sodio,fuzzy,0.833,6447
37902,1037,Dexametasona Fosfato Sódico,Dexametasona Fosfato Sodio,fuzzy,0.833,6447
37909,1053,Dextrometorfano,Dextrometorfano,exacto,1,6140
37911,1055,Dextrosa,Dextrosa,exacto,1,
37932,1076,Diclofenaco Sódico,Diclofenaco Sodico,exacto,1,2675
37957,1120,Diosmina,Diosmina,exacto,1,1765
37957,1729,Hesperidina,Hesperidina,exacto,1,1778
38003,1228,Enalapril Maleato,Enalapril Maleato,exacto,1,1922
38021,1282,Escitalopram,Escitalopram,exacto,1,5485
38022,1282,Escitalopram,Escitalopram,exacto,1,5485
38025,1282,Escitalopram,Escitalopram,exacto,1,5485
38035,1310,Esomeprazol,Esomeprazol,exacto,1,134
38086,2650,Pancreatina,Pancreatina,exacto,1,
38087,2650,Pancreatina,Pancreatina,exacto,1,
38124,1475,Flumazenil,Flumazenil,exacto,1,6738
38126,1490,Fluoxetina,Fluoxetina,exacto,1,5478
38192,3596,Valsartán,Valsartan,exacto,1,1970
38192,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
38195,2132,Losartán Potásico,Losartan Potasico,exacto,1,1968
38195,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
38196,2132,Losartán Potásico,Losartan Potasico,exacto,1,1968
38196,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
38258,1912,Irbesartán,Irbesartan,exacto,1,1971
38258,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
38305,2027,L-Carnitina,L-carnitina,exacto,1,5559
38348,2077,Levosulpiride,Levosulpirida,fuzzy,0.75,5294
38353,2081,Lidocaína,Lidocaina,exacto,1,1297
38353,1244,Epinefrina,Epinefrina,exacto,1,6457
38357,1978,Lactobacillus rhamnosus,Lactobacillus Rhamnosus,exacto,1,
38388,2125,Loratadina,Loratadina,exacto,1,6257
38398,2132,Losartán Potásico,Losartan Potasico,exacto,1,1968
38398,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
38402,2132,Losartán Potásico,Losartan Potasico,exacto,1,1968
38402,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
38403,2132,Losartán Potásico,Losartan Potasico,exacto,1,1968
38403,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
38420,703,Centella asiatica,Centella Asiatica Exto,fuzzy,0.783,6619
38448,4112,Meropenem,Meropenem,exacto,1,7345
38450,1124,Dipirona,Dipirona,exacto,1,
38451,1124,Dipirona,Dipirona,exacto,1,
38458,2280,Metformina,Metformina,exacto,1,598
38463,3184,Sitagliptina,Sitagliptina,exacto,1,651
38465,3184,Sitagliptina,Sitagliptina,exacto,1,651
38466,2299,Metilprednisolona,Metilprednisolona,exacto,1,3085
38476,2320,Metronidazol,Metronidazol,exacto,1,2719
38525,2388,Mupirocina,Mupirocina,exacto,1,5901
38543,2437,Neostigmina,Neostigmina,exacto,1,5603
38544,2437,Neostigmina,Neostigmina,exacto,1,5603
38564,2518,Nitrofurantoína,Nitrofurantoina,exacto,1,3455
38565,2518,Nitrofurantoína,Nitrofurantoina,exacto,1,3455
38581,2874,Prednisolona Acetato,Prednisolona Acetato,exacto,1,3087
38589,2576,Olmesartán Medoxomil,Olmesartan Medoxomilo,fuzzy,0.87,1975
38589,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
38592,2576,Olmesartán Medoxomil,Olmesartan Medoxomilo,fuzzy,0.87,1975
38596,2584,Omeprazol,Omeprazol,exacto,1,130
38597,2584,Omeprazol,Omeprazol,exacto,1,130
38598,2584,Omeprazol,Omeprazol,exacto,1,130
38599,2584,Omeprazol,Omeprazol,exacto,1,130
38600,2584,Omeprazol,Omeprazol,exacto,1,130
38601,2584,Omeprazol,Omeprazol,exacto,1,130
38602,2584,Omeprazol,Omeprazol,exacto,1,130
38608,2584,Omeprazol,Omeprazol,exacto,1,130
38609,2584,Omeprazol,Omeprazol,exacto,1,130
38610,2584,Omeprazol,Omeprazol,exacto,1,130
38611,2584,Omeprazol,Omeprazol,exacto,1,130
38617,2587,Ondansetrón,Ondansetron,exacto,1,301
38618,2587,Ondansetrón,Ondansetron,exacto,1,301
38631,4270,Oxolamina,Oxolamina,exacto,1,6151
38635,2656,Pantoprazol,Pantoprazol,exacto,1,131
38636,2656,Pantoprazol,Pantoprazol,exacto,1,131
38684,2873,Prednisolona,Prednisolona,exacto,1,3087
38685,2873,Prednisolona,Prednisolona,exacto,1,3087
38702,2912,Propranolol,Propranolol,exacto,1,1796
38708,2948,Quetiapina,Quetiapina,exacto,1,5281
38709,2948,Quetiapina,Quetiapina,exacto,1,5281
38710,2948,Quetiapina,Quetiapina,exacto,1,5281
38803,3184,Sitagliptina,Sitagliptina,exacto,1,651
38803,2280,Metformina,Metformina,exacto,1,598
38806,4236,Sucralfato,Sucralfato,exacto,1,148
38893,3515,Trimebutina Maleato,Trimebutina Maleato,exacto,1,173
38894,3515,Trimebutina Maleato,Trimebutina Maleato,exacto,1,173
38911,3582,Valaciclovir,Valaciclovir,exacto,1,3547
38922,3596,Valsartán,Valsartan,exacto,1,1970
38922,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
38924,3596,Valsartán,Valsartan,exacto,1,1970
38924,1739,Hidroclorotiazida,Hidroclorotiazida,exacto,1,1555
