tipo,producto_id,nombre_comercial,molecula_propuesta,n_productos,productos_ids,decision,atc_id
fuzzy_dudoso,37934,DICLOFENACO POTASICO 50 MG,Diclofenaco Potásico,1,,,
fuzzy_dudoso,38091,FINASTERIDE 5 MG,Finasteride,1,,,
fuzzy_dudoso,38132,FOSFATO DE POTASIO MONOBASICO 1 MEQ / ML,Fosfato de Potasio Monobásico,1,,,
fuzzy_dudoso,38298,KETOROLACO TROMETAMINA 30 MG / ML,Ketorolaco Trometamina,1,,,
fuzzy_dudoso,38479,METRONIDAZOL BENZOIL 125 MG / 5 ML,Metronidazol Benzoil,1,,,
fuzzy_dudoso,38556,NIMODIPINA 30 MG,Nimodipina,1,,,
fuzzy_dudoso,38663,PINAVERIUM BROMURO 100 MG,Pinaveerium Bromuro,1,,,
fuzzy_dudoso,38664,PINAVERIUM BROMURO 100 MG,Pinaveerium Bromuro,1,,,
fuzzy_dudoso,38809,SULFADIAZINA DE PLATA 1 %,Sulfadiazina de Plata,1,,,
fuzzy_dudoso,39238,GLUCONATO DE CALCIO AL 10 %,Gluconato de Calcio,1,,,
fuzzy_dudoso,39551,FOSFATO DE SODIO MONOBASICO - FOSFATO DE SODIO DIBASICO,Fosfato de Sodio Dibásico,1,,,
fuzzy_dudoso,39663,CLORHIDRATO DE BROMEXINA 8 MG / 5 ML,Bromexina,1,,,
fuzzy_dudoso,39690,CLORURO SODICO 0.9 %,Cloruro Sódico,1,,,
fuzzy_dudoso,39704,DICLOFENACO POTASICO 50 MG,Diclofenaco Potásico,1,,,
fuzzy_dudoso,39745,KETOROLACO TROMETAMINA 30 MG / ML,Ketorolaco Trometamina,1,,,
fuzzy_dudoso,39746,KETOROLACO TROMETAMINA 20 MG,Ketorolaco Trometamina,1,,,
fuzzy_dudoso,39880,DICLOFENAC DIETILAMINO 1.16 % GEL,Diclofenac Dietilamino,1,,,
fuzzy_dudoso,39911,HIDROCORTISONA SODICO 500 MG,Hidrocortisona Sódico,1,,,
