producto_id,nombre_comercial,candidato_molecula,ref_id,score,atc_id,decision
37378,AIRFEN 0.05 % SOLUCION NASAL,,,,,
37395,ALGIOL 5 MG,,,,,
37396,ALGOREN 10 MG,,,,,
37455,AMPLIDER 50 MG,,,,,
37456,ANALPER PLUS 500 MG,,,,,
37464,ANGRIP X 8 COMPRIMIDOS,,,,,
37465,ANGRIP X 4 COMPRIMIDOS,,,,,
37466,ANGRIP X 15 COMPRIMIDOS,,,,,
37470,ANTAAR 1.25 MG,,,,,
37471,ANTAAR 1.25 MG,,,,,
37474,ANTILAX PLUS 2 MG,,,,,
37476,APIRET 120 MG / 5 ML,,,,,
37477,APIRET 160 MG / 5 ML,,,,,
37482,APLACAL 750 MG,,,,,
37483,APLACAL 750 MG,,,,,
37490,ARESAN 20 MG,,,,,
37491,ARESAN 20 MG,,,,,
37497,ASAPROL 81 MG,,,,,
37498,ASAPROL 81 MG,,,,,
37504,ASPRINIL 81 MG,,,,,
37505,ASPRINIL 81 MG,,,,,
37510,ATAPEC 100 MG,,,,,
37526,ATRIMON 10 MG,,,,,
37527,ATROBEL 10 MG / ML,,,,,
37529,ATROVERAN 10 MG / ML,,,,,
37534,AVELOX 400 MG,,,,,
37537,AZACARD 81 MG,,,,,
37538,AZACARD 81 MG,,,,,
37539,AZACARD 81 MG,,,,,
37561,BENZODIAZOL 0.25 MG - 5 MG,,,,,
37563,BENZODIAZOL 0.25 MG - 5 MG,,,,,
37564,BENZODIAZOL 0.25 MG - 5 MG,,,,,
37565,BEPRODERM 0.05 % - 0.1 %,,,,,
37566,BETADINE 8 % SOLUCION TOPICO BUCAL,,,,,
37567,BETADUO 6.430 MG - 2.631 MG / ML,,,,,
37570,BETAGEN SOLSPEN X 1 AMPOLLA,,,,,
37575,BEXILON 4 MG / 5 ML,,,,,
37576,BILOL 2.5 MG,,,,,
37577,BIOCOR AMLO 20 MG - 5 MG,,,,,
37578,BIOCOR AMLO 40 MG - 5 MG,,,,,
37579,BIOCOR 40 MG,,,,,
37580,BIOTALOL 2.5 MG,,,,,
37581,BIOTALOL 2.5 MG,,,,,
37582,BIOTALOL 1.25 MG,,,,,
37583,BIOTALOL 10 MG,,,,,
37584,BIPRIN 300 MG,,,,,
37609,BROFLEMA 8 MG / 5 ML,,,,,
37637,CALCIBON 200 MG,,,,,
37645,CALOXPIRINA 81 MG,,,,,
37646,CALOXPIRINA 81 MG,,,,,
37648,CAMPAL 50 MG,,,,,
37649,CANDER HCT 16 MG - 12.5 MG,,,,,
37650,CANDER HCT 16 MG - 12.5 MG,,,,,
37665,CANFIR 500 MG,,,,,
37687,CARIBAN 10 MG-10 MG,,,,,
37703,CEBION 1 G,,,,,
37731,CETRAL D 5 MG - 60 MG / 5 ML,,,,,
37742,CIFARCAINA AL 2 %,,,,,
37743,CIFARCAINA AL 1 %,,,,,
37750,CIPROFLOX 500 MG,Ciprofloxacino,764,0.563,6356,
37768,CALCITREX D3 1500 MG - 200 UI,Calcitriol,581,0.500,703,
37771,CLARIX 0.25 MG / ML,,,,,
37775,CLENBUNAL 0.014 MG / ML,,,,,
37785,CLODOXIN 10 MG - 100 MG,,,,,
37787,CLOFEN 1.8 MG / ML,,,,,
37810,CLORACE 125 - 0.5 MG / 5 ML,,,,,
37811,CLORACE 500 MG - 4 MG,,,,,
37812,CLORACE 500 MG - 4 MG,,,,,
37825,CO-SULTRIN 40 MG - 200 MG / 5 ML,,,,,
37834,COLYPAN 200 MG,,,,,
37838,CORAZEM 60 MG,,,,,
37841,CORENTEL 10 MG,,,,,
37842,CORENTEL 10 MG,,,,,
37843,CORENTEL 1.25 MG,,,,,
37844,CORENTEL 1.25 MG,,,,,
37845,CORENTEL 5 MG,,,,,
37846,CORENTEL 5 MG,,,,,
37860,DALCITRIN 2 % UNGUENTO,,,,,
37865,DECA LENTERMINA COMPLEX,,,,,
37866,DECALONA 4 MG / ML,,,,,
37869,DECOBEL 8 MG / 2 ML,,,,,
37876,DENCOFEN 1.16 % CREMA,,,,,
37878,DENUAL 150 MG,,,,,
37880,DERAIN 15 % CREMA,,,,,
37883,DERMAZOL 0.05 % LOCION CAPILAR,,,,,
37885,DERMOVATE 0.05 % CREMA,,,,,
37886,DEROVIT 1000 UI,,,,,
37908,PREVERAL CON DEXTROMETORFANO,Dextrometorfano,1053,0.640,6140,
37914,DIAFORMINA 1000 MG,,,,,
37915,DIAFORMINA 500 MG,,,,,
37918,DIAGESIC 1.8 MG / ML,,,,,
37940,DIFENAC 1 % GEL,,,,,
37941,DIGLET 1000 U.I.,,,,,
37942,DIGLET 5000 U.I.,,,,,
37943,DIGLET 200 UI,,,,,
37944,DIKLASON 100 MG,,,,,
37945,DIKLASON BI 150 MG,,,,,
37947,DILOTEX 5 MG,,,,,
37948,DILOTEX 10 MG,,,,,
37959,DIPLOZ 1 MG,,,,,
37961,DOBET 2 % - 0.5 %,,,,,
37962,DOBRACID 300 MG,,,,,
37963,DOBRACID 300 MG,,,,,
37968,DOLAK 10 MG,,,,,
37969,DOLAK 10 MG,,,,,
37970,DOLAK 20 MG,,,,,
37971,DOLCAN 9 MG / 5 ML,,,,,
37988,DUROVAL 50 MG,,,,,
37989,DUROVAL 50 MG,,,,,
37990,DUROVAL 50 MG,,,,,
37991,DUROVAL 50 MG,,,,,
37994,DUVADILAN 10 MG,,,,,
38012,ERILON 1 MG / ML LOCION,,,,,
38027,ESMIRTAL 20 MG,,,,,
38053,EUKENE 40 MG,,,,,
38058,EUTEBROL 20 MG,,,,,
38062,EZOLIUM 20 MG,,,,,
38063,EZOLIUM 40 MG,,,,,
38065,FARBICIL 1 % CREMA,,,,,
38066,FEBRATIC 15 MG / ML,,,,,
38075,FERGANIC 40 MG,,,,,
38076,FERGANIC 40 MG,,,,,
38077,FERGANIC 40 MG,,,,,
38078,FERGANIC 20 MG / ML,,,,,
38082,FERGANIC 40 MG / 15 ML,,,,,
38083,FERGANIC 100 MG / 5 ML,,,,,
38092,NIAZOL 1 MG / ML,,,,,
38093,MONOSULPA X 260,,,,,
38094,FISIOLIN 0.65 %,,,,,
38100,FLAVOL 300 MG,,,,,
38105,FLEMIBAR 20 MG - 2500 MG / 5 ML,,,,,
38109,FLODONT 0.15 %,,,,,
38110,FLOMED 0.15 % - 0.25 %,,,,,
38133,FOSFOLIT 21.6 G - 8.1 G / 45 ML,,,,,
38136,FULGRAM 875 MG - 125 MG,,,,,
38152,GENESA 3 MG-20 MCG,,,,,
38153,GENESA 3 MG-20 MCG,,,,,
38157,GENURIN 200 MG,,,,,
38163,GLIDAN 80 MG,,,,,
38165,GLIFORMIN 850 MG,,,,,
38172,GLUCOFAGE 500 MG XR,,,,,
38178,GRATIO 500 MG,,,,,
38180,GULAPER 250 MG / 5 ML,,,,,
38182,GULAPER 100 MG / 5 ML,,,,,
38183,GYNODERAIN 0.6 G,,,,,
38189,HEXANTFLEM 250 MG / 5 ML,,,,,
38212,IBUN 600 MG,,,,,
38238,IDOXEN 75 MG,,,,,
38239,IDOXEN 150 MG,,,,,
38240,ILANA 600 MG,,,,,
38241,ILTUX 20 MG,,,,,
38249,FLUTIXAIR 125 MG - 25 MCG / DOSIS,,,,,
38251,IPROXIN 500 MG,,,,,
38268,KATRIN 30 MG / ML,,,,,
38304,KLAS 100 MG,,,,,
38306,LACTBET 3000 U,,,,,
38307,LACTBET 3000 U,,,,,
38317,LENTOCILIN 6.3.3,,,,,
38318,LEPRIT 25 MG,,,,,
38326,LETISAN 500 MG,,,,,
38327,LETISAN 500 MG,,,,,
38329,LEVAMOX 750 MG,,,,,
38355,LINEZID 2 MG / ML,Linezolid,4043,0.500,7347,
38356,LIOLACTIL X 20 SOBRES,,,,,
38358,LIPACOMB 40 MG - 10 MG,,,,,
38364,LISOMUCIN 4 MG / 5 ML,,,,,
38365,LISOMUCIN 8 MG / 5 ML,,,,,
38368,LODIPIN 10 MG,,,,,
38369,LODIPIN VL 10 MG - 160 MG,,,,,
38370,LOFLOX 400 MG,,,,,
38371,LOGANIL 250 MG / 5 ML,,,,,
38372,LOGANIL 100 MG / 5 ML,,,,,
38393,LORECORT 1 MG - 0.05 MG / 5 ML,,,,,
38413,LOWPRES 150 MCG / ML,,,,,
38430,MATERNAVIT,,,,,
38432,MAXIFUR 50 MG,,,,,
38437,MELIGEN 10 MG,,,,,
38491,MILAX 50 %,,,,,
38492,MIOVIT COMPOSITUM CON LIDOCAINA,,,,,
38493,MIOVIT COMPOSITUM CON LIDOCAINA,,,,,
38494,MIOVIT COMPOSITUM CON LIDOCAINA,,,,,
38495,MIOVIT X 10 COMPRIMIDOS,,,,,
38496,MIOVIT X 30 COMPRIMIDOS,,,,,
38507,MONTRAX 10 MG,,,,,
38508,MONTRAX 10 MG,,,,,
38509,MONTRAX 4 MG,,,,,
38510,MONTRAX 5 MG,,,,,
38511,MONTRAX 5 MG,,,,,
38515,MOXIDEX 0.5 -0.1 %,,,,,
38519,MUCLAR 30 MG - 5 MG,,,,,
38520,MUCOBROL 4 MG / 5 ML,,,,,
38523,MULTIDERM 2 % UNGUENTO,,,,,
38524,MULTIVIRAL X 30 CAPSULAS,,,,,
38526,MUVETT 300 MG,,,,,
38529,NACLODIN 0.150 MG,,,,,
38530,NAFINA 1 % CREMA,,,,,
38545,NEULEVAL 500 MG,,,,,
38546,NEULEVAL 750 MG,,,,,
38557,NIPE PLUS,,,,,
38560,NITAX 500 MG,,,,,
38576,NOTOLAC 20 MG,,,,,
