producto_id,orden,estado,propuesta,accion,metodo,score,ref_id,ref_nombre,atc_id
37305,1,ok,Diltiazem,enlazar,exacto,1,1111,Diltiazem,1906
37322,1,ok,Acetaminofén,enlazar,exacto,1,34,Acetaminofen,
37322,2,ok,Hioscina N-Butilbromuro,revisar,sin_match,0,,,
37323,1,ok,Acetaminofén,enlazar,exacto,1,34,Acetaminofen,
37323,2,ok,Hioscina N-Butilbromuro,revisar,sin_match,0,,,
37325,1,ok,Acetaminofén,enlazar,exacto,1,34,Acetaminofen,
37325,2,ok,Clorfeniramina,enlazar,exacto,1,847,Clorfeniramina,2282
37326,1,ok,Acetaminofén,enlazar,exacto,1,34,Acetaminofen,
37326,2,ok,Tramadol,enlazar,exacto,1,3473,Tramadol,5004
37337,1,ok,Factor de Coagulación VIII,revisar,sin_match,0,,,
37345,1,ok,Ácido Acetilsalicílico,enlazar,fuzzy,1,47,Acetilsalicilico Acido,4728
37346,1,ok,Ácido Acetilsalicílico,enlazar,fuzzy,1,47,Acetilsalicilico Acido,4728
37366,1,ok,Ácido Ibandrónico,enlazar,fuzzy,1,1807,Ibandronico Acido,4828
37374,1,ok,Agua Bidestilada,revisar,sin_match,0,,,
37375,1,ok,Agua Destilada,revisar,sin_match,0,,,
37378,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37395,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37396,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37420,1,ok,Amikacina,enlazar,exacto,1,194,Amikacina,2344
37429,1,ok,Amlodipino,enlazar,exacto,1,212,Amlodipino,1879
37433,1,ok,Amlodipino,enlazar,exacto,1,212,Amlodipino,1879
37438,1,ok,Amoxicilina,enlazar,exacto,1,221,Amoxicilina,3196
37439,1,ok,Amoxicilina,enlazar,exacto,1,221,Amoxicilina,3196
37439,2,ok,Ácido Clavulánico,enlazar,fuzzy,1,808,Clavulanico Acido,
37446,1,ok,Amoxicilina,enlazar,exacto,1,221,Amoxicilina,3196
37455,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37456,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37464,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37465,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37466,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
