producto_id,orden,estado,propuesta,accion,metodo,score,ref_id,ref_nombre,atc_id
37305,1,ok,Diltiazem,enlazar,exacto,1,1111,Diltiazem,1906
37322,1,ok,Acetaminofén,enlazar,exacto,1,34,Acetaminofen,
37323,1,ok,Acetaminofén,enlazar,exacto,1,34,Acetaminofen,
37325,1,ok,Acetaminofén,enlazar,exacto,1,34,Acetaminofen,
37325,2,ok,Clorfeniramina,enlazar,exacto,1,847,Clorfeniramina,2282
37326,1,ok,Acetaminofén,enlazar,exacto,1,34,Acetaminofen,
37326,2,ok,Tramadol,enlazar,exacto,1,3473,Tramadol,5004
37345,1,ok,Ácido Acetilsalicílico,enlazar,fuzzy,1,47,Acetilsalicilico Acido,4728
37346,1,ok,Ácido Acetilsalicílico,enlazar,fuzzy,1,47,Acetilsalicilico Acido,4728
37366,1,ok,Ácido Ibandrónico,enlazar,fuzzy,1,1807,Ibandronico Acido,4828
37420,1,ok,Amikacina,enlazar,exacto,1,194,Amikacina,2344
37429,1,ok,Amlodipino,enlazar,exacto,1,212,Amlodipino,1879
37433,1,ok,Amlodipino,enlazar,exacto,1,212,Amlodipino,1879
37438,1,ok,Amoxicilina,enlazar,exacto,1,221,Amoxicilina,3196
37439,1,ok,Amoxicilina,enlazar,exacto,1,221,Amoxicilina,3196
37439,2,ok,Ácido Clavulánico,enlazar,fuzzy,1,808,Clavulanico Acido,
37446,1,ok,Amoxicilina,enlazar,exacto,1,221,Amoxicilina,3196
37522,1,ok,Atorvastatina,enlazar,exacto,1,329,Atorvastatina,2018
37528,1,ok,Atropina Sulfato,enlazar,exacto,1,340,Atropina Sulfato,233
37547,1,ok,Azitromicina,enlazar,exacto,1,366,Azitromicina,3366
37589,1,ok,Bisoprolol Fumarato,enlazar,exacto,1,494,Bisoprolol Fumarato,1815
37595,1,ok,Bisoprolol Fumarato,enlazar,exacto,1,494,Bisoprolol Fumarato,1815
37655,1,ok,Candesartán Cilexetilo,enlazar,exacto,1,589,Candesartan Cilexetilo,1973
37655,2,ok,Hidroclorotiazida,enlazar,exacto,1,1739,Hidroclorotiazida,1555
37663,1,ok,Candesartán,enlazar,exacto,1,588,Candesartan,1973
37668,1,ok,Oxígeno,enlazar,exacto,1,4125,Oxigeno,6785
37704,1,ok,Cefadroxilo,enlazar,exacto,1,666,Cefadroxilo,3258
