producto_id,orden,estado,propuesta,accion,metodo,score,ref_id,ref_nombre,atc_id
37322,2,ok,Hioscina N-Butilbromuro,revisar,sin_match,0,,,
37323,2,ok,Hioscina N-Butilbromuro,revisar,sin_match,0,,,
37337,1,ok,Factor de Coagulación VIII,revisar,sin_match,0,,,
37374,1,ok,Agua Bidestilada,revisar,sin_match,0,,,
37375,1,ok,Agua Destilada,revisar,sin_match,0,,,
37378,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37395,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37396,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37455,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37456,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37464,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37465,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37466,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37470,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37471,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37474,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37476,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37477,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37482,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37483,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37490,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37491,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37497,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37498,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37504,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37505,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37510,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37526,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37527,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37529,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37534,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37537,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37538,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37539,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37557,1,ok,Bencidamina Clorhidrato,revisar,sin_match,0,,,
37561,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37563,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37564,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37565,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37566,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37567,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37570,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37575,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37576,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37577,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37578,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37579,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37580,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37581,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37582,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37583,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37584,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37609,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37615,1,ok,Bromexina Clorhidrato,revisar,sin_match,0,,,
37616,1,ok,Bromhexina Clorhidrato,revisar,sin_match,0,,,
37617,1,ok,Bromhexina Clorhidrato,revisar,sin_match,0,,,
37637,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37645,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37646,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37648,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37649,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37650,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37665,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37687,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37703,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37731,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37742,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37743,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37750,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37766,1,ok,Citrato de Calcio,revisar,sin_match,0,,,
37767,1,ok,Citrato de Calcio,revisar,sin_match,0,,,
37768,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37771,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37775,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37776,1,ok,Clenbuterol Clorhidrato,revisar,sin_match,0,,,
37785,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37787,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37794,1,ok,Clonidina Clorhidrato,revisar,sin_match,0,,,
37795,1,ok,Clonidina Clorhidrato,revisar,sin_match,0,,,
37810,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37811,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37812,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37825,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37832,2,ok,Pediococcus acidilactici,revisar,sin_match,0,,,
37834,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37835,1,ok,Complejo de Vitamina B,revisar,sin_match,0,,,
37838,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37841,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37842,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37843,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37844,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37845,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37846,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37860,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37865,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37866,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37869,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37876,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37878,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37880,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37883,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37885,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37886,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37908,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37914,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37915,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37918,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37934,1,ok,Diclofenaco Potásico,revisar,fuzzy,0.6,1073,Diclofenaco,2675
37940,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37941,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37942,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37943,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37944,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37945,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37947,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37948,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37959,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37961,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37962,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37963,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37968,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37969,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37970,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37971,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37988,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37989,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37990,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37991,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
37994,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38008,1,ok,Bacillus clausii,revisar,sin_match,0,,,
38012,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38027,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38053,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38058,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38062,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38063,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38065,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38066,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38075,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38076,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38077,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38078,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38082,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38083,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38091,1,ok,Finasteride,revisar,fuzzy,0.714,1455,Finasterida,2667
38092,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38093,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38094,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38100,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38105,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38109,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38110,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38132,1,ok,Fosfato de Potasio Monobásico,revisar,fuzzy,0.594,1536,Fosfato Potasico Dibasico,
38133,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38136,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38152,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38153,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38157,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38163,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38165,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38172,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38173,1,ok,Gluconato Ferroso,revisar,sin_match,0,,,
38178,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38180,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38182,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38183,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38189,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38198,1,ok,Butilbromuro de Hioscina,revisar,sin_match,0,,,
38200,1,ok,Polisulfato de Mucopolisacárido,revisar,sin_match,0,,,
38212,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38238,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38239,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38240,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38241,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38249,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38251,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38268,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38298,1,ok,Ketorolaco Trometamina,revisar,fuzzy,0.731,1957,Ketorolaco Trometamol,1161
38304,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38306,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38307,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38317,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38318,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38326,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38327,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38329,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38355,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38356,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38358,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38364,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38365,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38368,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38369,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38370,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38371,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38372,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38393,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38413,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
38430,1,sin_informacion,(No se encontró información),revisar,sin_match,0,,,
