tipo,molecula_propuesta,n_productos,productos_ids,ref_id,ref_nombre,base_sin_sal,decision,atc_id
nueva_de_verdad,Hioscina N-Butilbromuro,3,37322 37323 39449,,,,,
nueva_de_verdad,Factor de Coagulación VIII,1,37337,,,,,
nueva_de_verdad,Agua Bidestilada,1,37374,,,,,
nueva_de_verdad,Agua Destilada,1,37375,,,,,
existe_como_sal,Bencidamina Clorhidrato,1,37557,416,Bencidamina,bencidamina,,
nueva_de_verdad,Bromexina Clorhidrato,2,37615 39664,,,,,
existe_como_sal,Bromhexina Clorhidrato,2,37616 37617,530,Bromhexina,bromhexina,,
nueva_de_verdad,Citrato de Calcio,3,37766 37767 39684,,,,,
existe_como_sal,Clenbuterol Clorhidrato,1,37776,4235,Clenbuterol,clenbuterol,,
existe_como_sal,Clonidina Clorhidrato,2,37794 37795,829,Clonidina,clonidina,,
nueva_de_verdad,Pediococcus acidilactici,1,37832,,,,,
nueva_de_verdad,Complejo de Vitamina B,3,37835 39158 39694,,,,,
nueva_de_verdad,Bacillus clausii,1,38008,,,,,
nueva_de_verdad,Gluconato Ferroso,1,38173,,,,,
nueva_de_verdad,Butilbromuro de Hioscina,2,38198 39901,,,,,
nueva_de_verdad,Polisulfato de Mucopolisacárido,1,38200,,,,,
existe_como_sal,Metformina Clorhidrato,6,38457 38461 38462 38463 38464 38465,2280,Metformina,metformina,,
nueva_de_verdad,N-Butil Bromuro de Hioscina,1,38528,,,,,
nueva_de_verdad,Nitazoxanida,1,38561,,,,,
nueva_de_verdad,Lisado Bacteriano,2,38614 39811,,,,,
nueva_de_verdad,Piperazina,1,38667,,,,,
nueva_de_verdad,Aminoácidos Cristalinos,1,38675,,,,,
nueva_de_verdad,Solución de Ringer Lactato,1,38732,,,,,
existe_como_sal,Terbinafina Clorhidrato,1,38856,3348,Terbinafina,terbinafina,,
nueva_de_verdad,Clorhidrato de Morfina,1,39136,,,,,
existe_como_sal,Nafazolina Clorhidrato,1,39313,2399,Nafazolina,nafazolina,,
nueva_de_verdad,Solución Ringer Lactato,1,39356,,,,,
nueva_de_verdad,Fosfato de Sodio Monobásico,1,39551,,,,,
nueva_de_verdad,Diclofenac Potásico,1,39705,,,,,
existe_como_sal,Fexofenadina Clorhidrato,1,39723,1448,Fexofenadina,fexofenadina,,
existe_como_sal,Flavoxato Clorhidrato,1,39726,1461,Flavoxato,flavoxato,,
nueva_de_verdad,Magnesio Glicinato,1,39770,,,,,
nueva_de_verdad,"Complejo Vitamina B1, B2, B6, B12",1,39869,,,,,
