producto_id,nombre_comercial,estado,molecula_propuesta,n_moleculas
37378,AIRFEN 0.05 % SOLUCION NASAL,sin_informacion,(No se encontró información),1
37395,ALGIOL 5 MG,sin_informacion,(No se encontró información),1
37396,ALGOREN 10 MG,sin_informacion,(No se encontró información),1
37455,AMPLIDER 50 MG,sin_informacion,(No se encontró información),1
37456,ANALPER PLUS 500 MG,sin_informacion,(No se encontró información),1
37464,ANGRIP X 8 COMPRIMIDOS,sin_informacion,(No se encontró información),1
37465,ANGRIP X 4 COMPRIMIDOS,sin_informacion,(No se encontró información),1
37466,ANGRIP X 15 COMPRIMIDOS,sin_informacion,(No se encontró información),1
37470,ANTAAR 1.25 MG,sin_informacion,(No se encontró información),1
37471,ANTAAR 1.25 MG,sin_informacion,(No se encontró información),1
37474,ANTILAX PLUS 2 MG,sin_informacion,(No se encontró información),1
37476,APIRET 120 MG / 5 ML,sin_informacion,(No se encontró información),1
37477,APIRET 160 MG / 5 ML,sin_informacion,(No se encontró información),1
37482,APLACAL 750 MG,sin_informacion,(No se encontró información),1
37483,APLACAL 750 MG,sin_informacion,(No se encontró información),1
37490,ARESAN 20 MG,sin_informacion,(No se encontró información),1
37491,ARESAN 20 MG,sin_informacion,(No se encontró información),1
37497,ASAPROL 81 MG,sin_informacion,(No se encontró información),1
37498,ASAPROL 81 MG,sin_informacion,(No se encontró información),1
37504,ASPRINIL 81 MG,sin_informacion,(No se encontró información),1
37505,ASPRINIL 81 MG,sin_informacion,(No se encontró información),1
37510,ATAPEC 100 MG,sin_informacion,(No se encontró información),1
37526,ATRIMON 10 MG,sin_informacion,(No se encontró información),1
37527,ATROBEL 10 MG / ML,sin_informacion,(No se encontró información),1
37529,ATROVERAN 10 MG / ML,sin_informacion,(No se encontró información),1
37534,AVELOX 400 MG,sin_informacion,(No se encontró información),1
37537,AZACARD 81 MG,sin_informacion,(No se encontró información),1
37538,AZACARD 81 MG,sin_informacion,(No se encontró información),1
37539,AZACARD 81 MG,sin_informacion,(No se encontró información),1
37561,BENZODIAZOL 0.25 MG - 5 MG,sin_informacion,(No se encontró información),1
37563,BENZODIAZOL 0.25 MG - 5 MG,sin_informacion,(No se encontró información),1
37564,BENZODIAZOL 0.25 MG - 5 MG,sin_informacion,(No se encontró información),1
37565,BEPRODERM 0.05 % - 0.1 %,sin_informacion,(No se encontró información),1
37566,BETADINE 8 % SOLUCION TOPICO BUCAL,sin_informacion,(No se encontró información),1
37567,BETADUO 6.430 MG - 2.631 MG / ML,sin_informacion,(No se encontró información),1
37570,BETAGEN SOLSPEN X 1 AMPOLLA,sin_informacion,(No se encontró información),1
37575,BEXILON 4 MG / 5 ML,sin_informacion,(No se encontró información),1
37576,BILOL 2.5 MG,sin_informacion,(No se encontró información),1
37577,BIOCOR AMLO 20 MG - 5 MG,sin_informacion,(No se encontró información),1
37578,BIOCOR AMLO 40 MG - 5 MG,sin_informacion,(No se encontró información),1
37579,BIOCOR 40 MG,sin_informacion,(No se encontró información),1
37580,BIOTALOL 2.5 MG,sin_informacion,(No se encontró información),1
37581,BIOTALOL 2.5 MG,sin_informacion,(No se encontró información),1
37582,BIOTALOL 1.25 MG,sin_informacion,(No se encontró información),1
37583,BIOTALOL 10 MG,sin_informacion,(No se encontró información),1
37584,BIPRIN 300 MG,sin_informacion,(No se encontró información),1
37609,BROFLEMA 8 MG / 5 ML,sin_informacion,(No se encontró información),1
37637,CALCIBON 200 MG,sin_informacion,(No se encontró información),1
37645,CALOXPIRINA 81 MG,sin_informacion,(No se encontró información),1
37646,CALOXPIRINA 81 MG,sin_informacion,(No se encontró información),1
37648,CAMPAL 50 MG,sin_informacion,(No se encontró información),1
37649,CANDER HCT 16 MG - 12.5 MG,sin_informacion,(No se encontró información),1
37650,CANDER HCT 16 MG - 12.5 MG,sin_informacion,(No se encontró información),1
37665,CANFIR 500 MG,sin_informacion,(No se encontró información),1
37687,CARIBAN 10 MG-10 MG,sin_informacion,(No se encontró información),1
37703,CEBION 1 G,sin_informacion,(No se encontró información),1
37731,CETRAL D 5 MG - 60 MG / 5 ML,sin_informacion,(No se encontró información),1
37742,CIFARCAINA AL 2 %,sin_informacion,(No se encontró información),1
37743,CIFARCAINA AL 1 %,sin_informacion,(No se encontró información),1
37750,CIPROFLOX 500 MG,sin_informacion,(No se encontró información),1
37768,CALCITREX D3 1500 MG - 200 UI,sin_informacion,(No se encontró información),1
37771,CLARIX 0.25 MG / ML,sin_informacion,(No se encontró información),1
37775,CLENBUNAL 0.014 MG / ML,sin_informacion,(No se encontró información),1
37785,CLODOXIN 10 MG - 100 MG,sin_informacion,(No se encontró información),1
37787,CLOFEN 1.8 MG / ML,sin_informacion,(No se encontró información),1
