tipo,producto_id,nombre_comercial,molecula_propuesta,n_productos,productos_ids,decision,atc_id
nueva_molecula,,,Butilescopolamina Bromuro,3,37322 37323 39449,,
nueva_molecula,,,Factor Antihemofilico Viii,1,37337,,
nueva_molecula,,,Agua Para Preparaciones Inyectables,1,37374,,
nueva_molecula,,,Agua Para Preparaciones Inyectables,1,37375,,
nueva_molecula,,,Bencidamina,1,37557,,
nueva_molecula,,,Bromhexina,2,37615 39664,,
nueva_molecula,,,Bromhexina,2,37616 37617,,
nueva_molecula,,,Citrato de Calcio,3,37766 37767 39684,,
nueva_molecula,,,Clenbuterol,1,37776,,
nueva_molecula,,,Clonidina,2,37794 37795,,
nueva_molecula,,,Pediococcus acidilactici,1,37832,,(Este tengo que verlo por que no es una molecula es un microorganismo probiotico)
nueva_molecula,,,Vitamina B1 - Vitamina B3 - Vitamina B6,3,37835 39158 39694,, (son 3 moleculas por que es complejo)
nueva_molecula,,,Bacillus clausii,1,38008,, (no es molecula quimica)
nueva_molecula,,,Gluconato Hierro,1,38173,,
nueva_molecula,,,Butilescopolamina Bromuro,2,38198 39901,,
nueva_molecula,,,Heparinoide Sulfomucopolisacarido,1,38200,,
nueva_molecula,,,Metformina,6,38457 38461 38462 38463 38464 38465,,
nueva_molecula,,,Butilescopolamina Bromuro,1,38528,,
nueva_molecula,,,Nitazoxanida,1,38561,, (si existe la molecula pero no esta en CIMA debido a que no la han aprobado)
nueva_molecula,,,Lisado Bacteriano,2,38614 39811,, (esta complicada dejala para decir que si existe pero no esta en CIMA)
nueva_molecula,,,Piperazina,1,38667,,(si existe la molecula pero no esta en CIMA)
nueva_molecula,,,Aminoácidos Cristalinos,1,38675,, (no lo enlzes pero no lo crees necesito mas investigacion)
nueva_molecula,,,Sodio Cloruro - Lactato Sodio - Calcio Cloruro - Cloruro De Potasio,1,38732,, (4 moleculas que ya existen en vademecum)
nueva_molecula,,,Terbinafina,1,38856,,
nueva_molecula,,,Morfina,1,39136,,
nueva_molecula,,,Nafazolina,1,39313,,
nueva_molecula,,,Sodio Cloruro - Lactato Sodio - Calcio Cloruro - Cloruro De Potasio,1,39356,,
nueva_molecula,,,Fosfato Monosodio Dihidrato,1,39551,,
nueva_molecula,,,Diclofenaco,1,39705,,
nueva_molecula,,,Fexofenadina,1,39723,,
nueva_molecula,,,Flavoxato,1,39726,,
nueva_molecula,,,Magnesio Glicinato,1,39770,,(si existe pero no esta registrado en CIMA)
nueva_molecula,,,Vitamina B1 - Vitamina B2 - Vitamina B6 - Vitamina B12",1,39869,,
ID	Nombre Comercial	Principio Activo (Molécula)
37378	AIRFEN 0.05% SOLUCION NASAL	Oximetazolina
37456	ANALPER PLUS 500 MG	Acetaminofén + Hioscina (Butilescopolamina)
37464	ANGRIP X 8 COMPRIMIDOS	Acetaminofén + Cafeína + Clorfeniramina
37465	ANGRIP X 4 COMPRIMIDOS	Acetaminofén + Cafeína + Clorfeniramina
37466	ANGRIP X 15 COMPRIMIDOS	Acetaminofén + Cafeína + Clorfeniramina
37474	ANTILAX PLUS 2 MG	Loperamida + Simeticona
37482	APLACAL 750 MG	Carbonato de Calcio
37483	APLACAL 750 MG	Carbonato de Calcio
37490	ARESAN 20 MG	Rabeprazol Sódico
37491	ARESAN 20 MG	Rabeprazol Sódico
37497	ASAPROL 81 MG	Ácido Acetilsalicílico
37498	ASAPROL 81 MG	Ácido Acetilsalicílico
37504	ASPRINIL 81 MG	Ácido Acetilsalicílico
37505	ASPRINIL 81 MG	Ácido Acetilsalicílico
37510	ATAPEC 100 MG	Attapulgita + Pectina
37527	ATROBEL 10 MG / ML	Papaverina
37529	ATROVERAN 10 MG / ML	N-Butil-Bromuro de Hioscina
37537	AZACARD 81 MG	Ácido Acetilsalicílico
37538	AZACARD 81 MG	Ácido Acetilsalicílico
37539	AZACARD 81 MG	Ácido Acetilsalicílico
37561	BENZODIAZOL 0.25 MG - 5 MG	Dequalinio + Lidocaína
37563	BENZODIAZOL 0.25 MG - 5 MG	Dequalinio + Lidocaína
37564	BENZODIAZOL 0.25 MG - 5 MG	Dequalinio + Lidocaína
37565	BEPRODERM 0.05% - 0.1%	Betametasona + Gentamicina
37566	BETADINE 8% SOLUCION TOPICO BUCAL	Iodopovidona
37567	BETADUO 6.430 MG - 2.631 MG / ML	Betametasona
37570	BETAGEN SOLSPEN X 1 AMPOLLA	Betametasona
37575	BEXILON 4 MG / 5 ML	Bromhexina
37609	BROFLEMA 8 MG / 5 ML	Bromhexina
37649	CANDER HCT 16 MG - 12.5 MG	Candesartán + Hidroclorotiazida
37650	CANDER HCT 16 MG - 12.5 MG	Candesartán + Hidroclorotiazida
37687	CARIBAN 10 MG-10 MG	Clorfeniramina + Codeína
37703	CEBION 1 G	Vitamina C (Ácido Ascórbico)
37768	CALCITREX D3 1500 MG - 200 UI	Calcio + Vitamina D3
37785	CLODOXIN 10 MG - 100 MG	Clordiazepóxido + Amitriptilina
37810	CLORACE 125 - 0.5 MG / 5 ML	Clorfeniramina + Betametasona
37811	CLORACE 500 MG - 4 MG	Clorfeniramina + Betametasona
37812	CLORACE 500 MG - 4 MG	Clorfeniramina + Betametasona
37865	DECA LENTERMINA COMPLEX	Complejo B + Dexametasona
37866	DECALONA 4 MG / ML	Dexametasona
37883	DERMAZOL 0.05% LOCION CAPILAR	Clobetasol
37885	DERMOVATE 0.05% CREMA	Clobetasol Propionato
37886	DEROVIT 1000 UI	Vitamina D (Colecalciferol)
37908	PREVERAL CON DEXTROMETORFANO	Dextrometorfano + Guaifenesina
37914	DIAFORMINA 1000 MG	Metformina
37915	DIAFORMINA 500 MG	Metformina
37940	DIFENAC 1% GEL	Diclofenaco
37941	DIGLET 1000 U.I.	Vitamina D3 (Colecalciferol)
37942	DIGLET 5000 U.I.	Vitamina D3 (Colecalciferol)
37943	DIGLET 200 UI	Vitamina D3 (Colecalciferol)
37944	DIKLASON 100 MG	Diclofenaco
37945	DIKLASON BI 150 MG	Diclofenaco
37947	DILOTEX 5 MG	Amlodipino
37948	DILOTEX 10 MG	Amlodipino
37994	DUVADILAN 10 MG	Isoxsuprina
38012	ERILON 1 MG / ML LOCION	Permetrina
38027	ESMIRTAL 20 MG	Esomeprazol
38053	EUKENE 40 MG	Olmesartán Medoxomilo
38058	EUTEBROL 20 MG	Citalopram
38062	EZOLIUM 20 MG	Esomeprazol
38063	EZOLIUM 40 MG	Esomeprazol
38065	FARBICIL 1% CREMA	Terbinafina
38066	FEBRATIC 15 MG / ML	Paracetamol
38075	FERGANIC 40 MG	Hierro (como Sulfato Ferroso)
38076	FERGANIC 40 MG	Hierro (como Sulfato Ferroso)
38077	FERGANIC 40 MG	Hierro (como Sulfato Ferroso)
38078	FERGANIC 20 MG / ML	Hierro (como Sulfato Ferroso)
38082	FERGANIC 40 MG / 15 ML	Hierro (como Sulfato Ferroso)
