id,nombre,sinonimos,atc_id,descripcion
3803,[177lu]-dota0-tyr3-octreotato,,,
3369,"[tetrakis (2-metoxi-2-metilpropil-1-isocianuro) Cobre (i)], Tetrafluoroborato De",,,
3800,"1,2-diaminoetano",,,
3802,"13-cis-retinoico, Acido",,,
3804,18-beta-glicirrinetico Acido,,,
3806,2-cda,,,
3807,2-pirrolidonacetamida,,,
3808,2-sulfanilaminopirimidina,,,
3809,"2,5-diaminotolueno",,,
3811,"2,6-diamino-3-fenilazopiridina",,,
4232,256u87,,,
3813,"3,4 Diaminopiridina",,,
3812,3(carboximetil Tio) Alanina,,,
4015,3tc,,,
3814,4 Aminopiridina,,,
3815,4-epiadriamicina,,,
3817,5-asa,,,
3818,6-alfa Etilquenodesoxicolico Acido,,,
374,A-84538,,,
8,Abedul Extracto Seco Corteza (5-10 : 1): Solvente De Extraccion: N-heptano 95% (p/p),,,
31,Acelerador Serico De Conversion De Protombina,,,
33,Acetamidocaproico Acido,,,
34,Acetaminofen,,,
36,Acetato Magnesio Tetrahidrato,,,
37,Acetato Potasio,,,
38,Acetato Sodio,,,
39,Acetato Sodio Trihidrato,,,
41,Acetico Acido,,,
45,Acetileno,,,
48,Acetiltirosina,,,
53,Achillea Millefolium,,,
54,Acibar,,,
55,Acicloguanosina,,,
58,Acido Dimercaptosuccinico,,,
63,Acido Oxoglurico,,,
64,Acido Parahidroxibenzoico,,,
67,Acidos Omega 3,,,
68,Acidos Omega 3 Esteres Etilicos,,,
71,Aclidinio Bromuro,,,
74,Actaea Racemosa,,,
79,Adenosilcobalamina,,,
80,Adenosilcobamida,,,
83,Adeps Lanae,,,
84,Adrenalina,,,
85,Adriamicina,,,
87,Aesculus Hippocastanum,,,
88,Aesculus Hippocastanum Tintura Madre,,,
95,Aglutinogeno De Fimbrias De Toxoide Pertussis,,,
96,Agni Casti Fruto Extracto Seco,,,
97,Agnus Castus Exto Seco,,,
101,Agropyrum Repens,,,
102,Agropyrum Repens Exto Seco,,,
103,Agua Oxigenada,,,
105,Aire Ambiental,,,
106,Alanina,,,
107,Alantoina,,,
112,Alcachofa,,,
114,Alcaravea,,,
116,Alcohol Etilico,,,
117,Alcohol Pantotenilico,,,
118,Alcohol Tricloro Butilico Terciario,,,
123,Alendronato Sodio,,,
124,Alendronato Sodio Monohidrato,,,
125,Alendronato Sodio Trihidrato,,,
