molecula,n_productos,productos
Nitazoxanida,5,38560 NITAX 500 MG | 38580 NYTAXIN 500 MG | 39000 ZONTRICON 100 MG / 5 ML | 38580 NYTAXIN 500 MG X 6 CAPSULAS BLANDAS | 39000 ZONTRICON 100 MG / 5 ML POLVO PARA SUSPENSION
Lactasa,4,38306 LACTBET 3000 U | 38307 LACTBET 3000 U | 38306 LACTBET 3000 U X 10 CAPSULAS | 38307 LACTBET 3000 U X 20 CAPSULAS
Multivitamínico,3,38430 MATERNAVIT | 38524 MULTIVIRAL X 30 CAPSULAS | 39771 MATERNAVIT
Minerales,3,38430 MATERNAVIT | 39771 MATERNAVIT | 38524 MULTIVIRAL X 30 CAPSULAS
Subsalicilato de Bismuto,3,38652 PEPTO-BISMOL 525 MG / 30 ML | 39563 PEPSADEL 262 MG | 38652 PEPTO-BISMOL 525 MG / 30 ML SUSPENSION ORAL
Complejo B,2,38495 MIOVIT X 10 COMPRIMIDOS | 38496 MIOVIT X 30 COMPRIMIDOS
Sales de Rehidratación Oral,2,39352 REHIDROSOL 45 MEQ / L | 39354 REHIDROSOL 60 MEQ / L
Papaverina,1,37527 ATROBEL 10 MG / ML
Isoxsuprina,1,37994 DUVADILAN 10 MG
Alcohol Polivinílico,1,39421 ALILUB 1.4%
Clemastina,1,39697 PORTU 4 MG
multivitaminas,1,38524 MULTIVIRAL X 30 CAPSULAS
extracto acuoso de Triticum vulgare,1,38183 GYNODERAIN 0.6 G
fenoxietanol,1,38183 GYNODERAIN 0.6 G
