producto_id,nombre,sku,molecula_texto_actual,laboratorio,grupo,molecula_propuesta,nota_del_dueno
"37337","MONARC- M 250 U. 1 X 1 AMPOLLA","HO1046","","CORPORACION COLIMODIO C.A.","B_MARCA_AMBIGUA","MONARC-M 250 UI/ampolla",""
"37374","AGUA BIDESTILADA INYECTABLE","HO32804","","LABORATORIO COFASA S.A.","A_SIN_ENLazar_DECISION","",""
"37375","AGUA DESTILADA ESTERIL SOLUCION INYECTABLE","HO1694","","LABORATORIOS VALMOR C.A.","A_SIN_ENLazar_DECISION","",""
"37395","ALGIOL 5 MG X 30 COMPRIMIDOS RECUBIERTOS","ME42912","","ESPECIALIDADES DOLLDER C.A.","B_MARCA_AMBIGUA","ALGIOL 5 mg",""
"37476","APIRET 120 MG / 5 ML SOLUCION ORAL","ME42864","","LABORATORIOS L.O. OFTALMI C.A.","B_MARCA_AMBIGUA","APIRET 120 mg/5 mL",""
"37477","APIRET 160 MG / 5 ML SOLUCION ORAL","ME42860","","LABORATORIOS L.O. OFTALMI C.A.","B_MARCA_AMBIGUA","APIRET 160 mg/5 mL",""
"37527","ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO","ME40958","","C.A. PRODUCTOS RONAVA","C_CANDIDATA_NUEVA","Papaverina",""
"37742","CIFARCAINA AL 2 % X 2 AMPOLLAS","HO9190","","LABORATORIO BEHRENS C.A.","B_MARCA_AMBIGUA","CIFARCAINA AL 2 %",""
"37743","CIFARCAINA AL 1 % SOLUCION INYECTABLE","HO9189","","LABORATORIO BEHRENS C.A.","B_MARCA_AMBIGUA","CIFARCAINA AL 1 %",""
"37766","CITRATO DE CALCIO 1190 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA","ME36822/3","","CALOX INTERNATIONAL C.A.","C_CANDIDATA_NUEVA","Citrato de calcio",""
"37767","CITRATO DE CALCIO 1190 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA","ME36822/2","","CALOX INTERNATIONAL C.A.","C_CANDIDATA_NUEVA","Citrato de calcio",""
"37835","COMPLEJO DE VITAMINA B X 3 AMPOLLAS","HO1587","","PRODUCTOS LISTER FENIX C.A.","C_CANDIDATA_NUEVA","Complejo de vitamina B",""
"37994","DUVADILAN 10 MG X 30 COMPRIMIDOS","ME11176","","LABORATORIOS VARGAS S.A.","C_CANDIDATA_NUEVA","Isoxsuprina",""
"38008","ENTEROGERMINA (ESPORAS DE BACILLUS CLAUSII) 2 MILLARDOS / 5 ML X 10 SUSPENSION ORAL","ME1103","","CALOX INTERNATIONAL C.A.","C_CANDIDATA_NUEVA","Bacillus clausii (esporas)",""
"38092","NIAZOL 1 MG / ML X 10 SOLUCION NASAL","ME784","","BIOTECH LABORATORIOS C.A.","B_MARCA_AMBIGUA","NIAZOL 1 mg/mL nasal",""
"38183","GYNODERAIN 0.6 G X 6 OVULOS","ME25838","","FARMACEUTICI DAMOR S.P.A","C_CANDIDATA_NUEVA","fenoxietanol",""
"38200","HIRUDOID (POLISULFATO DE MUCOPOLISACARIDO) 25.000 UI / 100 G GEL","ME1384","","CIFARMA S.A.C","C_CANDIDATA_NUEVA","Polisulfato de mucopolisacarido",""
"38306","LACTBET 3000 U X 10 CAPSULAS","ME36925/2","","BIOTECH LABORATORIOS C.A.","C_CANDIDATA_NUEVA","lactasa",""
"38307","LACTBET 3000 U X 20 CAPSULAS","ME36925/3","","BIOTECH LABORATORIOS C.A.","C_CANDIDATA_NUEVA","lactasa",""
