producto_id,nombre,molecula_usada,ventana,ref_id,ref_nombre,atc_id,metodo,resultado
37557,BENCIDAMINA CLORHIDRATO 0.15 % SOLUCION TOPICA BUCAL,bencidamina clorhidrato,2 tok desde 0,416,Bencidamina,62,sin_sal,INSERTADO
37766,CITRATO DE CALCIO 1190 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA,citrato calcio,2 tok desde 0,571,Calcio,93,sin_sal,REVERTIDO_ENLACE_EQUIVOCADO
37767,CITRATO DE CALCIO 1190 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA,citrato calcio,2 tok desde 0,571,Calcio,93,sin_sal,REVERTIDO_ENLACE_EQUIVOCADO
37794,CLONIDINA CLORHIDRATO 0.150 MG / ML X 2 AMPOLLAS,clonidina clorhidrato,2 tok desde 0,829,Clonidina,6460,sin_sal,INSERTADO
37795,CLONIDINA CLORHIDRATO 0.150 MG / ML X 30 AMPOLLAS,clonidina clorhidrato,2 tok desde 0,829,Clonidina,6460,sin_sal,INSERTADO
37934,DICLOFENACO POTASICO 50 MG X 20 TABLETAS CON RECUBRIMIENTO ENTERICO,diclofenaco potasico,2 tok desde 0,1073,Diclofenaco,2675,sin_sal,INSERTADO
38132,FOSFATO DE POTASIO MONOBASICO 1 MEQ / ML SOLUCION INYECTABLE I.V.,fosfato potasio monobasico,3 tok desde 0,2845,Potasio,1564,sin_sal,REVERTIDO_ENLACE_EQUIVOCADO
38198,BUTILBROMURO DE HIOSCINA 20 MG / ML SOLUCION INYECTABLE,hioscina,1 tok desde 1,1787,Hioscina,,exacto,REVERTIDO_ENLACE_EQUIVOCADO
38298,KETOROLACO TROMETAMINA 30 MG / ML X 3 AMPOLLAS,ketorolaco trometamina,2 tok desde 0,1956,Ketorolaco,4590,sin_sal,INSERTADO
38464,METFORMINA CLORHIDRATO 1000 MG X 30 TABLETAS RECUBIERTAS,metformina clorhidrato,2 tok desde 0,2280,Metformina,598,sin_sal,INSERTADO
38479,METRONIDAZOL BENZOIL 125 MG / 5 ML SUSPENSION ORAL,metronidazol,1 tok desde 0,2320,Metronidazol,2719,exacto,INSERTADO
38528,N-BUTIL BROMURO DE HIOSCINA 20 MG / ML X 5 AMPOLLAS,bromuro hioscina,2 tok desde 2,1787,Hioscina,,sin_sal,REVERTIDO_ENLACE_EQUIVOCADO
38809,SULFADIAZINA DE PLATA 1 % CREMA,sulfadiazina,1 tok desde 0,3245,Sulfadiazina,3334,exacto,INSERTADO
38856,TERBINAFINA CLORHIDRATO 1 % CREMA TOPICA,terbinafina clorhidrato,2 tok desde 0,3348,Terbinafina,2184,sin_sal,INSERTADO
39136,CLORHIDRATO DE MORFINA 10 MG / ML X 10 AMPOLLAS,clorhidrato morfina,2 tok desde 0,2377,Morfina,4950,sin_sal,INSERTADO
39238,GLUCONATO DE CALCIO AL 10 % SOLUCION INYECTABLE,calcio,1 tok desde 1,571,Calcio,93,exacto,REVERTIDO_ENLACE_EQUIVOCADO
39313,NAFAZOLINA CLORHIDRATO 0.12 MG / ML SOLUCION OFTALMICA,nafazolina clorhidrato,2 tok desde 0,2399,Nafazolina,5853,sin_sal,INSERTADO
39352,REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA,frambuesa,1 tok desde 4,1550,Frambuesa,,exacto,REVERTIDO_ENLACE_EQUIVOCADO
39354,REHIDROSOL 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,manzana,1 tok desde 4,2189,Manzana,,exacto,REVERTIDO_ENLACE_EQUIVOCADO
39449,HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS,hioscina,1 tok desde 0,1787,Hioscina,,exacto,REVERTIDO_ENLACE_EQUIVOCADO
39551,FOSFATO DE SODIO MONOBASICO 16 % - FOSFATO DE SODIO DIBASICO 6 %,fosfato sodio monobasico fosfato,4 tok desde 0,4062,Sodio,23,sin_sal,REVERTIDO_ENLACE_EQUIVOCADO
39770,MAGNESIO GLICINATO X 60 TABLETAS,magnesio,1 tok desde 0,2157,Magnesio,102,exacto,REVERTIDO_ENLACE_EQUIVOCADO
39869,BITEX COMPLEJO VITAMINA B1 B2 B6 B12 NATURALIFES X 30 TABLETAS,vitamina b1,2 tok desde 2,3725,Vitamina B1,714,exacto,REVERTIDO_ENLACE_EQUIVOCADO
39901,HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS,hioscina,1 tok desde 1,1787,Hioscina,,exacto,REVERTIDO_ENLACE_EQUIVOCADO
