producto_id,nombre,molecula,ref_id,atc_id,resultado
"37615","BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE","Bromhexina","530","6110","INSERTADO"
"38091","FINASTERIDE 5 MG X 30 TABLETAS RECUBIERTAS","Finasterida","1455","2667","INSERTADO"
"38173","GLUCONATO FERROSO (50 MG / 15 ML DE HIERRO ELEMENTAL) SOLUCION ORAL","Gluconato Hierro","1658","","INSERTADO"
"38556","NIMODIPINA 30 MG X 30 COMPRIMIDOS","Nimodipino","4046","1884","INSERTADO"
"38663","PINAVERIUM BROMURO 100 MG X 20 TABLETAS RECUBIERTAS","Pinaverio Bromuro","2773","218","INSERTADO"
"38664","PINAVERIUM BROMURO 100 MG X 30 TABLETAS RECUBIERTAS","Pinaverio Bromuro","2773","218","INSERTADO"
"39238","GLUCONATO DE CALCIO AL 10 % SOLUCION INYECTABLE","Gluconato Calcio Monohidrato","1657","","INSERTADO"
"39449","HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS","Butilescopolamina Bromuro","553","237","INSERTADO"
"39664","BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE","Bromhexina","530","6110","INSERTADO"
"39690","CLORURO SODICO 0.9 % INYECTABLE","Sodio Cloruro","3995","7330","INSERTADO"
"39705","DICLOFENAC POTASICO 50 MG X 20 TABLETAS","Diclofenaco","1073","2675","INSERTADO"
"39880","DICLOFENAC DIETILAMINO 1.16 % GEL","Diclofenaco Dietilamina","1074","2675","INSERTADO"
"39901","HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS","Butilescopolamina Bromuro","553","237","INSERTADO"
