producto_id,nombre,molecula,ref_id,ref_nombre,metodo,atc_id,resultado
37378,AIRFEN 0.05% SOLUCION NASAL,Oximetazolina,2622,Oximetazolina,exacto,5850,INSERTADO
37456,ANALPER PLUS 500 MG,Acetaminofén,34,Acetaminofen,exacto,,INSERTADO
37456,ANALPER PLUS 500 MG,Hioscina (Butilescopolamina),553,Butilescopolamina Bromuro,alias_cima,237,INSERTADO
37464,ANGRIP X 8 COMPRIMIDOS,Acetaminofén,34,Acetaminofen,exacto,,INSERTADO
37464,ANGRIP X 8 COMPRIMIDOS,Cafeína,564,Cafeina,exacto,5546,INSERTADO
37464,ANGRIP X 8 COMPRIMIDOS,Clorfeniramina,847,Clorfeniramina,exacto,2282,INSERTADO
37465,ANGRIP X 4 COMPRIMIDOS,Acetaminofén,34,Acetaminofen,exacto,,INSERTADO
37465,ANGRIP X 4 COMPRIMIDOS,Cafeína,564,Cafeina,exacto,5546,INSERTADO
37465,ANGRIP X 4 COMPRIMIDOS,Clorfeniramina,847,Clorfeniramina,exacto,2282,INSERTADO
37466,ANGRIP X 15 COMPRIMIDOS,Acetaminofén,34,Acetaminofen,exacto,,INSERTADO
37466,ANGRIP X 15 COMPRIMIDOS,Cafeína,564,Cafeina,exacto,5546,INSERTADO
37466,ANGRIP X 15 COMPRIMIDOS,Clorfeniramina,847,Clorfeniramina,exacto,2282,INSERTADO
37474,ANTILAX PLUS 2 MG,Loperamida,2121,Loperamida,exacto,482,INSERTADO
37474,ANTILAX PLUS 2 MG,Simeticona,3179,Simeticona,exacto,,INSERTADO
37482,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,INSERTADO
37483,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,INSERTADO
37490,ARESAN 20 MG,Rabeprazol Sódico,2958,Rabeprazol Sodico,exacto,133,INSERTADO
