producto_id,nombre,molecula,ref_id,ref_nombre,metodo,atc_id,conflictua_con_otra_lista
37378,AIRFEN 0.05% SOLUCION NASAL,Oximetazolina,2622,Oximetazolina,exacto,5850,no
37456,ANALPER PLUS 500 MG,Acetaminofén,34,Acetaminofen,exacto,,no
37456,ANALPER PLUS 500 MG,Hioscina (Butilescopolamina),553,Butilescopolamina Bromuro,alias_cima,237,no
37464,ANGRIP X 8 COMPRIMIDOS,Acetaminofén,34,Acetaminofen,exacto,,no
37464,ANGRIP X 8 COMPRIMIDOS,Cafeína,564,Cafeina,exacto,5546,no
37464,ANGRIP X 8 COMPRIMIDOS,Clorfeniramina,847,Clorfeniramina,exacto,2282,no
37465,ANGRIP X 4 COMPRIMIDOS,Acetaminofén,34,Acetaminofen,exacto,,no
37465,ANGRIP X 4 COMPRIMIDOS,Cafeína,564,Cafeina,exacto,5546,no
37465,ANGRIP X 4 COMPRIMIDOS,Clorfeniramina,847,Clorfeniramina,exacto,2282,no
37466,ANGRIP X 15 COMPRIMIDOS,Acetaminofén,34,Acetaminofen,exacto,,no
37466,ANGRIP X 15 COMPRIMIDOS,Cafeína,564,Cafeina,exacto,5546,no
37466,ANGRIP X 15 COMPRIMIDOS,Clorfeniramina,847,Clorfeniramina,exacto,2282,no
37474,ANTILAX PLUS 2 MG,Loperamida,2121,Loperamida,exacto,482,no
37474,ANTILAX PLUS 2 MG,Simeticona,3179,Simeticona,exacto,,no
37482,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,no
37483,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,no
37490,ARESAN 20 MG,Rabeprazol Sódico,2958,Rabeprazol Sodico,exacto,133,no
37491,ARESAN 20 MG,Rabeprazol Sódico,2958,Rabeprazol Sodico,exacto,133,no
37497,ASAPROL 81 MG,Ácido Acetilsalicílico,47,Acetilsalicilico Acido,alias_cima,4728,no
37498,ASAPROL 81 MG,Ácido Acetilsalicílico,47,Acetilsalicilico Acido,alias_cima,4728,no
37504,ASPRINIL 81 MG,Ácido Acetilsalicílico,47,Acetilsalicilico Acido,alias_cima,4728,no
37505,ASPRINIL 81 MG,Ácido Acetilsalicílico,47,Acetilsalicilico Acido,alias_cima,4728,no
37529,ATROVERAN 10 MG / ML,N-Butil-Bromuro de Hioscina,553,Butilescopolamina Bromuro,alias_cima,237,no
37537,AZACARD 81 MG,Ácido Acetilsalicílico,47,Acetilsalicilico Acido,alias_cima,4728,no
37538,AZACARD 81 MG,Ácido Acetilsalicílico,47,Acetilsalicilico Acido,alias_cima,4728,no
37539,AZACARD 81 MG,Ácido Acetilsalicílico,47,Acetilsalicilico Acido,alias_cima,4728,no
37561,BENZODIAZOL 0.25 MG - 5 MG,Dequalinio,1020,Dequalinio,exacto,,no
37561,BENZODIAZOL 0.25 MG - 5 MG,Lidocaína,2081,Lidocaina,exacto,1297,no
37563,BENZODIAZOL 0.25 MG - 5 MG,Dequalinio,1020,Dequalinio,exacto,,no
37563,BENZODIAZOL 0.25 MG - 5 MG,Lidocaína,2081,Lidocaina,exacto,1297,no
37564,BENZODIAZOL 0.25 MG - 5 MG,Dequalinio,1020,Dequalinio,exacto,,no
37564,BENZODIAZOL 0.25 MG - 5 MG,Lidocaína,2081,Lidocaina,exacto,1297,no
37565,BEPRODERM 0.05% - 0.1%,Betametasona,458,Betametasona,exacto,6450,no
37565,BEPRODERM 0.05% - 0.1%,Gentamicina,1614,Gentamicina,exacto,6641,no
37566,BETADINE 8% SOLUCION TOPICO BUCAL,Iodopovidona,2857,Povidona Iodada,alias_cima,2638,no
37567,BETADUO 6.430 MG - 2.631 MG / ML,Betametasona,458,Betametasona,exacto,6450,no
