producto_id,nombre,principio_activo
37510,ATAPEC 100 MG,quetiapina
38109,FLODONT 0.15%,bencidamina
38110,FLOMED 0.15% - 0.25%,bencidamina + cloruro de cetilpiridinio
38133,FOSFOLIT 21.6 G - 8.1 G / 45 ML,fosfato de sodio monobásico + fosfato de sodio dibásico
38183,GYNODERAIN 0.6 G,extracto acuoso de Triticum vulgare + fenoxietanol
38189,HEXANTFLEM 250 MG / 5 ML,carboximetilcisteína
38240,ILANA 600 MG,isoconazol
38317,LENTOCILIN 6.3.3,penicilina G benzatínica + penicilina G potásica + penicilina G procaínica
38318,LEPRIT 25 MG,levosulpirida
38356,LIOLACTIL X 20 SOBRES,Lactobacillus casei variedad rhamnosus
38358,LIPACOMB 40 MG - 10 MG,ezetimiba + simvastatina
38369,LODIPIN VL 10 MG - 160 MG,amlodipino + valsartán
38437,MELIGEN 10 MG,memantina
38491,MILAX 50%,polietilenglicol 3350
38492,MIOVIT COMPOSITUM CON LIDOCAINA,tiamina + piridoxina + cianocobalamina + lidocaína
38493,MIOVIT COMPOSITUM CON LIDOCAINA,tiamina + piridoxina + cianocobalamina + lidocaína
38494,MIOVIT COMPOSITUM CON LIDOCAINA,tiamina + piridoxina + cianocobalamina + lidocaína
38515,MOXIDEX 0.5 -0.1%,moxifloxacino + dexametasona
38524,MULTIVIRAL X 30 CAPSULAS,multivitaminas + minerales
38557,NIPE PLUS,acetaminofén + clorfeniramina + pseudoefedrina
38584,OFAFLAN 2 MG / ML,diclofenaco potásico
38585,OFTERRA UNGUENTO OFTALMICO,oxitetraciclina + polimixina B
38628,OTANOL 50 MG / ML,etanol
38642,PASIM 10 MG / ML,butilbromuro de hioscina
38643,PASOLAX,senósidos
38653,PEREBRON 28 MG / 5 ML,oxolamina
38654,PEREBRON 28 MG / 5 ML,oxolamina
38655,PERIDONT 0.12%,clorhexidina
38657,PERTEN 1%,terbinafina
38659,PERTEN 1%,terbinafina
38662,PIMADOL 10 MG,butilbromuro de hioscina
38674,OTODON 2% - 5%,fenazona + lidocaína
38677,POTAX 10 MEQ,citrato de potasio
38701,PREVERAL CON CODEINA,prometazina + codeína
38705,PROVICAR 2 G / 10 ML,levocarnitina
38716,OTIRILIN 4% - 1%,fenazona + lidocaína
38731,RINARIS 2.5 MG - 30 MG / 5 ML,fenilefrina + clorfeniramina
38735,RINOMAX 0.25% - 0.125% - 0.25%,fenilefrina + clorfeniramina + benzocaína
38764,SARIFAN COMPOSITUM,metamizol sódico + butilbromuro de hioscina
38794,SILDEX 100 MG,sildenafilo
38795,SILDEX 100 MG,sildenafilo
38812,SULIXTRA DUO 0.4 MG - 0.5 MG,tamsulosina + dutasterida
38813,SULIXTRA DUO 0.4 MG - 0.5 MG,tamsulosina + dutasterida
38838,TAMOA 250 MG / 5 ML,pirantel
38845,TANTUN 0.1%,bencidamina
38860,TIDOR 2% - 0.5%,dorzolamida + timolol
38880,TONERVOL 5 MG,nebivolol
38884,TRACEVAL 500 MG - 50 MG,acetaminofén + tramadol
38885,TRACEVAL 325 MG - 37.5 MG,acetaminofén + tramadol
38896,FLUTIXAIR 250 MCG -25 MCG,fluticasona propionato + salmeterol
38908,ULTAMYN 750 MG,levofloxacino
38938,VASSLUTEN HCT 300 MG - 12.5 MG,irbesartán + hidroclorotiazida
38939,VASSLUTEN HCT 150 MG - 12.5 MG,irbesartán + hidroclorotiazida
38971,VITADYN C 500 MG,ácido ascórbico
38972,VITADYN C 500 MG,ácido ascórbico
38975,VITENOL CREMA,vitamina A
38976,VIZERUL 75 MG,ranitidina
38977,VIZERUL 75 MG,ranitidina
38978,VIZERUL 150 MG / 10 ML,ranitidina
38979,VOLCOFEN 75 MG / 3 ML,diclofenaco sódico
38991,ZILDON 10 MG,donepezilo
39002,ZOST 50 MG,sildenafilo
39003,ZOST 50 MG,sildenafilo
39004,ZOST 50 MG,sildenafilo
39649,ATAPEC 100 MG,quetiapina
