producto_id,nombre,molecula,metodo,nota
37510,ATAPEC 100 MG,Attapulgita,no_aprobada_espana,
37510,ATAPEC 100 MG,Pectina,no_aprobada_espana,
37527,ATROBEL 10 MG / ML,Papaverina,no_aprobada_espana,
37865,DECA LENTERMINA COMPLEX,Complejo B,no_aprobada_espana,
37994,DUVADILAN 10 MG,Isoxsuprina,no_aprobada_espana,
38092,NIAZOL 1 MG / ML,Miconazol,no_aprobada_espana,
38105,FLEMIBAR 20 MG - 2500 MG / 5 ML,Cloruro de Amonio,no_aprobada_espana,
38306,LACTBET 3000 U,Lactasa,no_aprobada_espana,
38307,LACTBET 3000 U,Lactasa,no_aprobada_espana,
38317,LENTOCILIN 6.3.3,Penicilina G Procaínica,sin_match_vademecum,
38430,MATERNAVIT,Multivitamínico,no_aprobada_espana,
38430,MATERNAVIT,Minerales,no_aprobada_espana,
38492,MIOVIT COMPOSITUM CON LIDOCAINA,Complejo B,no_aprobada_espana,
38493,MIOVIT COMPOSITUM CON LIDOCAINA,Complejo B,no_aprobada_espana,
38494,MIOVIT COMPOSITUM CON LIDOCAINA,Complejo B,no_aprobada_espana,
38495,MIOVIT X 10 COMPRIMIDOS,Complejo B,no_aprobada_espana,
38496,MIOVIT X 30 COMPRIMIDOS,Complejo B,no_aprobada_espana,
38524,MULTIVIRAL X 30 CAPSULAS,Multivitamínico,no_aprobada_espana,
38560,NITAX 500 MG,Nitazoxanida,no_aprobada_espana,
38580,NYTAXIN 500 MG,Nitazoxanida,no_aprobada_espana,
38652,PEPTO-BISMOL 525 MG / 30 ML,Subsalicilato de Bismuto,no_aprobada_espana,
39000,ZONTRICON 100 MG / 5 ML,Nitazoxanida,no_aprobada_espana,
39273,KLINCOSAL 262 MG - 100 MG,Subsalicilato de Bismuto,no_aprobada_espana,
39274,KLINCOSAL 262 MG - 500 MG / 15 ML,Subsalicilato de Bismuto,no_aprobada_espana,
39275,KLINCOSAL 262 MG - 500 MG / 15 ML,Subsalicilato de Bismuto,no_aprobada_espana,
39352,REHIDROSOL 45 MEQ / L,Sales de Rehidratación Oral,no_aprobada_espana,
39354,REHIDROSOL 60 MEQ / L,Sales de Rehidratación Oral,no_aprobada_espana,
39421,ALILUB 1.4%,Alcohol Polivinílico,no_aprobada_espana,
39563,PEPSADEL 262 MG,Subsalicilato de Bismuto,no_aprobada_espana,
39649,ATAPEC 100 MG,Attapulgita,no_aprobada_espana,
39649,ATAPEC 100 MG,Pectina,no_aprobada_espana,
39697,PORTU 4 MG,Clemastina,no_aprobada_espana,
39771,MATERNAVIT,Multivitamínico,no_aprobada_espana,
39771,MATERNAVIT,Minerales,no_aprobada_espana,
38306,LACTBET 3000 U X 10 CAPSULAS,lactasa,no_aprobada_espana,
38307,LACTBET 3000 U X 20 CAPSULAS,lactasa,no_aprobada_espana,
38317,LENTOCILIN 6.3.3 X 1 AMPOLLA,bencilpenicilina procaínica,sin_match_vademecum,
38356,LIOLACTIL X 20 SOBRES,Lactobacillus LB inactivado y medio de cultivo fermentado,no_aprobada_espana,
,MIOVIT X 10 COMPRIMIDOS y X 30 COMPRIMIDOS,tiamina + piridoxina + cianocobalamina,sin_match_vademecum,NOMBRE DE PRODUCTO NO RESUELTO EN BD
38524,MULTIVIRAL X 30 CAPSULAS,multivitaminas,no_aprobada_espana,
38524,MULTIVIRAL X 30 CAPSULAS,minerales,no_aprobada_espana,
38580,NYTAXIN 500 MG X 6 CAPSULAS BLANDAS,nitazoxanida,no_aprobada_espana,
38652,PEPTO-BISMOL 525 MG / 30 ML SUSPENSION ORAL,subsalicilato de bismuto,no_aprobada_espana,
38860,TIDOR 2 % - 0.5 % SOLUCION OFTALMICA,miconazol,no_aprobada_espana,
39000,ZONTRICON 100 MG / 5 ML POLVO PARA SUSPENSION,nitazoxanida,no_aprobada_espana,
