producto_id,nombre,molecula_usada,via,ref_id,ref_nombre,atc_id,metodo,ya_existia
37616,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,bromhexina clorhidrato,nombre_sin_dosis,530,Bromhexina,6110,sin_sal,no
37617,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,bromhexina clorhidrato,nombre_sin_dosis,530,Bromhexina,6110,sin_sal,no
37776,CLENBUTEROL CLORHIDRATO 10 MCG / 5 ML JARABE,clenbuterol clorhidrato,nombre_sin_dosis,4235,Clenbuterol,5974,sin_sal,no
38457,METFORMINA CLORHIDRATO 500 MG X 28 TABLETAS,metformina clorhidrato,nombre_sin_dosis,2280,Metformina,598,sin_sal,no
38461,METFORMINA CLORHIDRATO 850 MG X 30 TABLETAS,metformina clorhidrato,nombre_sin_dosis,2280,Metformina,598,sin_sal,no
38462,METFORMINA CLORHIDRATO 850 MG X 28 TABLETAS,metformina clorhidrato,nombre_sin_dosis,2280,Metformina,598,sin_sal,no
39663,CLORHIDRATO DE BROMEXINA 8 MG / 5 ML JARABE.,Bromhexina,columna_molecula,530,Bromhexina,6110,exacto,no
39704,DICLOFENACO POTASICO 50 MG X 10 TABLETAS RECUBIERTAS,Diclofenaco,columna_molecula,1073,Diclofenaco,2675,exacto,no
39723,FEXOFENADINA CLORHIDRATO 180 MG X 10 TABLETAS RECUBIERTAS,Fexofenadina,columna_molecula,1448,Fexofenadina,6268,exacto,no
39726,FLAVOXATO CLORHIDRATO 200 MG X 10 TABLETAS RECUBIERTAS,Flavoxato,columna_molecula,1461,Flavoxato,2969,exacto,no
39745,KETOROLACO TROMETAMINA 30 MG / ML X 3 AMPOLLAS,Ketorolaco,columna_molecula,1956,Ketorolaco,4590,exacto,no
39911,HIDROCORTISONA SODICO 500 MG INYECTABLE,Hidrocortisona Sodico,columna_molecula,1740,Hidrocortisona,3090,sin_sal,no
