producto_id,nombre,sku,molecula_texto,laboratorio,linea,forma,foto_url,precio_usd,costo_usd
37337,MONARC- M 250 U. 1 X 1 AMPOLLA,HO1046,,CORPORACION COLIMODIO C.A.,,,,,
37374,AGUA BIDESTILADA INYECTABLE,HO32804,,LABORATORIO COFASA S.A.,,,,,
37375,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,HO1694,,LABORATORIOS VALMOR C.A.,,,,,
37395,ALGIOL 5 MG X 30 COMPRIMIDOS RECUBIERTOS,ME42912,,ESPECIALIDADES DOLLDER C.A.,,,,,
37476,APIRET 120 MG / 5 ML SOLUCION ORAL,ME42864,,LABORATORIOS L.O. OFTALMI C.A.,,,,,
37477,APIRET 160 MG / 5 ML SOLUCION ORAL,ME42860,,LABORATORIOS L.O. OFTALMI C.A.,,,,,
37527,ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO,ME40958,,C.A. PRODUCTOS RONAVA,,,,,
37557,BENCIDAMINA CLORHIDRATO 0.15 % SOLUCION TOPICA BUCAL,ME29570,,LABORATORIO COFASA S.A.,,,,,
37615,BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE,ME40260,,SM PHARMA C.A.,,,,,
37616,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,ME35158,,LABORATORIOS SPEFAR VENEZOLANOS S.A.,,,,,
37617,BROMHEXINA CLORHIDRATO 8 MG / 5 ML JARABE,ME36318,,LABORATORIO BIOGALENIC C.A.,,,,,
37742,CIFARCAINA AL 2 % X 2 AMPOLLAS,HO9190,,LABORATORIO BEHRENS C.A.,,,,,
37743,CIFARCAINA AL 1 % SOLUCION INYECTABLE,HO9189,,LABORATORIO BEHRENS C.A.,,,,,
37766,CITRATO DE CALCIO 1190 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA,ME36822/3,,CALOX INTERNATIONAL C.A.,,,,,
37767,CITRATO DE CALCIO 1190 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA,ME36822/2,,CALOX INTERNATIONAL C.A.,,,,,
37776,CLENBUTEROL CLORHIDRATO 10 MCG / 5 ML JARABE,ME28118,,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,,,,,
37794,CLONIDINA CLORHIDRATO 0.150 MG / ML X 2 AMPOLLAS,HO31483/2,,LABORATORIOS VALMOR C.A.,,,,,
37795,CLONIDINA CLORHIDRATO 0.150 MG / ML X 30 AMPOLLAS,HO31483/3,,LABORATORIOS VALMOR C.A.,,,,,
37835,COMPLEJO DE VITAMINA B X 3 AMPOLLAS,HO1587,,PRODUCTOS LISTER FENIX C.A.,,,,,
37934,DICLOFENACO POTASICO 50 MG X 20 TABLETAS CON RECUBRIMIENTO ENTERICO,ME43099,,VIDA LABORATORIES (P) LIMITED,,,,,
37994,DUVADILAN 10 MG X 30 COMPRIMIDOS,ME11176,,LABORATORIOS VARGAS S.A.,,,,,
38008,ENTEROGERMINA (ESPORAS DE BACILLUS CLAUSII) 2 MILLARDOS / 5 ML X 10 SUSPENSION ORAL,ME1103,,CALOX INTERNATIONAL C.A.,,,,,
