producto_id,nombre,sku,principio_activo_inhrr,molecula_enlazada_sospechosa,motivo,enlaces_actuales,decision
38453,METFORMINA CLORHIDRATO 850 MG X 30 TABLETAS RECUBIERTAS,ME43925/4,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Metformina + (+)-tetrabenazina,REVISAR
38454,METFORMINA CLORHIDRATO 850 MG X 14 TABLETAS RECUBIERTAS,ME43925/2,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Metformina + (+)-tetrabenazina,REVISAR
38455,METFORMINA CLORHIDRATO 850 MG X 28 TABLETAS RECUBIERTAS,ME43925/3,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Metformina + (+)-tetrabenazina,REVISAR
38603,OMEPRAZOL 20 MG X 10 CAPSULAS GASTRORRESISTENTES,ME43675/4,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Omeprazol + (+)-tetrabenazina,REVISAR
38604,OMEPRAZOL 20 MG X 20 CAPSULAS GASTRORRESISTENTES,ME43675/5,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Omeprazol + (+)-tetrabenazina,REVISAR
38605,OMEPRAZOL 20 MG X 30 CAPSULAS GASTRORRESISTENTES,ME43675/6,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Omeprazol + (+)-tetrabenazina,REVISAR
38606,OMEPRAZOL 20 MG X 7 CAPSULAS GASTRORRESISTENTES,ME43675/2,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Omeprazol + (+)-tetrabenazina,REVISAR
38607,OMEPRAZOL 20 MG X 8 CAPSULAS GASTRORRESISTENTES,ME43675/3,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Omeprazol + (+)-tetrabenazina,REVISAR
38640,PASIM PLUS 10 MG - 500 MG X 10 COMPRIMIDOS RECUBIERTOS,ME43713,ACETAMINOFEN DC 90% - N-BUTILBROMURO DE HIOSCINA - ACETAMINOFEN,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Acetaminofen + (+)-tetrabenazina,REVISAR
39518,GLIDEX 500 MG X 30 TABLETAS RECUBIERTAS,ME43923,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Metformina + (+)-tetrabenazina,REVISAR
39519,GLIDEX 850 MG X 30 TABLETAS RECUBIERTAS,ME43924,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,"producto de omeprazol/metformina/acetaminofen; no contiene tetrabenazina",Metformina + (+)-tetrabenazina,REVISAR
38658,PERTEN 1 % GEL TOPICO,ME40673,TERBINAFINA,Clotrimazol,"PERTEN es terbinafina (PA del INHRR), no clotrimazol",Clotrimazol + Terbinafina,REVISAR
39340,PERTEN 1 % CREMA,ME37330,TERBINAFINA,Clotrimazol,"PERTEN es terbinafina (PA del INHRR), no clotrimazol",Clotrimazol + Terbinafina,REVISAR
38304,KLAS 100 MG X 20 CAPSULAS,ME25409,ACEBROFILINA,Claritromicina,"KLAS 100 mg es acebrofilina (PA del INHRR), no claritromicina",Claritromicina,REVISAR
37577,BIOCOR AMLO 20 MG - 5 MG X 30 TABLETAS RECUBIERTAS,ME41747,,Bisoprolol,"BIOCOR/BIOCOR AMLO = olmesartan(+amlodipina); BIOCORTIN = hidrocortisona; ninguno es bisoprolol",Amlodipino + Bisoprolol,REVISAR
37578,BIOCOR AMLO 40 MG - 5 MG X 30 TABLETAS RECUBIERTAS,ME41748,,Bisoprolol,"BIOCOR/BIOCOR AMLO = olmesartan(+amlodipina); BIOCORTIN = hidrocortisona; ninguno es bisoprolol",Amlodipino + Bisoprolol,REVISAR
39098,BIOCOR 20 MG X 30 TABLETAS RECUBIERTAS,ME41690,OLMESARTAN MEDOXOMILO,Bisoprolol,"BIOCOR/BIOCOR AMLO = olmesartan(+amlodipina); BIOCORTIN = hidrocortisona; ninguno es bisoprolol",Olmesartan Medoxomilo + Bisoprolol,REVISAR
39524,BIOCORTIN 500 MG X 1 AMPOLLA,HO44584,SUCCINATO SODICO DE HIDROCORTISONA,Bisoprolol,"BIOCOR/BIOCOR AMLO = olmesartan(+amlodipina); BIOCORTIN = hidrocortisona; ninguno es bisoprolol",Hidrocortisona + Bisoprolol,REVISAR
38643,PASOLAX POLVO PARA SOLUCION ORAL,ME42399,POLIETILENGLICOL 3350,Senosidos A-b,"PASOLAX es polietilenglicol 3350 (Macrogol); los senosidos A-B son de AGIOLAX (similitud de nombre)",Senosidos A-b,REVISAR
38810,SULFATO DE MAGNESIO 10 % SOLUCION INYECTABLE,HO37696,SULFATO DE MAGNESIO,Citrato Magnesio,"el PA declara sulfato/estearato/cloruro de magnesio, no citrato",Citrato Magnesio,REVISAR
38988,PRAMIPEXOL 1 MG X 28 TABLETAS,ME44211,ESTEARATO DE MAGNESIO - POVIDONA - MANITOL - AEROSIL - AGUA PURIFICADA - ALMIDON DE MAIZ - DICLORHIDRATO DE PRAMIPEXOL,Citrato Magnesio,"el PA declara sulfato/estearato/cloruro de magnesio, no citrato",Citrato Magnesio + Manitol + Povidona + Pramipexol,REVISAR
