producto_id,nombre,sku,declarado_por_fuente,ref_nombre,ref_id,atc_id,match
37302,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,ME43094,ACIDO IBANDRONICO,Ibandronico Acido,1807,4828,alias
37375,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,HO1694,AGUA DESTILADA,Agua Para Preparaciones Inyectables,104,6883,alias
37482,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A BANANA,ME42366/3,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
37483,APLACAL 750 MG X 10 TABLETAS MASTICABLES SABOR A BANANA,ME42366/2,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
37562,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A MENTA,ME16799,CLORURO DE DECUALINIO,Decualinio Cloruro,995,2518,equivalente
37625,BUCOXOLGAR 3 MG - 1 MG X 12 TABLETAS MASTICABLES SABOR A MIEL LIMON,ME41132,CLORURO DE CETILPIRIDINIO,Cetilpiridinio Cloruro,3926,1169,alias
37637,CALCIBON 200 MG X 30 TABLETAS RECUBIERTOS,ME30197,CITRATO DE CALCIO TETRAHIDRATADO,Citrato de Calcio,4284,7373,equivalente
37641,CALCITREX D3 950 MG - 200 UI X 30 TABLETAS,ME34121,CITRATO DE CALCIO,Citrato de Calcio,4284,7373,exacto
37768,CALCITREX D3 1500 MG - 200 UI X 30 TABLETAS,ME33790,CITRATO DE CALCIO,Citrato de Calcio,4284,7373,exacto
37769,CITRAPOL SOLUCION,ME42521,CITRATO DE POTASIO,Citrato Potasio,789,,alias
37769,CITRAPOL SOLUCION,ME42521,CITRATO DE SODIO,Citrato Sodio,791,,equivalente
37880,DERAIN 15 % CREMA,ME25685,EXTRACTO ACUOSO DE TRITICUM VULGARE,Extracto Acuoso de Triticum vulgare,4287,,exacto
38173,GLUCONATO FERROSO (50 MG / 15 ML DE HIERRO ELEMENTAL) SOLUCION ORAL,ME37958,GLUCONATO FERROSO,Gluconato Hierro,1658,,alias
38204,IBANDROMET 150 MG X 1 TABLETA RECUBIERTA,ME38784,ACIDO IBANDRONICO,Ibandronico Acido,1807,4828,alias
38306,LACTBET 3000 U X 10 CAPSULAS,ME36925/2,LACTASA,Tilactasa,4288,545,alias
38307,LACTBET 3000 U X 20 CAPSULAS,ME36925/3,LACTASA,Tilactasa,4288,545,alias
38308,LARFACAINA 2 MG - 1.5 MG X 16 PASTILLAS SABOR A TUTTI - FRUTTI,ME16175,CLORURO DE CETILPIRIDINIO,Cetilpiridinio Cloruro,3926,1169,alias
38623,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRUTAS TROPICALES,ME44637,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
38623,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRUTAS TROPICALES,ME44637,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
38623,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRUTAS TROPICALES,ME44637,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
38624,ORALZINC SALES DE REHIDRATACION X 1 POLVO PARA SOLUCION ORAL SABOR A COCO,ME41670,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
38624,ORALZINC SALES DE REHIDRATACION X 1 POLVO PARA SOLUCION ORAL SABOR A COCO,ME41670,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
38624,ORALZINC SALES DE REHIDRATACION X 1 POLVO PARA SOLUCION ORAL SABOR A COCO,ME41670,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
38643,PASOLAX POLVO PARA SOLUCION ORAL,ME42399,POLIETILENGLICOL 3350,Macrogol 3350,2154,400,alias
38704,PROTOSULFIL 1 % CREMA,ME23774,SULFADIAZINA DE PLATA,Sulfadiazina Argentica,3246,2349,alias
38774,SELENE 400 UI - 70 MCG X 30 CAPSULAS BLANDAS,ME33722,VITAMINA E,Vitamina E,3736,,exacto
38775,SELENE 100 UI - 70 MCG X 60 CAPSULAS BLANDAS,ME37708,VITAMINA E,Vitamina E,3736,,exacto
38809,SULFADIAZINA DE PLATA 1 % CREMA,ME28901,SULFADIAZINA DE PLATA,Sulfadiazina Argentica,3246,2349,alias
38968,VITAMINA E 400 UI X 30 CAPSULAS BLANDAS,ME32842/2,VITAMINA E,Vitamina E,3736,,exacto
38969,VITAMINA E 400 UI X 50 CAPSULAS BLANDAS,ME32842/3,VITAMINA E,Vitamina E,3736,,exacto
39064,APLACAL 750 MG TABLETAS MASTICABLES SABOR A FRAMBUESA X 10 TABLETAS,ME42368/2,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39065,APLACAL 750 MG TABLETAS MASTICABLES SABOR A FRAMBUESA X 80 TABLETAS,ME42368/3,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39066,APLACAL 750 MG X 10 TABLETAS MASTICABLES SABOR A MENTA,ME42365/2,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39067,APLACAL 750 MG X 120 TABLETAS MASTICABLES SABOR A MENTA,ME42365/4,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39068,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A MENTA,ME42365/3,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39069,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A MANDARINA,ME42367,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39112,BONAMES 150 MG X 1 TABLETA RECUBIERTA,ME37009,ACIDO IBANDRONICO,Ibandronico Acido,1807,4828,alias
39119,CALCIO OSTELIN FORTE 300 MG - 200 UI / 5 ML X 30 SUSPENSION,ME37021,CALCIO,Calcio,571,93,exacto
