producto_id,nombre,sku,fuente,principio_activo,molecula_enlazada,ref_id,atc_id
37302,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,ME43094,INHRR,ACIDO IBANDRONICO,Acido Ibandronico Sodio Monohidrato,61,4828
37335,ACICLOVIR CREMA 5 %,ME43512,INHRR,PROPILENGLICOL - PARAFINA LIQUIDA LIGERA - PARAFINA BLANDA BLANCA - FOSFATO DE HIDROGENO DISODICO ANHIDRO - CLOROCRESOL ,Sodio Hidrogeno Carbonato,3199,
37335,ACICLOVIR CREMA 5 %,ME43512,INHRR,PROPILENGLICOL - PARAFINA LIQUIDA LIGERA - PARAFINA BLANDA BLANCA - FOSFATO DE HIDROGENO DISODICO ANHIDRO - CLOROCRESOL ,Parafina Blanda,2668,361
37335,ACICLOVIR CREMA 5 %,ME43512,INHRR,PROPILENGLICOL - PARAFINA LIQUIDA LIGERA - PARAFINA BLANDA BLANCA - FOSFATO DE HIDROGENO DISODICO ANHIDRO - CLOROCRESOL ,Parafina Liquida,2669,359
37361,FUCIDIN H 20 MG - 10 MG / G CREMA.,ME37466,INHRR,ACIDO FUSIDICO,Acido Fusidico Hemihidrato,60,2335
37367,ACTUMIR DUO 12.5 MG-850 MG X 30 TABLETAS RECUBIERTAS,ME44457,INHRR,EMPAGLIFLOZINA - METFORMINA CLORHIDRATO,Metformina,2280,598
37370,AFLAMAX 50 MG X 10 TABLETAS RECUBIERTAS,ME36828/2,INHRR,DICLOFENACO POTASICO,Diclofenaco,1073,2675
37371,AFLAMAX 50 MG X 20 TABLETAS RECUBIERTAS,ME36828/3,INHRR,DICLOFENACO POTASICO,Diclofenaco,1073,2675
37376,AIRCOF PLUS 5 MG - 2.5 MG X 30 TABLETAS MASTICABLES,ME43879,INHRR,DESLORATADINA - MONTELUKAST SODICO,Montelukast,2375,6078
37393,ALERGOT 0.05 % SOLUCION OFTALMICA,ME33876,INHRR,AZELASTINA CLORHIDRATO,Azelastina,362,6541
37394,ALFADYN 0.2 % SOLUCION OFTALMICA,ME35409,INHRR,BRIMONIDINA TARTRATO,Brimonidina,517,2677
37399,ALIVET 100 MG - 0.42 MG / ML X 10 SOLUCION ORAL,ME43815,INHRR,ACETAMINOFEN - CLORFENAMINA MALEATO,Clorfenamina,845,6202
37400,ALOPURINOL 100 MG X 30 TABLETAS,ME44004,INHRR,ALLOPURINOL,Alopurinol,156,4801
37414,AMBROXOL CLORHIDRATO 30 MG / 5 ML JARABE,ME28493,INHRR,AMBROXOL CLORHIDRATO,Ambroxol,181,5950
37416,CLORHIDRATO DE AMBROXOL 30 MG / 5 ML SOLUCION ORAL,ME29181,INHRR,AMBROXOL CLORHIDRATO,Ambroxol,181,5950
37422,AMIODARONA CLORHIDRATO 200 MG X 10 TABLETAS,ME32403,INHRR,AMIODARONA CLORHIDRATO,Amiodarona,206,1308
37423,AMLODIPINA 10 MG X 30 COMPRIMIDOS,ME30206/3,INHRR,AMLODIPINA,Amlodipino,212,1879
37424,AMLODIPINA 10 MG X 60 COMPRIMIDOS,ME30206/4,INHRR,AMLODIPINA,Amlodipino,212,1879
37425,AMLODIPINA 10 MG X 10 COMPRIMIDOS,ME30206/2,INHRR,AMLODIPINA,Amlodipino,212,1879
37426,AMLODIPINA 5 MG X 30 COMPRIMIDOS,ME38145,INHRR,AMLODIPINA,Amlodipino,212,1879
37427,AMLODIPINA 10 MG X 10 TABLETAS,ME32016/2,INHRR,AMLODIPINA,Amlodipino,212,1879
37428,AMLODIPINA 10 MG X 30 TABLETAS,ME32016/3,INHRR,AMLODIPINA,Amlodipino,212,1879
37431,AMLODIPINA 5 MG X 10 TABLETAS,ME28705/2,INHRR,AMLODIPINA,Amlodipino,212,1879
37432,AMLODIPINA 5 MG X 30 TABLETAS,ME28705/3,INHRR,AMLODIPINA,Amlodipino,212,1879
37434,AMLODIPINA - VALSARTAN 5 MG - 160 MG X 30 COMPRIMIDOS RECUBIERTOS,ME40038,INHRR,AMLODIPINA - VALSARTAN,Amlodipino,212,1879
37436,SINOT CLAV 875 MG – 125 MG X 14 COMPRIMIDOS,ME44341,INHRR,AMOXICILINA TRIHIDRATO - CLAVULANATO DE POTASIO+CELULOSA MICROCRISTALINA 1:1,Amoxicilina,221,3196
