clave_equivalente,variantes_declaradas,n_productos,productos
FUMARATO DE BISOPROLOL,FUMARATO DE BISOPROLOL,13,37506 37585 37586 37588 37593 37594 39039 39054 39055 39056 39079 39102 39443
N-BUTILBROMURO DE HIOSCINA,N-BUTILBROMURO DE HIOSCINA,10,37530 38071 38105 38199 38640 38642 38662 39088 39089 39449
KETOROLAC TROMETAMINA,KETOROLAC TROMETAMINA / Ketorolaco Trometamina,10,38270 38271 38272 38295 38299 39489 39490 39491 39564 39746
CLORHIDRATO DE LERCANIDIPINO,CLORHIDRATO DE LERCANIDIPINO,9,38001 38002 38321 38322 38323 38324 38359 38360 39190
GLUCONATO DE ZINC,GLUCONATO DE ZINC,9,38623 39369 39370 39371 39372 39373 39374 39520 39603
CLONIXINATO DE LISINA,CLONIXINATO DE LISINA,8,37981 37982 37983 38671 38672 38673 39305 39507
PROTEINA FERRICA,PROTEINA FERRICA,7,38079 38080 38081 39216 39217 39218 39219
SITAGLIPTINA FOSFATO MONOHIDRATADO,SITAGLIPTINA FOSFATO MONOHIDRATADO,7,38170 38171 38790 38802 39365 39366 39578
DICLOFENAC DIETILAMONIO,DICLOFENAC DIETILAMONIO,5,37647 38264 39182 39193 39600
CLORHIDRATO DE METFORMINA CD 95%,CLORHIDRATO DE METFORMINA CD 95%,5,38453 38454 38455 39518 39519
OMEPRAZOL PELLET 7.5%,OMEPRAZOL PELLET 7.5%,5,38603 38604 38605 38606 38607
NITROFURANTOINA MACROCRISTALES,NITROFURANTOINA MACROCRISTALES,4,38432 38564 38565 39540
SULFATO DE ZINC HEPTAHIDRATO,SULFATO DE ZINC HEPTAHIDRATO,4,38624 38993 38994 39331
DEXTROMETORFANO BROMHIDRATO MONOHIDRATO,DEXTROMETORFANO BROMHIDRATO MONOHIDRATO,4,38989 39414 39457 39488
CLORHIDRATO DE MEBEVERINA,CLORHIDRATO DE MEBEVERINA,3,37814 37815 37816
MALEATO DE ENALAPRIL,MALEATO DE ENALAPRIL,3,38001 38002 38007
NITRATO DE MICONAZOL,NITRATO DE MICONAZOL,3,38184 38484 39451
BROMURO DE PINAVERIO,BROMURO DE PINAVERIO,3,38665 38666 38883
CITRATO DE SILDENAFIL,CITRATO DE SILDENAFIL,3,38791 38792 38793
SUBCARBONATO DE BISMUTO,SUBCARBONATO DE BISMUTO,3,39273 39274 39275
ATORVASTATINA CALCICA TRIHIDRATADA,ATORVASTATINA CALCICA TRIHIDRATADA,3,39384 39385 39386
Sodico,Sodico,3,39698 39699 39700
AGUA PURIFICADA,AGUA PURIFICADA,2,37335 38988
CLORHIDRATO DE BROMHEXINA,CLORHIDRATO DE BROMHEXINA,2,37610 37614
BROMURO DE IPRATROPIO,BROMURO DE IPRATROPIO,2,37618 39197
CARBONATO DE LITIO,CARBONATO DE LITIO,2,37684 37685
CLORHIDRATO DE DONEPEZILO,CLORHIDRATO DE DONEPEZILO,2,37979 37980
CLORHIDRATO DE TAMSULOSINA,CLORHIDRATO DE TAMSULOSINA,2,37992 37993
FUMARATO FERROSO,FUMARATO FERROSO,2,38084 38130
FOSFATO DIBASICO DE SODIO,FOSFATO DIBASICO DE SODIO / FOSFATO DE SODIO DIBASICO ANHIDRO,2,38133 39551
MALEATO DE TRIMEBUTINA,MALEATO DE TRIMEBUTINA,2,38264 38892
CLORHIDRATO DE LIDOCAINA,CLORHIDRATO DE LIDOCAINA,2,38308 38354
HIDROXIDO DE MAGNESIO,HIDROXIDO DE MAGNESIO,2,38315 38421
FOSFATO SODICO DE PREDNISOLONA,FOSFATO SODICO DE PREDNISOLONA,2,38682 39493
CLORHIDRATO DE PSEUDOEFEDRINA,CLORHIDRATO DE PSEUDOEFEDRINA,2,38974 39159
CLORHIDRATO DE OXIMETAZOLINA,CLORHIDRATO DE OXIMETAZOLINA,2,39025 39456
CLORHIDRATO DE OLOPATADINA,CLORHIDRATO DE OLOPATADINA,2,39026 39559
N-ACETILCISTEINA,N-ACETILCISTEINA,2,39547 39548
Cloruro Magnes,Cloruro Magnes,2,39691 39879
Diosmina Hesper,Diosmina Hesper,2,39708 39917
Losartan Hct,Losartan Hct,2,39768 39769
Salbutamol Inh,Salbutamol Inh,2,39893 39894
PROPILENGLICOL,PROPILENGLICOL,1,37335
PARAFINA LIQUIDA LIGERA,PARAFINA LIQUIDA LIGERA,1,37335
PARAFINA BLANDA BLANCA,PARAFINA BLANDA BLANCA,1,37335
FOSFATO DE HIDROGENO DISODICO ANHIDRO,FOSFATO DE HIDROGENO DISODICO ANHIDRO,1,37335
CLOROCRESOL,CLOROCRESOL,1,37335
CETOMACROGOL 1000,CETOMACROGOL 1000,1,37335
ALCOHOL CETILESTEARILICO,ALCOHOL CETILESTEARILICO,1,37335
ALLOPURINOL,ALLOPURINOL,1,37400
CLAVULANATO DE POTASIO+CELULOSA MICROCRISTALINA 1:1,CLAVULANATO DE POTASIO+CELULOSA MICROCRISTALINA 1:1,1,37436
SULFATO DE GENTAMICINA,SULFATO DE GENTAMICINA,1,37572
CLORHIDRATO DE BUPIVACAINA,CLORHIDRATO DE BUPIVACAINA,1,37632
CLORHIDRATO DE CICLOPENTOLATO,CLORHIDRATO DE CICLOPENTOLATO,1,37739
CLORHIDRATO DE CLINDAMICINA,CLORHIDRATO DE CLINDAMICINA,1,37783
CLOPIDOGREL BISULFATO,CLOPIDOGREL BISULFATO,1,37809
DICLOFENACO ÁCIDO,DICLOFENACO ÁCIDO,1,37946
BROMURO DE PIRIDOSTIGMINA,BROMURO DE PIRIDOSTIGMINA,1,37949
FOSFATO DE POTASIO MONOBASICO,FOSFATO DE POTASIO MONOBASICO,1,38132
SULFATO DE COBRE,SULFATO DE COBRE,1,38187
IBUPROFENO DC 90,IBUPROFENO DC 90,1,38212
ACEBROFILINA,ACEBROFILINA,1,38304
CLORHIDRATO DE LOPERAMIDA,CLORHIDRATO DE LOPERAMIDA,1,38379
Centella asiatica,Centella asiatica,1,38420
HIDROXIDO DE ALUMINIO,HIDROXIDO DE ALUMINIO,1,38421
CLORHIDRATO DE METOCLOPRAMIDA,CLORHIDRATO DE METOCLOPRAMIDA,1,38467
SUCCINATO DE SUMATRIPTAN,SUCCINATO DE SUMATRIPTAN,1,38532
RISEDRONATO SODICO,RISEDRONATO SODICO,1,38630
ACETAMINOFEN DC 90%,ACETAMINOFEN DC 90%,1,38640
SULFATO DE HIDROXICLOROQUINA,SULFATO DE HIDROXICLOROQUINA,1,38724
CLORHIDRATO DE SERTRALINA,CLORHIDRATO DE SERTRALINA,1,38786
SULFATO DE MAGNESIO,SULFATO DE MAGNESIO,1,38810
CLORHIDRATO DE FLAVOXATO,CLORHIDRATO DE FLAVOXATO,1,38909
CLORHIDRATO DE ONDANSETRON DIHIDRATADO,CLORHIDRATO DE ONDANSETRON DIHIDRATADO,1,38980
ESTEARATO DE MAGNESIO,ESTEARATO DE MAGNESIO,1,38988
AEROSIL,AEROSIL,1,38988
ALMIDON DE MAIZ,ALMIDON DE MAIZ,1,38988
DICLORHIDRATO DE PRAMIPEXOL,DICLORHIDRATO DE PRAMIPEXOL,1,38988
AMOXICILINA TRIHIDRATO- CLAVULANATO DE POTASIO 7:1,AMOXICILINA TRIHIDRATO- CLAVULANATO DE POTASIO 7:1,1,39049
CLORHIDRATO DE PIRIDOXINA,CLORHIDRATO DE PIRIDOXINA,1,39100
SUCCINATO DE DOXILAMINA,SUCCINATO DE DOXILAMINA,1,39100
FENOTEROL BROMHIDRATO,FENOTEROL BROMHIDRATO,1,39197
CLORHIDRATO DE AMBROXOL,CLORHIDRATO DE AMBROXOL,1,39220
MESILATO DE DIHIDROERGOTAMINA,MESILATO DE DIHIDROERGOTAMINA,1,39265
OXIDO DE ZINC,OXIDO DE ZINC,1,39281
ACEITE DE HIGADO DE BACALAO,ACEITE DE HIGADO DE BACALAO,1,39281
TARTRATO DE ERGOTAMINA,TARTRATO DE ERGOTAMINA,1,39305
SULFATO DE NEOMICINA,SULFATO DE NEOMICINA,1,39311
SULFATO DE POLIMIXINA B,SULFATO DE POLIMIXINA B,1,39311
DEXTROSA ANHIDRA CRISTAL,DEXTROSA ANHIDRA CRISTAL,1,39331
ANTIPIRINA,ANTIPIRINA,1,39333
GLUCOSIDOS OXIMETIL ANTRAQUINONICOS,GLUCOSIDOS OXIMETIL ANTRAQUINONICOS,1,39341
PAMOATO DE PIRANTEL,PAMOATO DE PIRANTEL,1,39383
ACIDO POLIACRILICO,ACIDO POLIACRILICO,1,39418
CLORHIDRATO DE NAFAZOLIN,CLORHIDRATO DE NAFAZOLIN,1,39450
DAPAGLIFOZINA,DAPAGLIFOZINA,1,39469
PROPINOX,PROPINOX,1,39507
SUCCINATO SODICO DE HIDROCORTISONA,SUCCINATO SODICO DE HIDROCORTISONA,1,39524
CLORHIDRATO DE IVABRADINA,CLORHIDRATO DE IVABRADINA,1,39528
FOSFATO DE SODIO MONOBASICO ANHIDRO,FOSFATO DE SODIO MONOBASICO ANHIDRO,1,39551
DICLOFENAC COLESTIRAMINA,DICLOFENAC COLESTIRAMINA,1,39597
FOSFATO DE CLINDAMICINA,FOSFATO DE CLINDAMICINA,1,39599
Agua Oxig Alva,Agua Oxig Alva,1,39635
Atapec,Atapec,1,39649
Bromhexina Ped4mg,Bromhexina Ped4mg,1,39665
Ciprofloxacina Inf Iny200mg Crdist,Ciprofloxacina Inf Iny200mg Crdist,1,39678
Citrato Ca Vit D3,Citrato Ca Vit D3,1,39684
Clorhid Mebeverina,Clorhid Mebeverina,1,39689
Portu,Portu,1,39697
Flavoxuni Flavoxato,Flavoxuni Flavoxato,1,39724
Levofloxacina Inf Crdist,Levofloxacina Inf Crdist,1,39752
Loperamida Portu,Loperamida Portu,1,39765
Metformina Lp,Metformina Lp,1,39780
Losartan Hct Tabr,Losartan Hct Tabr,1,39796
Nitrofurantoina Laproff,Nitrofurantoina Laproff,1,39798
Crisplus Orlistat Elea Zuoz,Crisplus Orlistat Elea Zuoz,1,39814
Paracetamol Portu,Paracetamol Portu,1,39818
Preveral Dextro Reform,Preveral Dextro Reform,1,39830
Propranolol Clorh,Propranolol Clorh,1,39831
Quetiapina Farmamed,Quetiapina Farmamed,1,39832
Tamsulosina Tamsuhem,Tamsulosina Tamsuhem,1,39855
Tiocolchicosido Imp,Tiocolchicosido Imp,1,39861
Valsartan Hct Tabrec,Valsartan Hct Tabrec,1,39866
Bitex Complejo Vitamina B1 B2 B6 B12 Naturalifes,Bitex Complejo Vitamina B1 B2 B6 B12 Naturalifes,1,39869
Vitamina Mandarina Tira Tableta Masticable Unidades,Vitamina Mandarina Tira Tableta Masticable Unidades,1,39870
Bisoprolol Hct,Bisoprolol Hct,1,39876
Zyrtec Diclorhidrato Cetirizina Gsk Farma,Zyrtec Diclorhidrato Cetirizina Gsk Farma,1,39877
Diclofenac Dietilam,Diclofenac Dietilam,1,39880
Cynt Simvastatina,Cynt Simvastatina,1,39892
Angioflux 250lsu,Angioflux 250lsu,1,39898
Clotrimazol Vag,Clotrimazol Vag,1,39904
Dymazol Clotrimazol Ovulos Vaginal,Dymazol Clotrimazol Ovulos Vaginal,1,39907
Glutamina Vit B12,Glutamina Vit B12,1,39910
Dalcitrin Mupirocina,Dalcitrin Mupirocina,1,39913
