producto_id,nombre,sku,fuente,enlazada,ref_id,atc_id
37335,ACICLOVIR CREMA 5 %,ME43512,PROPILENGLICOL - PARAFINA LIQUIDA LIGERA - PARAFINA BLANDA BLANCA - FOSFATO DE HIDROGENO D,Sodio Hidrogeno Carbonato,3199,
37375,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,HO1694,AGUA DESTILADA,Agua Para Preparaciones Inyectables,104,6883
37400,ALOPURINOL 100 MG X 30 TABLETAS,ME44004,ALLOPURINOL,Alopurinol,156,4801
37647,CAMPAL 1 % GEL,ME43646,DICLOFENAC DIETILAMONIO,Diclofenaco Dietilamina,1074,2675
37768,CALCITREX D3 1500 MG - 200 UI X 30 TABLETAS,ME33790,CITRATO DE CALCIO,Vitamina D3,3735,
37880,DERAIN 15 % CREMA,ME25685,EXTRACTO ACUOSO DE TRITICUM VULGARE,Azelaico Acido,361,2619
37981,DORIXINA FLEX 125 MG - 5 MG X 20 COMPRIMIDOS RECUBIERTOS,ME32119/4,CLONIXINATO DE LISINA - CICLOBENZAPRINA CLORHIDRATO,Clonixino Lisina,831,1222
37982,DORIXINA FLEX 125 MG - 5 MG X 5 COMPRIMIDOS RECUBIERTOS,ME32119/2,CLONIXINATO DE LISINA - CICLOBENZAPRINA CLORHIDRATO,Clonixino Lisina,831,1222
37983,DORIXINA FLEX 125 MG - 5 MG X 10 COMPRIMIDOS RECUBIERTOS,ME32119/3,CLONIXINATO DE LISINA - CICLOBENZAPRINA CLORHIDRATO,Clonixino Lisina,831,1222
38079,FERGANIC FOLIC 40 MG - 360 MCG / 15 ML X 20 JARABE,ME33240/3,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
38080,FERGANIC FOLIC 40 MG - 360 MCG / 15 ML X 1 JARABE,ME33240/2,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
38081,FERGANIC FOLIC 40 MG - 360 MCG / 15 ML X 30 JARABE,ME33240/4,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
38105,FLEMIBAR 20 MG - 2500 MG / 5 ML X 3 AMPOLLAS,HO24421,N-BUTILBROMURO DE HIOSCINA,Ambroxol,181,5950
38133,FOSFOLIT 21.6 G - 8.1 G / 45 ML SOLUCION ORAL,ME41993,FOSFATO DIBASICO DE SODIO,Fosfato Monosodio Dihidrato,1535,
38133,FOSFOLIT 21.6 G - 8.1 G / 45 ML SOLUCION ORAL,ME41993,FOSFATO DIBASICO DE SODIO,Fosfato Disodio,1531,
38173,GLUCONATO FERROSO (50 MG / 15 ML DE HIERRO ELEMENTAL) SOLUCION ORAL,ME37958,GLUCONATO FERROSO,Gluconato Hierro,1658,
38264,IZABAN 10 MG X 30 COMPRIMIDOS RECUBIERTOS,ME43469,EMPAGLIFLOZINA - DICLOFENAC DIETILAMONIO - MALEATO DE TRIMEBUTINA,Diclofenaco Dietilamina,1074,2675
38270,KELAC 30 MG / ML X 1 AMPOLLA,HO30748/2,KETOROLAC TROMETAMINA,Ketorolaco Trometamol,1957,1161
38271,KELAC 30 MG / ML X 3 AMPOLLAS,HO30748/3,KETOROLAC TROMETAMINA,Ketorolaco Trometamol,1957,1161
38272,KELAC 30 MG / ML X 4 AMPOLLAS,HO30748/4,KETOROLAC TROMETAMINA,Ketorolaco Trometamol,1957,1161
38295,KETOREL 30 MG X 4 COMPRIMIDOS ORODISPERSABLE,ME42483,KETOROLAC TROMETAMINA,Ketorolaco Trometamol,1957,1161
38299,KETOROLAC TROMETAMINA 20 MG X 10 COMPRIMIDOS,ME36886,KETOROLAC TROMETAMINA,Ketorolaco Trometamol,1957,1161
38304,KLAS 100 MG X 20 CAPSULAS,ME25409,ACEBROFILINA,Claritromicina,801,3365
38306,LACTBET 3000 U X 10 CAPSULAS,ME36925/2,LACTASA,Tilactasa,4288,545
38307,LACTBET 3000 U X 20 CAPSULAS,ME36925/3,LACTASA,Tilactasa,4288,545
38453,METFORMINA CLORHIDRATO 850 MG X 30 TABLETAS RECUBIERTAS,ME43925/4,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,3360,5286
38454,METFORMINA CLORHIDRATO 850 MG X 14 TABLETAS RECUBIERTAS,ME43925/2,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,3360,5286
38455,METFORMINA CLORHIDRATO 850 MG X 28 TABLETAS RECUBIERTAS,ME43925/3,CLORHIDRATO DE METFORMINA CD 95% - METFORMINA CLORHIDRATO,(+)-tetrabenazina,3360,5286
38603,OMEPRAZOL 20 MG X 10 CAPSULAS GASTRORRESISTENTES,ME43675/4,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,3360,5286
38604,OMEPRAZOL 20 MG X 20 CAPSULAS GASTRORRESISTENTES,ME43675/5,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,3360,5286
38605,OMEPRAZOL 20 MG X 30 CAPSULAS GASTRORRESISTENTES,ME43675/6,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,3360,5286
38606,OMEPRAZOL 20 MG X 7 CAPSULAS GASTRORRESISTENTES,ME43675/2,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,3360,5286
38607,OMEPRAZOL 20 MG X 8 CAPSULAS GASTRORRESISTENTES,ME43675/3,OMEPRAZOL  - OMEPRAZOL PELLET 7.5%,(+)-tetrabenazina,3360,5286
38640,PASIM PLUS 10 MG - 500 MG X 10 COMPRIMIDOS RECUBIERTOS,ME43713,ACETAMINOFEN DC 90% - N-BUTILBROMURO DE HIOSCINA - ACETAMINOFEN,(+)-tetrabenazina,3360,5286
38642,PASIM 10 MG / ML SOLUCION ORAL,ME41590,N-BUTILBROMURO DE HIOSCINA,Butilescopolamina Bromuro,553,237
38643,PASOLAX POLVO PARA SOLUCION ORAL,ME42399,POLIETILENGLICOL 3350,Senosidos A-b,3144,
38658,PERTEN 1 % GEL TOPICO,ME40673,TERBINAFINA,Clotrimazol,878,2720
38662,PIMADOL 10 MG X 10 TABLETAS RECUBIERTAS,ME44538,N-BUTILBROMURO DE HIOSCINA,Butilescopolamina Bromuro,553,237
38671,PLIDAN COMPUESTO 10 MG / 125 MG X 10 COMPRIMIDOS RECUBIERTOS,ME31051,CLONIXINATO DE LISINA,Clonixino Lisina,831,1222
38672,PLIDAN COMPUESTO 15 MG / 2 ML - 100 MG / 2 ML X 1 AMPOLLA,HO31052/2,CLONIXINATO DE LISINA,Clonixino Lisina,831,1222
38673,PLIDAN COMPUESTO 15 MG / 2 ML - 100 MG / 2 ML X 2 AMPOLLAS,HO31052/3,CLONIXINATO DE LISINA,Clonixino Lisina,831,1222
38704,PROTOSULFIL 1 % CREMA,ME23774,SULFADIAZINA DE PLATA,Sulfadiazina Argentica,3246,2349
38809,SULFADIAZINA DE PLATA 1 % CREMA,ME28901,SULFADIAZINA DE PLATA,Sulfadiazina Argentica,3246,2349
38810,SULFATO DE MAGNESIO 10 % SOLUCION INYECTABLE,HO37696,SULFATO DE MAGNESIO,Citrato Magnesio,788,
38988,PRAMIPEXOL 1 MG X 28 TABLETAS,ME44211,ESTEARATO DE MAGNESIO - POVIDONA - MANITOL - AEROSIL - AGUA PURIFICADA - ALMIDON DE MAIZ -,Citrato Magnesio,788,
39088,ATROVERAN 10 MG X 10 TABLETAS RECUBIERTAS,ME36258,N-BUTILBROMURO DE HIOSCINA,Butilescopolamina Bromuro,553,237
39089,ATROVERAN FORTE 20 MG TABLETAS RECUBIERTAS,ME44273,N-BUTILBROMURO DE HIOSCINA,Butilescopolamina Bromuro,553,237
39098,BIOCOR 20 MG X 30 TABLETAS RECUBIERTAS,ME41690,OLMESARTAN MEDOXOMILO,Bisoprolol,3830,1815
39182,DICLOFENAC DIETILAMINO 1.16 % GEL,ME31107,DICLOFENAC DIETILAMONIO,Diclofenaco Dietilamina,1074,2675
39193,DIKLASON 1.16 % GEL,ME38499,DICLOFENAC DIETILAMONIO,Diclofenaco Dietilamina,1074,2675
39216,FERGANIC FOLIC 40 MG - 350 MCG X 24 TABLETAS MASTICABLES,ME33238/4,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
39217,FERGANIC FOLIC 40 MG - 350 MCG X 14 TABLETAS MASTICABLES,ME33238/2,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
39218,FERGANIC FOLIC 40 MG - 350 MCG X 30 TABLETAS MASTICABLES,ME33238/5,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
39219,FERGANIC FOLIC 40 MG - 350 MCG X 20 TABLETAS MASTICABLES,ME33238/3,PROTEINA FERRICA - ACIDO FOLICO,Proteinas,2929,792
39222,FLOMED 0.15 % - 0.25 % SOLUCION TOPICA BUCAL,ME41147,BENCIDAMINA CLORHIDRATO,Cetilpiridinio,3925,2533
39273,KLINCOSAL 262 MG - 100 MG X 30 TABLETAS MASTICABLES SABOR A UVA,ME40973,SUBCARBONATO DE BISMUTO - CARBONATO DE CALCIO,Metronidazol,2320,2719
