molecula_id,nombre,nombre_generico_en,codigo_atc,productos,enlaces_insertados
4284,Citrato de Calcio,calcium citrate,A12AA13,37766 37767,2
4285,Isoxsuprina,isoxsuprine,C04AA01,37994,1
4286,Esporas de Bacillus clausii,Bacillus clausii spores,A07FA,38008,1
4287,Extracto Acuoso de Triticum vulgare,Triticum vulgare extract,(sin ATC),38183,1
4288,Tilactasa,tilactase,A09AA04,38306 38307,2
4289,Nitazoxanida,nitazoxanide,P01AX11,38560 38561 38580 39000,4
4290,Bismuto Subsalicilato,bismuth subsalicylate,A07BB,38652 39563,2
4291,Piperazina,piperazine,P02CB01,38667,1
4292,Vitaminas del Complejo B,vitamin B-complex,A11EA,39158,1
4293,Sales de Rehidratación Oral,oral rehydration salts,A07CA,39352 39354,2
4294,Aminoácidos,amino acids,B05BA01,38675,1
4295,Alcohol Polivinílico,polyvinyl alcohol,S01XA20,39421,1
4296,Clemastina,clemastine,R06AA04,39697,1
4297,Magnesio Glicinato,magnesium bisglycinate,A12CC,39770,1
4298,Lisado Bacteriano,bacterial lysate,J07X,38614 39811,2
