producto_id,sku,nombre_comercial,molecula_texto,forma,linea,laboratorio,fuente_inhrr_ef,foto_url,disponible,costo_usd,precio_usd
37305,ME23534,ACALIX 60 MG X 30 TABLETAS,,TABLETAS,Linea Farmacia,LABORATORIOS VARGAS S.A.,E.F.23.534,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4986.jpg,true,10.26,17.10
37322,ME37101/3,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10 MG X 20 TABLETAS RE,,TABLETAS,Linea Farmacia,LABORATORIO LA SANTE C.A.,E.F.G.37.101,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7537.jpg,true,1.06,1.77
37323,ME37101/2,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10 MG X 10 TABLETAS RE,,TABLETAS,Linea Farmacia,LABORATORIO LA SANTE C.A.,E.F.G.37.101,,true,0.49,0.82
37325,ME40713,ACETAMINOFEN - CLORFENIRAMINA 125 MG - 1 MG / 5 ML JARABE,,JARABE,Linea Farmacia,SM PHARMA C.A.,E.F.G.40.713,,true,6.19,10.32
37326,ME39115,ACETAMINOFEN - TRAMADOL 325 MG - 37.5 MG X 10 COMPRIMIDOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS SPEFAR VENEZOLANOS S.A.,E.F.G.39.115,,true,4.88,8.13
37337,HO1046,MONARC- M 250 U. 1 X 1 AMPOLLA,,INYECTABLE,Linea Hospitalaria,CORPORACION COLIMODIO C.A.,P.B.1.046,,true,6.22,10.37
37345,ME34553/2,ACIDO ACETILSALICILICO 81 MG X 24 TABLETAS CON CUBIERTA ENTERICA,,TABLETAS,Linea Farmacia,LABORATORIOS L.O. OFTALMI C.A.,E.F.G.34.553,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7271.jpg,true,4.02,6.70
37346,ME34553/3,ACIDO ACETILSALICILICO 81 MG X 30 TABLETAS CON CUBIERTA ENTERICA,,TABLETAS,Linea Farmacia,LABORATORIOS L.O. OFTALMI C.A.,E.F.G.34.553,,true,3.48,5.80
37366,ME38066,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.38.066,,true,3.97,6.62
37374,HO32804,AGUA BIDESTILADA INYECTABLE,,INYECTABLE,Linea Hospitalaria,LABORATORIO COFASA S.A.,E.F.G.32.804,,true,5.57,9.28
37375,HO1694,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,,INYECTABLE,Linea Hospitalaria,LABORATORIOS VALMOR C.A.,E.F.G.1.694,,true,7.97,13.28
37378,ME20628,AIRFEN 0.05 % SOLUCION NASAL,,SOLUCION NASAL,Linea Farmacia,LABORATORIO COFASA S.A.,E.F.20.628,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4340.jpg,true,5.62,9.37
37395,ME42912,ALGIOL 5 MG X 30 COMPRIMIDOS RECUBIERTOS,,COMPRIMIDOS,Linea Farmacia,ESPECIALIDADES DOLLDER C.A.,E.F.42.912,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23948.jpg,true,4.97,8.28
37396,ME16713,ALGOREN 10 MG X 20 TABLETAS,,TABLETAS,Linea Farmacia,C.A. PRODUCTOS RONAVA,E.F.16.713,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/104.jpg,true,3.94,6.57
37420,HO26424,AMIKACINA 100 MG / 2 ML X 10 AMPOLLAS,,INYECTABLE,Linea Hospitalaria,LABORATORIOS VALMOR C.A.,E.F.G.26.424,,true,14.66,24.43
37429,ME39126/2,AMLODIPINA 10 MG X 20 TABLETAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.39.126,,true,2.19,3.65
37433,ME31230,AMLODIPINA 5 MG X 30 TABLETAS,,TABLETAS,Linea Farmacia,LABORATORIO COFASA S.A.,E.F.G.31.230,,true,1.27,2.12
37438,ME43040,AMOXICILINA 500 MG X 10 CAPSULAS,,CAPSULAS,Linea Farmacia,JIANGXI XIER KANGTAI PHARMACEUTICAL CO. LTD,E.F.G.43.040,,true,2.39,3.98
37439,ME44669,AMOXICILINA - ACIDO CLAVULANICO 500 MG - 125 MG X 10 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,SARTHI PHARMA,E.F.G.44.669,,true,4,6.67
37446,ME23745,AMOXICILINA 125 MG / 5 ML SUSPENSION,,SUSPENSION ORAL,Linea Farmacia,SM PHARMA C.A.,E.F.G.23.745,,true,1.95,3.25
37455,ME43076,AMPLIDER 50 MG X 10 CAPSULAS BLANDAS,,CAPSULAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.43.076,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28394.jpg,true,1.51,2.52
37456,ME35424,ANALPER PLUS 500 MG - 10 MG X 10 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,LABORATORIO LA SANTE C.A.,E.F.35.424,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7690.jpg,true,5.39,8.98
37464,ME31329/3,ANGRIP X 8 COMPRIMIDOS,,COMPRIMIDOS,Linea Farmacia,MEGALABS S.A.,E.F.31.329,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22591.jpg,true,5.26,8.77
37465,ME31329/2,ANGRIP X 4 COMPRIMIDOS,,COMPRIMIDOS,Linea Farmacia,MEGALABS S.A.,E.F.31.329,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23940.jpg,true,2.99,4.98
37466,ME31329/4,ANGRIP X 15 COMPRIMIDOS,,COMPRIMIDOS,Linea Farmacia,MEGALABS S.A.,E.F.31.329,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51261.jpg,true,6.23,10.38
37470,ME43410/3,ANTAAR 1.25 MG X 30 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.43.410,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29562.jpg,true,3.86,6.43
37471,ME43410/2,ANTAAR 1.25 MG X 10 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.43.410,,true,2.68,4.47
37474,ME40266,ANTILAX PLUS 2 MG - 125 MG X 10 CAPSULAS,,CAPSULAS,Linea Farmacia,LABORATORIOS FARMA S.A.,E.F.40.266,,true,3.05,5.08
37476,ME42864,APIRET 120 MG / 5 ML SOLUCION ORAL,,SOLUCION ORAL,Linea Farmacia,LABORATORIOS L.O. OFTALMI C.A.,E.F.42.864,,true,5.04,8.40
