producto_id,nombre,molecula_escrita,ref_nombre,atc_id,resultado
"37374","AGUA BIDESTILADA INYECTABLE","Agua Para Preparaciones Inyectables","Agua Para Preparaciones Inyectables","6883","INSERTADO"
"37375","AGUA DESTILADA ESTERIL SOLUCION INYECTABLE","Agua Para Preparaciones Inyectables","Agua Para Preparaciones Inyectables","6883","INSERTADO"
"37395","ALGIOL 5 MG X 30 COMPRIMIDOS RECUBIERTOS","Bisoprolol","Bisoprolol","1815","INSERTADO"
"37476","APIRET 120 MG / 5 ML SOLUCION ORAL","Acetaminofen","Acetaminofen","","INSERTADO"
"37477","APIRET 160 MG / 5 ML SOLUCION ORAL","Acetaminofen","Acetaminofen","","INSERTADO"
"37527","ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO","Hioscina","Hioscina","","INSERTADO"
"37742","CIFARCAINA AL 2 % X 2 AMPOLLAS","Lidocaina","Lidocaina","1297","INSERTADO"
"37743","CIFARCAINA AL 1 % SOLUCION INYECTABLE","Lidocaina","Lidocaina","1297","INSERTADO"
"38200","HIRUDOID (POLISULFATO DE MUCOPOLISACARIDO) 25.000 UI / 100 G GEL","Condroitina Sulfato Sodio","Condroitina Sulfato Sodio","","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Acidos Omega 3","Acidos Omega 3","","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Magnesio","Magnesio","102","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Hierro","Hierro","1092","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Zinc","Zinc","164","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina D","Vitamina D","","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina C","Vitamina C","","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina A","Vitamina A","6805","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina H","Vitamina H","","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina B1","Vitamina B1","714","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina B2","Vitamina B2","","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina B3","Vitamina B3","","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina B5","Pantotenico Acido","","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina B6","Vitamina B6","714","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina B9","Vitamina B9","","INSERTADO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","Vitamina B12","Vitamina B12","714","INSERTADO"
"38495","MIOVIT X 10 COMPRIMIDOS RECUBIERTOS","Tiamina","Tiamina","710","INSERTADO"
"38495","MIOVIT X 10 COMPRIMIDOS RECUBIERTOS","Piridoxina","Piridoxina","729","INSERTADO"
"38495","MIOVIT X 10 COMPRIMIDOS RECUBIERTOS","Cianocobalamina","Cianocobalamina","1115","INSERTADO"
"38496","MIOVIT X 30 COMPRIMIDOS RECUBIERTOS","Tiamina","Tiamina","710","INSERTADO"
"38496","MIOVIT X 30 COMPRIMIDOS RECUBIERTOS","Piridoxina","Piridoxina","729","INSERTADO"
"38496","MIOVIT X 30 COMPRIMIDOS RECUBIERTOS","Cianocobalamina","Cianocobalamina","1115","INSERTADO"
"38524","MULTIVIRAL X 30 CAPSULAS","Magnesio","Magnesio","102","INSERTADO"
"38524","MULTIVIRAL X 30 CAPSULAS","Hierro","Hierro","1092","INSERTADO"
"38524","MULTIVIRAL X 30 CAPSULAS","Zinc","Zinc","164","INSERTADO"
"38524","MULTIVIRAL X 30 CAPSULAS","Vitamina D","Vitamina D","","INSERTADO"
"38524","MULTIVIRAL X 30 CAPSULAS","Vitamina C","Vitamina C","","INSERTADO"
"38524","MULTIVIRAL X 30 CAPSULAS","Vitamina A","Vitamina A","6805","INSERTADO"
