producto_id,nombre,sku,molecula_texto_actual,laboratorio,grupo,molecula_propuesta,nota_del_dueno
"37337","MONARC- M 250 U. 1 X 1 AMPOLLA","HO1046","","CORPORACION COLIMODIO C.A.","B_MARCA_AMBIGUA","MONARC-M 250 UI/ampolla","ELIMINAR"
"37374","AGUA BIDESTILADA INYECTABLE","HO32804","","LABORATORIO COFASA S.A.","V07AB94","Agua Para Preparaciones Inyectables",""
"37375","AGUA DESTILADA ESTERIL SOLUCION INYECTABLE","HO1694","","LABORATORIOS VALMOR C.A.","","Agua Para Preparaciones Inyectables",""
"37395","ALGIOL 5 MG X 30 COMPRIMIDOS RECUBIERTOS","ME42912","","ESPECIALIDADES DOLLDER C.A.","","Bisoprolol",""
"37476","APIRET 120 MG / 5 ML SOLUCION ORAL","ME42864","","LABORATORIOS L.O. OFTALMI C.A.","B_MARCA_AMBIGUA","Acetaminofen",""
"37477","APIRET 160 MG / 5 ML SOLUCION ORAL","ME42860","","LABORATORIOS L.O. OFTALMI C.A.","B_MARCA_AMBIGUA","Acetaminofen",""
"37527","ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO","ME40958","","C.A. PRODUCTOS RONAVA","C_CANDIDATA_NUEVA","Hioscina",""
"37742","CIFARCAINA AL 2 % X 2 AMPOLLAS","HO9190","","LABORATORIO BEHRENS C.A.","B_MARCA_AMBIGUA","Lidocaina",""
"37743","CIFARCAINA AL 1 % SOLUCION INYECTABLE","HO9189","","LABORATORIO BEHRENS C.A.","B_MARCA_AMBIGUA","Lidocaina",""
"37766","CITRATO DE CALCIO 1190 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA","ME36822/3","","CALOX INTERNATIONAL C.A.","C_CANDIDATA_NUEVA","Citrato de calcio","AISLAR EN GRUPO PARA MOLECULA NUEVA"
"37767","CITRATO DE CALCIO 1190 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA","ME36822/2","","CALOX INTERNATIONAL C.A.","C_CANDIDATA_NUEVA","Citrato de calcio","AISLAR EN GRUPO"
"37835","COMPLEJO DE VITAMINA B X 3 AMPOLLAS","HO1587","","PRODUCTOS LISTER FENIX C.A.","C_CANDIDATA_NUEVA","Complejo de vitamina B","ELIMINAR"
