producto_id,sku,nombre_comercial,molecula,forma,laboratorio,desc_ganadora,foto_url,tier,gate_bloqueante_t0,pack_conflicto,score
38853,ME44418/2,TERAGRIPFORTE 650 MG-20 MG-2 MG X 6 GRANULADO PARA SOLUCION ORAL,Acetaminofen - Cafeina - Clorfeniramina,SOLUCION ORAL,LABORATORIOS FARMA S.A.,TERAGRIP FORTE GRANU 650MG/2MG DIA X6,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92190.jpg,3,identidad,no,1004
38854,ME44418/3,TERAGRIPFORTE 650 MG-20 MG-2 MG X 10 GRANULADO PARA SOLUCION ORAL,Acetaminofen - Cafeina - Clorfeniramina,SOLUCION ORAL,LABORATORIOS FARMA S.A.,TERAGRIP FORTE GRANU 650MG/2MG DIA X6,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92190.jpg,3,identidad,si,1004
37804,ME36122,CLOPIDOGREL 75 MG X 14 TABLETAS RECUBIERTAS,Clopidogrel,TABLETAS,"LABORATORIOS VALMOR, C.A.",CLOPIDOGREL TABR 75MGX30 VLM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/96822.jpg,2,pack,si,1002
37609,ME39097,BROFLEMA 8 MG / 5 ML SOLUCION ORAL,,SOLUCION ORAL,"BIOTECH LABORATORIOS, C.A.",BROFLEMA JBE 8MG/5 ML 120ML BIOTECH,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94046.jpg,1,tier_superior,no,2
39268,HO33101/3,KETOPROFENO 100 MG / 2 ML X 20 AMPOLLAS,Ketoprofeno,INYECTABLE,"LABORATORIOS LETI, S.A.V.",KETOPROFENO AMP 100MG/2ML X2 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5201.jpg,2,pack,si,1002
39365,ME43701,SITALUX 100 MG X 30 TABLETAS RECUBIERTAS,Sitagliptina,TABLETAS,INVERSIONES ANGELUS HEALTH C.A.,BANTINA TAB 100MG X 30 ANGELUS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28533.jpg,3,identidad,si,1002
39413,ME36008,VITAMINA C 50 MG / 5 ML JARABE,Ascorbico Acido,JARABE,"LABORATORIOS VARGAS, S.A.",VITREXON JBE 50MG 5ML 120ML VARG,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11556.jpg,3,identidad,no,1002
38182,ME22169,GULAPER 100 MG / 5 ML ORAL,,SOLUCION ORAL,MEGALABS S.A.,GULAPER JBE PED 100MG 120ML MEG,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8704.jpg,1,tier_superior,no,2
38327,ME33641/3,LETISAN 500 MG X 30 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA,,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",LETISAN CAP 500MG X30 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99231.jpg,1,tier_superior,no,2
38978,ME38380,VIZERUL 150 MG / 10 ML X 10 SOLUCION ORAL,,SOLUCION ORAL,"ESPECIALIDADES DOLLDER, C.A.",VIZERUL JBE 150MG/10ML 120ML DLR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/93730.jpg,1,tier_superior,no,2
37348,ME42963,ACIDO ASCORBICO 100 MG / ML SOLUCION ORAL,Ascorbico Acido,SOLUCION ORAL,"BIOQUIMICA INTERNACIONAL, C.A.",VIT C SOL ORAL 100MG/ML X 120ML BIOQ,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29208.jpg,3,identidad,no,1002
37743,HO9189,CIFARCAINA AL 1 % SOLUCION INYECTABLE,,INYECTABLE,"LABORATORIO BEHRENS, C.A.",CIFARCAINA SOL 1% 100ML BHR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/836.jpg,1,tier_superior,no,0
38385,ME40440,LORATADINA - AMBROXOL CLORHIDRATO 5 MG - 30 MG / 5 ML SOLUCION ORAL,Ambroxol - Loratadina,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A.",LORATADINA AMBR SUSP 5MG/30ML 60ML KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98664.jpg,1,tier_superior,no,1002
39368,ME40123,STAMYLFORTE 300 MG - 100 MG X 20 TABLETAS RECUBIERTAS,Pancreatina - Simeticona,TABLETAS,LABORATORIOS FARMA S.A.,STAMYL FORTE TAB REC 300MG/100MGX20 FAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13272.jpg,3,identidad,no,1004
38815,ME31596,SULTAMICILINA 750 MG X 12 TABLETAS RECUBIERTAS,,TABLETAS,"LABORATORIOS LETI, S.A.V.",SULTAMICILINA TAB REC 750MG X12 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50175.jpg,2,pack,si,2
38101,ME40011/2,GENLET 200 MG X 10 COMPRIMIDOS RECUBIERTOS,Flavoxato,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",GENLET CAP 200MG X 10,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50060.jpg,3,identidad,no,1002
38250,ME36328,IPORET 40 MG / ML SUSPENSION ORAL GOTAS,Ibuprofeno,SOLUCION ORAL,"LABORATORIOS L.O. OFTALMI, C.A.",IPORET SUSP 40MG/ML 60ML L.O,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/96800.jpg,1,tier_superior,no,1002
38739,ME36375,RISPERID 1 MG X 30 COMPRIMIDOS RECUBIERTOS,Risperidona,COMPRIMIDOS,MEGALABS S.A.,RISPERID COMP REC 1MG X30 MEG,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/95023.jpg,2,pack,si,1002
38278,ME41404,KEPRORET 1 MG / ML SOLUCION ORAL,Ketoprofeno,SOLUCION ORAL,"LABORATORIOS L.O. OFTALMI, C.A.",KEPRORET JBE 1MG/ML 120ML L.O,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26611.jpg,1,tier_superior,no,1002
38521,ME40502,MUCOMAX 15 MG / 5 ML SOLUCION ORAL USO PEDIATRICO,Ambroxol,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A.",MUCOMAX JBE PED 15MG/5ML 120ML KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/14193.jpg,1,tier_superior,no,1002
37729,ME32490,CETIRIZINA 1 MG / ML SOLUCION ORAL,Cetirizina,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A.",CETIRIZINA JBE 1MG/ML 60ML KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7587.jpg,1,tier_superior,no,1002
37739,ME27924,CICLOFTAL1 % SOLUCION OFTALMICA,Ciclopentolato,SOLUCION OFTALMICA,"LABORATORIOS L.O. OFTALMI, C.A.",CICLOFTAL SOL OFT 1% 15ML L.O,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9675.jpg,3,identidad,no,1000
37951,ME43969/2,VEDINOR 600 MG X 15 COMPRIMIDOS RECUBIERTOS,Diosmina,COMPRIMIDOS,"LABORATORIOS VARGAS, S.A.",VEDINOR COMP REC 600MG X15 VARG,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24175.jpg,3,identidad,si,1002
39391,ME37166,TERAGRIPSUPRA X 10 TABLETAS RECUBIERTAS,Acetaminofen - Dextrometorfano - Pseudoefedrina,TABLETAS,LABORATORIOS FARMA S.A.,TERAGRIP SUPRA TAB REC 650MG X10 FAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/96315.jpg,3,identidad,no,1000
38321,ME44041/2,DIHIDROLIP 20 MG X 10 COMPRIMIDOS RECUBIERTOS,Lercanidipino,COMPRIMIDOS,"LABORATORIOS VARGAS, S.A.",DIHIDROLIP COMP REC 20MG X10 VARG,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23436.jpg,3,identidad,no,1002
38000,ME26688,ENALAPRIL MALEATO 10 MG X 30 COMPRIMIDOS RECUBIERTOS,Enalapril,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",ENALAPRIL MALEATO COMP 10MG X 30 GNV,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30351.jpg,2,pack,si,1002
39214,MI28667,FEM DUCHA VAGINAL,Acetico Acido,INYECTABLE,"BIOTECH LABORATORIOS, C.A.",FEM DUCHA VAG 250MG/100ML 135ML BIOTECH,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10354.jpg,3,identidad,no,1000
39213,ME38628,FEBRATIC 10 MG / 5 ML SUSPENSION ORAL,Diclofenaco,SOLUCION ORAL,MEGALABS S.A.,FEBRATIC SUSP 10MG/5ML 120ML MEG,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/95717.jpg,1,tier_superior,no,1002
39241,ME44628,GULAPER 100 MG / 5 ML SOLUCION ORAL SABOR CHICLE,S-carboximetilcisteina,SOLUCION ORAL,MEGALABS S.A.,GULAPER JBE PED 100MG 120ML MEG,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8704.jpg,1,tier_superior,no,1002
39252,ME30286,IBUPROFENO 100 MG / 5 ML SUSPENSION ORAL,Ibuprofeno,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A.",IBUPROFEN SUSP 100MG X60ML KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5567.jpg,1,tier_superior,no,1002
39267,HO33101/2,KETOPROFENO 100 MG / 2 ML X 10 AMPOLLAS,Ketoprofeno,INYECTABLE,"LABORATORIOS LETI, S.A.V.",KETOPROFENO AMP 100MG/2ML X2 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5201.jpg,2,pack,si,1002
39285,HO36034,LEVOTEC 500 MG SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,Levofloxacino,INYECTABLE,"LABORATORIO BEHRENS, C.A.",LEVOTEC SOL IV 5MG/ML 500MG 100ML BHR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8827.jpg,1,tier_superior,no,1002
39389,ME44419/2,TERAGRIPFORTE NOCHE 650 MG - 4 MG X 4 TABLETAS RECUBIERTAS,Acetaminofen - Clorfeniramina,TABLETAS,LABORATORIOS FARMA S.A.,TERAGRIP FORTE TAB REC 650/4 NOCHX4 FAR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51036.jpg,3,identidad,no,1004
39412,ME6025/3,VITAMINA B12 250 MCG X 20 CAPSULAS,Cianocobalamina,CAPSULAS,MEGALABS S.A.,VIT B12 CAP 250MG X20 MEG,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3790.jpg,3,identidad,no,1002
